name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ALTERNATIVE LIVING-FREDERICK,,,,,,,,,,,,,,,,,,Fayette (33),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,205 N Frederick Ave,,,Oelwein,,,IA,,50662,US,42.6816365,-91.9129002,,True
"ANCHOR HOMES, INC. - JAMES' JOURNEY",,,,,,,,,,,,,,,,,,Page (73),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,215 N 19th St,,,Clarinda,,,IA,,51632,US,40.739958,-95.0420225,,True
"ANCHOR HOMES, INC. - MICKEY'S MANSION",,,,,,,,,,,,,,,,,,Page (73),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,501 N 15th St,,,Clarinda,,,IA,,51632,US,40.7423592,-95.0360828,,True
ARCH I,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,402 S 4th St,,,Clinton,,,IA,,52732,US,41.8420978,-90.1935779,,True
ARCH II,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,734 5th Ave S,PO BOX 0278,,Clinton,,,IA,,52732,US,41.8412891,-90.2035391,,True
ARCH IV,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,78 32nd Ave N,,,Clinton,,,IA,,52732,US,41.8826,-90.17456899999999,,True
BEACON COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2417 Beacon Hill Dr,,,Dubuque,,,IA,,52003,US,42.47820449999999,-90.7008043,,True
BIRCH HOUSE,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,745 Pepper Dr,,,Iowa City,,,IA,,52240,US,41.6355647,-91.52528319999999,Twain,True
BUNKER COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2085 Bunker Hill Rd,,,Dubuque,,,IA,,52001,US,42.5059186,-90.7010299,,True
COMMUNITY NEURO REHAB - ASHWORTH,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,5008 Ashworth Rd,,,West Des Moines,,,IA,,50266,US,41.584198,-93.771468,,True
COMMUNITY NEURO REHAB-ONEIDA POINT,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,3000 SW 37th St,,,Des Moines,,,IA,,50321,US,41.55735990000001,-93.66786189999999,Southwestern Hills,True
COMMUNITY NEUROREHAB - GLEN OAKS,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2033 Glen Oaks Ridge,,,Coralville,,,IA,,52241,US,41.71022679999999,-91.5923388,Wickham,True
CONCORD COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2052 Concord Ct,,,Dubuque,,,IA,,52003,US,42.4890576,-90.6936429,,True
FALEY REFLECTIONS HOUSE,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2439 Wilbricht Ln,,,Dubuque,,,IA,,52001,US,42.5046911,-90.7023016,,True
FLORA ADULT GROUP HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2535 Wilbricht Ln,,,Dubuque,,,IA,,52001,US,42.504813,-90.705016,,True
KENNEDY COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,12488 John F Kennedy Rd,,,Dubuque,,,IA,,52002,US,42.536036,-90.730877,,True
KEYWAY COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2129 Key Way Dr,,,Dubuque,,,IA,,52002,US,42.50868800000001,-90.725487,,True
MARYWOOD GROUP HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2671 Marywood Dr,,,Dubuque,,,IA,,52001,US,42.51801500000001,-90.7176999,,True
NEURORESTORATIVE - ANKENY,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,4102 NW 2nd Ct,,,Ankeny,,,IA,,50023,US,41.73250580000001,-93.65406759999999,,True
NEURORESTORATIVE - CAVALIER,,,,,,,,,,,,,,,,,,Woodbury (97),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2021 Cavalier Way,,,Sioux City,,,IA,,51109,US,42.5142957,-96.4857651,,True
NEURORESTORATIVE - CEDAR RAPIDS,,,,,,,,,,,,,,,,,,Linn (57),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,6006 Beverly Rd SW,,,Cedar Rapids,,,IA,,52404,US,41.93920200000001,-91.749127,,True
NEURORESTORATIVE - DEWITT,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2803 262nd St,,,DeWitt,,,IA,,52742,US,41.7986015,-90.5480454,,True
NEURORESTORATIVE - FLORENCE,,,,,,,,,,,,,,,,,,Woodbury (97),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,1126 Florence Ave,,,Sioux City,,,IA,,51109,US,42.5139497,-96.4823164,,True
NEURORESTORATIVE - IOWA CITY,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,4569 Jenn Ln NE,,,Iowa City,,,IA,,52240,US,41.710622,-91.486829,Shimek,True
NEW VENTURE GROUP HOME,,,,,,,,,,,,,,,,,,Wayne (93),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,401 S Washington St,,,Corydon,,,IA,,50060,US,40.754928,-93.31802599999999,,True
SPIRES COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,969 Spires Dr,,,Dubuque,,,IA,,52001,US,42.51311199999999,-90.68794299999999,,True
VIZALEEA HOUSE,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,1785 Vizaleea Dr,,,Dubuque,,,IA,,52002,US,42.5023512,-90.7300058,,True
3801 Grand,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,ALP/D,,,,3801 Grand Ave,,,Des Moines,,,IA,,50312,US,41.5852402,-93.6684961,North of Grand,True
Arbor Place,,,,,,,,,,,,,,,,,,Linn (57),,,,,,,,,,,,,,,,,ALP/D,,,,1140 K Ave NW,,,Cedar Rapids,,,IA,,52405,US,41.98434400000001,-91.688878,Northwest Area,True
Arlington Place of Oelwein,,,,,,,,,,,,,,,,,,Fayette (33),,,,,,,,,,,,,,,,,ALP/D,,,,1101 3rd St SW,,,Oelwein,,,IA,,50662,US,42.6751983,-91.9310002,,True
Arlington Place of Pocahontas,,,,,,,,,,,,,,,,,,Pocahontas (76),,,,,,,,,,,,,,,,,ALP/D,,,,101 NE 5th St,,,Pocahontas,,,IA,,50574,US,42.7340989,-94.66114909999999,,True
Arlington Place of Red Oak,,,,,,,,,,,,,,,,,,Montgomery (69),,,,,,,,,,,,,,,,,ALP/D,,,,800 Ratliff Rd,,,Red Oak,,,IA,,51566,US,41.0312914,-95.2222784,,True
Bickford Cottage Burlington,,,,,,,,,,,,,,,,,,Des Moines (29),,,,,,,,,,,,,,,,,ALP/D,,,,3301 Sterling Dr,,,Burlington,,,IA,,52601,US,40.7988746,-91.14337909999999,,True
Bickford Cottage Clinton,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,ALP/D,,,,1150 13th Ave N,,,Clinton,,,IA,,52732,US,41.8594971,-90.2120474,,True
Bickford Cottage Davenport,,,,,,,,,,,,,,,,,,Scott (82),,,,,,,,,,,,,,,,,ALP/D,,,,4040 E 55th St,,,Davenport,,,IA,,52807,US,41.5782697,-90.51522109999999,,True
Bickford Cottage Fort Dodge,,,,,,,,,,,,,,,,,,Webster (94),,,,,,,,,,,,,,,,,ALP/D,,,,1536 20th Ave N,,,Fort Dodge,,,IA,,50501,US,42.52700550000001,-94.1763706,,True
Bickford Cottage II Sioux City,,,,,,,,,,,,,,,,,,Woodbury (97),,,,,,,,,,,,,,,,,ALP/D,,,,4022 Indian Hills Dr,,,Sioux City,,,IA,,51108,US,42.5401301,-96.3739604,,True
Bickford Cottage Iowa City,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,ALP/D,,,,3500 Lower West Branch Rd,,,Iowa City,,,IA,,52245,US,41.665228,-91.48221129999999,Lemme,True
Bickford Cottage Marion,,,,,,,,,,,,,,,,,,Linn (57),,,,,,,,,,,,,,,,,ALP/D,,,,1100 Linden Dr,,,Marion,,,IA,,52302,US,42.0375474,-91.5764803,,True
Bickford Cottage Marshalltown,,,,,,,,,,,,,,,,,,Marshall (64),,,,,,,,,,,,,,,,,ALP/D,,,,101 Newcastle Rd,,,Marshalltown,,,IA,,50158,US,42.0199915,-92.9111448,,True
