name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Admirals' Coast Retirement Centre,,,,,,,,,,,,,,,,,,(709) 744 7075,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,,,,False
Alderwood Estates,,,,,,,,,,,,,,,,,,(709) 334 2183,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Witless Bay,,,NL,,,Canada,,,,False
"Allison,s Manor",,,,,,,,,,,,,,,,,,(709) 834 8541,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,Canada,,,,False
Canning's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 834 4013,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,Canada,,,,False
Bayview Heights Manor,,,,,,,,,,,,,,,,,,(709) 834 5792,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,,,,False
Cambridge Estates,,,,,,,,,,,,,,,,,,(709) 576 4663,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,,,,False
MJ PCH,,,,,,,,,,,,,,,,,,(709) 834 2349,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Manuels,,,NL,,,Canada,,,,False
Cradea Manor,,,,,,,,,,,,,,,,,,(709) 364 5265,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mt. Pearl,,,NL,,,Canada,,,,False
"Fahey,s Personal Care Home",,,,,,,,,,,,,,,,,,(709) 363 2250,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Fermeuse,,,NL,,,Canada,,,,False
Karwood Retirement Retreat,,,,,,,,,,,,,,,,,,(709) 782 5300,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,Canada,,,,False
Hillcrest Estate,,,,,,,,,,,,,,,,,,(709) 364 7077,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,,,,False
Katherine House,,,,,,,,,,,,,,,,,,(709) 754 3864,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,,,,False
Kelly's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 5343,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,,,,False
Linda's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 1956,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,,,,False
Barton's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 4986,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,,,,False
Bonaventure Retirement Home,,,,,,,,,,,,,,,,,,(709) 722 4040,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,,,,False
Meadow Creek Retirement Centre,,,,,,,,,,,,,,,,,,(709) 782 4242,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,Canada,,,,False
North Pond Manor,,,,,,,,,,,,,,,,,,(709) 437 1415,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Torbay,,,NL,,,Canada,,,,False
Ocean View Guest Home,,,,,,,,,,,,,,,,,,(709) 834 2532,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,,,,False
Pearl House,,,,,,,,,,,,,,,,,,(709) 368 3850,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,,,,False
Ruby Manor,,,,,,,,,,,,,,,,,,(709) 364 4943,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,,,,False
Murphy's Shade Rest Lodge Bay Robert's Retirement Centre,,,,,,,,,,,,,,,,,,(709) 786 6665,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,895  Paradise 8960/8956 Bay Roberts,,,NL,,,Canada,,,,False
Callingwood Downs,,,,,,,,,,,,,,,,,,(709) 786 1850,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarke's Beach,,,NL,,,Canada,,,,False
Woodford's Comfort Manor,,,,,,,,,,,,,,,,,,(709) 229 3213,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,,,,False
Beachside Manor,,,,,,,,,,,,,,,,,,(709) 227 1110,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Placentia,,,NL,,,Canada,,,,False
Eason's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 229 4072,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,,,,False
Gateway Residence,,,,,,,,,,,,,,,,,,(709) 227 3814,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Dunville,,,NL,,,Canada,,,,False
Lewis' Personal Care Home,,,,,,,,,,,,,,,,,,(709) 525 2244,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Riverhead,,,NL,,,Canada,,,,False
Luxury Estates,,,,,,,,,,,,,,,,,,(709) 596 1244,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Carbonear,,,NL,,,Canada,,,,False
Baccalieu Retirement Living,,,,,,,,,,,,,,,,,,(709) 587 2651,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Old Perlican,,,NL,,,Canada,,,,False
Shag Rock Manor,,,,,,,,,,,,,,,,,,(709) 588 2884,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Whiteway,,,NL,,,Canada,,,,False
Tobin's Guest Home,,,,,,,,,,,,,,,,,,(709) 229 7464,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,,,,False
Winter Holme Manor,,,,,,,,,,,,,,,,,,(709) 583 2658,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Winterton,,,NL,,,Canada,,,,False
Miraquinn Hilltop Manor,,,,,,,,,,,,,,,,,,(709) 547 2450,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Hickman's Harbour,,,NL,,,Canada,,,,False
Bonavista Retirement Centre,,,,,,,,,,,,,,,,,,(709) 468 5900,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Bonavista,,,NL,,,Canada,,,,False
Cozy Quarters Personal Care Home,,,,,,,,,,,,,,,,,,(709) 466 2447,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarenville,,,NL,,,Canada,,,,False
Clarenville Retirement Home,,,,,,,,,,,,,,,,,,(709) 466 6459,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarenville,,,NL,,,Canada,,,,False
Greenwood Rest Home,,,,,,,,,,,,,,,,,,(709) 467 5243,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Musgravetown,,,NL,,,Canada,,,,False
Hilltop Manor,,,,,,,,,,,,,,,,,,(709) 463 5000,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Arnold's Cove,,,NL,,,Canada,,,,False
Marystown Retirement Centre,,,,,,,,,,,,,,,,,,(709) 279 2554,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Marystown,,,NL,,,Canada,,,,False
Mount Margaret Manor,,,,,,,,,,,,,,,,,,(709) 873 3232,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. Lawrence,,,NL,,,Canada,,,,False
Grand Bank Retirement Centre,,,,,,,,,,,,,,,,,,(709) 832 3900,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Grand Bank,,,NL,,,Canada,,,,False
Shirley's Haven,,,,,,,,,,,,,,,,,,(709) 469 3160,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Catalina,,,NL,,,Canada,,,,False
Baie View Manor,,,,,,,,,,,,,,,,,,(709) 532 4615,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Baie Verte,,,NL,,,Canada,,,,False
"White,s Family Care Residence",,,,,,,,,,,,,,,,,,(709) 654 3171,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Brown's Arm,,,NL,,,Canada,,,,False
"Oram,s Baywatch Manor",,,,,,,,,,,,,,,,,,(709) 533 6999,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Glovertown South,,,NL,,,Canada,,,,False
Carmanville Terrace,,,,,,,,,,,,,,,,,,(709) 534 2244,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Carmanville,,,NL,,,Canada,,,,False
"Robinson,s Retirement Home",,,,,,,,,,,,,,,,,,(709) 258 6446,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Bishops Falls,,,NL,,,Canada,,,,False
Golden Years Estates,,,,,,,,,,,,,,,,,,(709) 489 7363,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Grand Falls,,,NL,,,Canada,,,,False
Musgrave Hillcrest Manor,,,,,,,,,,,,,,,,,,(709) 655 2777,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Harbour,,,NL,,,Canada,,,,False
Islandside Manor,,,,,,,,,,,,,,,,,,(709) 438 2121,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Leading Tickles,,,NL,,,Canada,,,,False
Killick Retirement Home,,,,,,,,,,,,,,,,,,(709) 257 2400,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Botwood,,,NL,,,Canada,,,,False
