name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
A'LELIA RESIDENTIAL CARE,,,,MILES-66@HOTMAIL.COM,MILES.66@HOTMAIL.COM,,10 JACOB WHITE RD,,YEMASSEE,,,,,,29945-7820,SC,,843-466-0356,,,,,,,,,,,,,,,,Corporation,Residential Care,,,,10 JACOB WHITE RD,,,YEMASSEE,Beaufort,,SC,,29945-7820,US,32.61954800000001,-80.73616899999999,,False
ABBEVILLE RESIDENTIAL CARE LLC,,,,ARCF.MARISOL@GMAIL.COM,ARCF.MARISOL@GMAIL.COM,,294 HWY 28 BYPASS,,ABBEVILLE,,,,,,29620,SC,,864-302-9202,,,,,,,,,,,,,,,,,Residential Care,,,,294 HWY 28 BYPASS,,,ABBEVILLE,Abbeville,,SC,,29620,US,34.1569602,-82.4033182,,False
ACLINE PLACE,,,,GBARNES@FCDSN.ORG,No Facility Contact Email on Record,,"1211 E NATIONAL CEMETERY RD, FCDSNB",,FLORENCE,,,,,,29506-3240,SC,,843-394-5677,,,,,,,,,,,,,,,,State,Residential Care,,,,200 S ACLINE ST,,,LAKE CITY,Florence,,SC,,29560-2635,US,33.8694856,-79.7563608,,False
ADDISON'S COMMUNITY CARE HOME,,,,SARDCT@GMAIL.COM,SARDCT@BELLSOUTH.NET,,PO BOX 23328,,COLUMBIA,,,,,,29224-3328,SC,,803-463-1697,,,,,,,,,,,,,,,,Corporation,Residential Care,,,,4013 PERCIVAL RD,,,COLUMBIA,Richland,,SC,,29229-8321,US,34.0865429,-80.86520209999999,,False
ALDERSGATE AT THE OAKS,,,,921AOAKS@GMAIL.COM,921AOAKS@GMAIL.COM,,921 METHODIST OAKS DR,,ORANGEBURG,,,,,,29115-1814,SC,,803-531-2332,,,,,,,,,,,,,,,,Non-Profit Corporation,Residential Care,,,,921 METHODIST OAKS DR,,,ORANGEBURG,Orangeburg,,SC,,29115-1814,US,33.42379009999999,-80.8515721,,False
ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,,,,DONNAOUTLAW62@YAHOO.COM,SHILANEDOT@AOL.COM,,PO BOX 405,,SANTEE,,,,,,29142-0405,SC,,803-854-2496,,,,,,,,,,,,,,,,Sole Proprietorship,Residential Care,,,,218 GOLDEN STARR RD,,,SANTEE,Orangeburg,,SC,,29142-9363,US,33.4459746,-80.5117318,,False
AMARA PLACE AT COLUMBIA,,,,INFO@POLOROAD.NET,No Facility Contact Email on Record,,651 POLO RD,,COLUMBIA,,,,,,29223,SC,,803-788-9555,,,,,,,,,,,,,,,,,Residential Care,,,,651 POLO RD,,,COLUMBIA,Richland,,SC,,29223-2905,US,34.092846,-80.89116,,False
ANDERSON OAKS ASSISTED LIVING,,,,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,,997 HWY 90,,CONWAY,,,,,,29526-2750,SC,,843-347-9280,,,,,,,,,,,,,,,,Corporation,Residential Care,,,,997 HWY 90,,,CONWAY,Horry,,SC,,29526-7520,US,33.8237372,-78.9951669,,True
ANGELIC'S PLACE,,,,No Facility Email on Record,BBETTMOU@AOL.COM,,903 W BARTLETTE ST,,SUMTER,,,,,,29150-8005,SC,,803-775-1404,,,,,,,,,,,,,,,,Ltd. Liability,Residential Care,,,,903 W BARTLETTE ST,,,SUMTER,Sumter,,SC,,29150-8005,US,33.9174746,-80.3564152,,False
ANOINTED RESIDENTIAL CARE,,,,DAISY78BRADLEY@OUTLOOK.COM,No Facility Contact Email on Record,,551 S SUMTER ST,,SUMTER,,,,,,29150-5765,SC,,803-883-4427,,,,,,,,,,,,,,,,Partnership,Residential Care,,,,551 S SUMTER ST,,,SUMTER,Sumter,,SC,,29150-5765,US,33.90925699999999,-80.34430429999999,,False
ANOINTED RESIDENTIAL CARE #2,,,,DAISY78BRADLEY@OUTLOOK.COM,No Facility Contact Email on Record,,511 S SUMTER ST,,SUMTER,,,,,,29150-5754,SC,,803-883-4032,,,,,,,,,,,,,,,,,Residential Care,,,,511 S SUMTER ST,,,SUMTER,Sumter,,SC,,29150-5754,US,33.91188580000001,-80.34413479999999,,False
ANTONIO-STAPLES RESIDENTIAL CARE FACILITY,,,,Z4TINKERBELL@AOL.COM,ANTINIOSTAPLESRCF@COMCAST.NET,,10745 HWY 78 E,,SUMMERVILLE,,,,,,29483-8710,SC,,843-821-8912,,,,,,,,,,,,,,,,Corporation,Residential Care,,,,10745 HWY 78 E,,,SUMMERVILLE,Dorchester,,SC,,29483-8710,US,33.018866,-80.1546765,,True
ARBORETUM AT THE WOODLANDS AT FURMAN,,,,CBABBITT@THEWOODLANDSATFURMAN.ORG,CBABBITT@THEWOODLANDSATFURMAN.ORG,,1500 TRAILHEAD CT,,GREENVILLE,,,,,,29617-6226,SC,,864-371-3100,,,,,,,,,,,,,,,,Non-Profit Corporation,Residential Care,,,,50 ARBORETUM LN,,,GREENVILLE,Greenville,,SC,,29617-6227,US,34.9359893,-82.44467139999999,,False
ASHLAN VILLAGE,,,,BAHO@ASHLANVILLAGE.COM,BAHO@ASHLANVILLAGE.COM,,415 BRENDA WAY,,LYMAN,,,,,,29365-9264,SC,,864-949-7825,,,,,,,,,,,,,,,,Limited Liability,Residential Care,,,,415 BRENDA WAY,,,LYMAN,Spartanburg,,SC,,29365-9264,US,34.9741174,-82.1422146,,False
ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,,,,KELLYCARLETON@JEASENIORLIVING.COM,KELLYCARLETON@JEASENIORLIVING.COM,,PO BOX 820528,,VANCOUVER,,,,,,98682-0011,WA,,843-556-4100,,,,,,,,,,,,,,,,Limited Liability,Residential Care,,,,2290 HENRY TECKLENBURG DR,,,CHARLESTON,Charleston,,SC,,29414,US,32.8082073,-80.04718199999999,West Ashley,False
