name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
The Kenneth E. Spencer Nursing Home Inc.,,,,,,(506) 858-9674,,,,,,,,,,,,(506) 858-7870,,,,,,,,,,,,,,,,,Nursing Home,,,,35 Atlantic Baptist Avenue,,,Moncton,,Moncton,NB,,E1E 4N3,Canada,46.0597465,-64.8581655,,True
The United Church Home for Senior Citizens ,,,,,,(506) 364-4921,,,,,,,,,,,,(506) 364-4900,,,,,,,,,,,,,,,,,Nursing Home,,,,165 Main Street,,,Sackville,,Moncton,NB,,E4L 4S2,Canada,45.9032743,-64.3732887,,True
Forest Dale Home Inc.,,,,,,(506) 882-3014,,,,,,,,,,,,(506) 882-3015,,,,,,,,,,,,,,,,,Nursing Home,,,,5836 King Street,,,Riverside/Albert,,Moncton,NB,,E4H 4B9,Canada,45.7551427,-64.7440158,,True
Foyer Saint-Antoine,,,,,,(506) 525-4090,,,,,,,,,,,,(506) 525-4040,,,,,,,,,,,,,,,,,Nursing Home,,,,7 Avenue de l'Église,,,Saint-Antoine,,Moncton,NB,,E4V 1L6,Canada,46.3621396,-64.7536444,,True
Foyer St. Thomas de la Vallée de Memramcook Inc.,,,,,,(506) 758-9489,,,,,,,,,,,,(506) 758-2110,,,,,,,,,,,,,,,,,Nursing Home,,,,100 rue Notre-Dame,,,Memramcook,,Moncton,NB,,E4K 3W3,Canada,45.9745808,-64.5632712,,True
Jordan Lifecare Centre Inc.,,,,,,(506) 756-2081,,,,,,,,,,,,(506) 756-3355,,,,,,,,,,,,,,,,,Nursing Home,,,,747 Sanatorium Road,,,The Glades,,Moncton,NB,,E4J 1W6,Canada,45.9351323,-65.0808448,,True
Manoir Saint-Jean Baptiste Inc.,,,,,,(506) 743-7343,,,,,,,,,,,,(506) 743-7344,,,,,,,,,,,,,,,,,Nursing Home,,,,5 Avenue Richard,,,Bouctouche,,Moncton,NB,,E4S 3T2,Canada,46.4770577,-64.7214917,,True
Rexton Lions Nursing Home Inc.,,,,,,(506) 523-7703,,,,,,,,,,,,(506) 523-7720,,,,,,,,,,,,,,,,,Nursing Home,,,,23 Main Street,,,Rexton,,Moncton,NB,,E4W 0E4,Canada,46.6593367,-64.8761636,,True
Shannex RLC Ltd. - Monarch Hall,,,,,,(506) 387-3167,,,,,,,,,,,,(506) 387-7770,,,,,,,,,,,,,,,,,Nursing Home,,,,826 Coverdale Road,,,Riverview,,Moncton,NB,,E1B 0J1,Canada,46.0557765,-64.8284271,,True
The Salvation Army Lakeview Manor,,,,,,(506) 387-7200,,,,,,,,,,,,(506) 387-2012,,,,,,,,,,,,,,,,,Nursing Home,,,,50 Suffolk Street,,,Riverview,,Moncton,NB,,E1B 4K6,Canada,46.0643273,-64.8103891,,True
