name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Charleswood Care Centre,,,,,,204-896-4763,,,,,,,,,,,,204-888-3363,,,,,,,,,,,,,,,,,Assisted Living,,,,5501 Roblin Blvd,,,Winnipeg,,,MB,,R3R 0G8,Canada,49.860375,-97.293312,Southboine,True
Heritage Lodge,,,,,,204-832-6544,,,,,,,,,,,,204-888-7940,,,,,,,,,,,,,,,,,Assisted Living,,,,3555 Portage Ave,,,Winnipeg,,,MB,,R3K 0X2,Canada,49.883265,-97.307638,Crestview,True
Luther Home,,,,,,204-338-4643,,,,,,,,,,,,204-338-4641,,,,,,,,,,,,,,,,,Assisted Living,,,,1081 Andrews St,,,Winnipeg,,,MB,,R2V 2G9,Canada,49.945,-97.12324699999999,Jefferson,True
Extendicare/Oakview Place,,,,,,204-831-8101,,,,,,,,,,,,204-888-3005,,,,,,,,,,,,,,,,,Assisted Living,,,,2395 Ness Ave,,,Winnipeg,,,MB,,R3J 1A5,Canada,49.88625020000001,-97.2652075,Booth,True
Deer Lodge Centre,,,,,,204-889-0430,,,,,,,,,,,,204-837-1301,,,,,,,,,,,,,,,,,Assisted Living,,,,2109 Portage Ave,,,Winnipeg,,,MB,,R3J 0L3,Canada,49.8781411,-97.23549489999999,Deer Lodge,True
Donwood Manor,,,,,,204-663-5249,,,,,,,,,,,,204-668-4410,,,,,,,,,,,,,,,,,Assisted Living,,,,171 Donwood Dr,,,Winnipeg,,,MB,,R2G 0V9,Canada,49.94575,-97.07802459999999,Rossmere - A,True
Concordia Place,,,,,,204-661-7297,,,,,,,,,,,,204-661-7372,,,,,,,,,,,,,,,,,Assisted Living,,,,1000 Molson Ave,,,Winnipeg,,,MB,,R2K 4L5,Canada,49.9126831,-97.06228139999999,Valley Gardens,True
Actionmarguerite (Saint-Boniface),,,,,,204-233-6803,,,,,,,,,,,,204-233-3692,,,,,,,,,,,,,,,,,Assisted Living,,,,185 Despins St,,,Winnipeg,,,MB,,R2H 2B3,Canada,49.8873829,-97.1205801,Central St. Boniface,True
Extendicare/Vista Park Lodge,,,,,,204-257-0446,,,,,,,,,,,,204-257-6688,,,,,,,,,,,,,,,,,Assisted Living,,,,144 Nova Vista Dr,,,Winnipeg,,,MB,,R2N 1P8,Canada,49.81998999999999,-97.106682,River Park South,True
River Park Gardens,,,,,,204-257-6467,,,,,,,,,,,,204-255-9073,,,,,,,,,,,,,,,,,Assisted Living,,,,735 St Annes Rd,,,Winnipeg,,,MB,,R2N 0C4,Canada,49.822928,-97.0819269,Dakota Crossing,True
The Convalescent Home of Winnipeg,,,,,,204-453-7149,,,,,,,,,,,,204-453-4663,,,,,,,,,,,,,,,,,Assisted Living,,,,276 Hugo St N,,,Winnipeg,,,MB,,R3M 2N6,Canada,49.8705663,-97.1501801,Earl Grey,True
Kildonan Personal Care Centre,,,,,,204-334-4632,,,,,,,,,,,,204-334-4633,,,,,,,,,,,,,,,,,Assisted Living,,,,1970 Henderson Hwy,,,Winnipeg,,,MB,,R2G 1P2,Canada,49.9572775,-97.07297480000001,Valhalla,True
Maples Care Centre by Revera,,,,,,204-697-0249,,,,,,,,,,,,204-632-8570,,,,,,,,,,,,,,,,,Assisted Living,,,,500 Mandalay Dr,,,Winnipeg,,,MB,,R2P 1V4,Canada,49.960107,-97.18375100000002,Mandalay West,True
The Salvation Army Golden West Centennial Lodge,,,,,,204- 831-0544,,,,,,,,,,,,204-888-3311,,,,,,,,,,,,,,,,,Assisted Living,,,,811 School Rd,,,Winnipeg,,,MB,,R2Y 0S8,Canada,49.8886917,-97.28808579999999,Sturgeon Creek,True
Poseidon Care Centre,,,,,,204-474-2173,,,,,,,,,,,,204-452-6204,,,,,,,,,,,,,,,,,Assisted Living,,,,70 Poseidon Bay,,,Winnipeg,,,MB,,R3M 3E5,Canada,49.85302799999999,-97.17437699999999,Grant Park,False
Riverview Health Centre,,,,,,204-452-3246,,,,,,,,,,,,204-478-6203,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Morley Ave,,,Winnipeg,,,MB,,R3L 2P4,Canada,49.8689067,-97.1206571,Riverview,True
Misericordia Health Centre,,,,,,204-779-0223,,,,,,,,,,,,204-778-8165,,,,,,,,,,,,,,,,,Assisted Living,,,,99 Cornish Ave,,,Winnipeg,,,MB,,R3C 1A2,Canada,49.879592,-97.1604247,West Broadway,True
Park Manor Personal Care Home,,,,,,204-222-3237,,,,,,,,,,,,204-222-3251,,,,,,,,,,,,,,,,,Assisted Living,,,,301 Redonda St,,,Winnipeg,,,MB,,R2C 1L7,Canada,49.90019589999999,-96.98089,Kildare - Redonda,True
Lions Personal Care Centre,,,,,,204-784-2723,,,,,,,,,,,,204-784-1240,,,,,,,,,,,,,,,,,Assisted Living,,,,320 Sherbrook St,,,Winnipeg,,,MB,,R3B 2W6,Canada,49.88897060000001,-97.1596464,St. Matthews,True
Parkview Place,,,,,,204-947-1969,,,,,,,,,,,,204-942-5291,,,,,,,,,,,,,,,,,Assisted Living,,,,440 Edmonton St,,,Winnipeg,,,MB,,R3B 2M4,Canada,49.89700560000001,-97.15002650000001,Downtown,True
Calvary Place Personal Care Home,,,,,,204-783-7524,,,,,,,,,,,,204-943-4424,,,,,,,,,,,,,,,,,Assisted Living,,,,1325 Erin St,,,Winnipeg,,,MB,,R3E 3R6,Canada,49.89878400000001,-97.1834049,Sargent Park,True
Bethania Mennonite Personal Care Home,,,,,,204-667-7078,,,,,,,,,,,,204-667-0795,,,,,,,,,,,,,,,,,Assisted Living,,,,1045 Concordia Ave,,,Winnipeg,,,MB,,R2K 3S7,Canada,49.91391300000001,-97.066518,Valley Gardens,True
Holy Family Home,,,,,,204-589-8605,,,,,,,,,,,,204-589-7381,,,,,,,,,,,,,,,,,Assisted Living,,,,165 Aberdeen Ave,,,Winnipeg,,,MB,,R2W 1T9,Canada,49.9165673,-97.1302029,North Point Douglas,True
River East Personal Care Home,,,,,,204-668-7459,,,,,,,,,,,,204-668-7460,,,,,,,,,,,,,,,,,Assisted Living,,,,1375 Molson St,,,Winnipeg,,,MB,,R2K 4K8,Canada,49.921132,-97.053263,Eaglemere,True
Fred Douglas Lodge,,,,,,204-586-5510,,,,,,,,,,,,204-586-8541,,,,,,,,,,,,,,,,,Assisted Living,,,,1275 Burrows Ave,,,Winnipeg,,,MB,,R2X 0B8,Canada,49.92955099999999,-97.17567530000001,Shaughnessy Park,True
St. Joseph's Residence,,,,,,204-697-8075,,,,,,,,,,,,204-697-8031,,,,,,,,,,,,,,,,,Assisted Living,,,,1149 Leila Ave,,,Winnipeg,,,MB,,R2P 1S6,Canada,49.9563913,-97.1544184,Leila North,True
Beacon Hill Lodge,,,,,,204-944-0135,,,,,,,,,,,,204-942-7541,,,,,,,,,,,,,,,,,Assisted Living,,,,190 Fort St,,,Winnipeg,,,MB,,R3C 1C9,Canada,49.891197,-97.138128,Downtown,True
Meadowood Manor,,,,,,204-254-5402,,,,,,,,,,,,204-257-2394,,,,,,,,,,,,,,,,,Assisted Living,,,,577 St Anne's Rd,,,Winnipeg,,,MB,,R2M 5B2,Canada,49.83473799999999,-97.089699,Meadowood,True
Misericordia Place,,,,,,204-783-6776,,,,,,,,,,,,204-774-6581,,,,,,,,,,,,,,,,,Assisted Living,,,,44 Furby St,,,Winnipeg,,,MB,,R3C 2A1,Canada,49.8798417,-97.1586095,West Broadway,True
Middlechurch Home of Winnipeg,,,,,,204-334-2503,,,,,,,,,,,,204-339-1947,,,,,,,,,,,,,,,,,Assisted Living,,,,280 Balderstone Rd,,,Winnipeg,,,MB,,R4A 4A6,Canada,49.9787647,-97.0620187,,True
Actionmarguerite (Saint-Vital),,,,,,204-254-0329,,,,,,,,,,,,204-254-3332,,,,,,,,,,,,,,,,,Assisted Living,,,,450 River Rd,,,Winnipeg,,,MB,,R2M 5M4,Canada,49.81572000000001,-97.130433,Minnetonka,True
St. Norbert Personal Care Home,,,,,,204-269-6374,,,,,,,,,,,,204-269-4538,,,,,,,,,,,,,,,,,Assisted Living,,,,50 St Pierre St,,,Winnipeg,,,MB,,R3V 1J6,Canada,49.76582699999999,-97.1439121,St. Norbert,True
Southeast Personal Care Home,,,,,,204-269-8819,,,,,,,,,,,,204-269-7111,,,,,,,,,,,,,,,,,Assisted Living,,,,1265 Lee Blvd,,,Winnipeg,,,MB,,R3T 2M3,Canada,49.7972766,-97.1671518,Fairfield Park,True
West Park Manor Personal Care Home,,,,,,204-832-9555,,,,,,,,,,,,204-889-3330,,,,,,,,,,,,,,,,,Assisted Living,,,,3199 Grant Ave,,,Winnipeg,,,MB,,R3R 1X2,Canada,49.85892069999999,-97.2536601,Varsity View,True
Golden Links Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Canada,ERROR,ERROR,ERROR,False
Golden Door Geriatric Centre,,,,,,204-269-5626,,,,,,,,,,,,204-269-6308,,,,,,,,,,,,,,,,,Assisted Living,,,,1679 Pembina Hwy,,,Winnipeg,,,MB,,R3T 2G6,Canada,49.82826000000001,-97.15393499999999,Pembina Strip,True
The Saul &amp; Claribel Simkin Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Canada,ERROR,ERROR,ERROR,False
