name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
AOMEGA IV,,,,,,N/A,,,,,,,,,,,,(403) 730-8442,,,,,,,,,,,,,,,,,,,,,824 Lake Ontario Drive SE,,,CALGARY,,,AB,,T3J 3J9,Canada,50.93029,-114.0409987,Southeast Calgary,TRUE
ORCHARD MANOR,,,,,,N/A,,,,,,,,,,,,(403) 362-6188,,,,,,,,,,,,,,,,,,,,,951 Cassils Road West,,,BROOKS,,,AB,,T1R 1K9,Canada,50.5717341,-111.9120621,,TRUE
STONY PLAIN CARE CENTRE,,,,,,(780) 963-0795,,,,,,,,,,,,(780) 963-2261,,,,,,,,,,,,,,,,,,,,,4800 55 Avenue,,,STONY PLAIN,,,AB,,T7Z 1P9,Canada,53.52356,-114.003068,,TRUE
GOOD SAMARITAN SOCIETY MOUNTAINVIEW CENTRE,,,,,,(780) 865-4098,,,,,,,,,,,,(780) 865-5926,,,,,,,,,,,,,,,,,,,,,1290 Switzer Drive,,,HINTON,,,AB,,T7V 2E9,Canada,53.398112,-117.58652,,TRUE
CALEB MANOR,,,,,,N/A,,,,,,,,,,,,(780) 497-7737,,,,,,,,,,,,,,,,,,,,,100 6411 199 Street,,,EDMONTON,,,AB,,T5T 6Y4,Canada,53.5003,-113.663056,West Edmonton,TRUE
HERITAGE HOUSE,,,,,,(780) 603-2237,,,,,,,,,,,,(780) 603-0853,,,,,,,,,,,,,,,,,,,,,4570 Maple Street,,,VEGREVILLE,,,AB,,T9C 1X2,Canada,53.493267,-112.067479,,TRUE
CANTERBURY COURT,,,,,,N/A,,,,,,,,,,,,(780) 930-3729,,,,,,,,,,,,,,,,,,,,,8403 142 Street,,,EDMONTON,,,AB,,T5R 4L3,Canada,53.5160344,-113.5648871,West Edmonton,TRUE
AOMEGA V,,,,,,N/A,,,,,,,,,,,,(403) 730-8442,,,,,,,,,,,,,,,,,,,,,14120 Parkside Drive SE,,,CALGARY,,,AB,,T2J 3X3,Canada,50.9258326,-114.0377941,Southeast Calgary,TRUE
138223 ALBERTA LTD O/A NEW HORIZON HOMES 1,,,,,,N/A,,,,,,,,,,,,(587) 899-1159,,,,,,,,,,,,,,,,,,,,,3519 60 Street NE,,,CALGARY,,,AB,,T1Y 3L2,Canada,51.0844245,-113.9471084,Northeast Calgary,TRUE
PROVERBIUM HOMES IV,,,,,,N/A,,,,,,,,,,,,(403) 613-2889,,,,,,,,,,,,,,,,,,,,,29 Del Ray Place NE,,,CALGARY,,,AB,,T1Y 6X8,Canada,51.0746243,-113.9247037,Northeast Calgary,TRUE
PARAGON PLACE,,,,,,N/A,,,,,,,,,,,,(403) 742-6195,,,,,,,,,,,,,,,,,,,,,5011 55 Street,,,STETTLER,,,AB,,T0C 2L2,Canada,52.326662,-112.711335,,TRUE
BOW VALLEY REGIONAL HOUSING/CASCADE HOUSE,,,,,,N/A,,,,,,,,,,,,(403) 678-5922,,,,,,,,,,,,,,,,,,,,,227 Beaver Street,,,BANFF,,,AB,,T1L 1A9,Canada,51.1781812,-115.5696083,,TRUE
SUNRISE VILLAGE WETASKIWIN,,,,,,(780) 361-1970,,,,,,,,,,,,(780) 352-4725,,,,,,,,,,,,,,,,,,,,,5430 37A Avenue,,,WETASKIWIN,,,AB,,T9A 3A8,Canada,52.9564526,-113.3869865,,TRUE
EMMANUEL HOME,,,,,,(780) 473-0970,,,,,,,,,,,,(780) 478-2051,,,,,,,,,,,,,,,,,,,,,13425 57 Street,,,EDMONTON,,,AB,,T5A 2G1,Canada,53.597173,-113.427956,Northeast Edmonton,TRUE
WATERFORD OF SUMMERLEA (THE),,,,,,(780) 487-8443,,,,,,,,,,,,(780) 444-4545,,,,,,,,,,,,,,,,,,,,,9395 172 Street,,,EDMONTON,,,AB,,T5T 5S6,Canada,53.5300366,-113.6172496,West Edmonton,TRUE
PROVIDENCE PLACE,,,,,,(780) 374-2529,,,,,,,,,,,,(780) 374-2527,,,,,,,,,,,,,,,,,,,,,6120 51 Avenue,,,DAYSLAND,,,AB,,T0B 1A0,Canada,52.8687711,-112.2739257,,TRUE
VILLA MARGUERITE SENIORS COMMUNITY PARTNERSHIP,,,,,,(780) 431-3699,,,,,,,,,,,,(780) 983-2010,,,,,,,,,,,,,,,,,,,,,9810 165 Street,,,EDMONTON,,,AB,,T5P 3S7,Canada,53.536426,-113.607651,West Edmonton,TRUE
SUMMERLEA INTERNATIONAL CARE HOME INC.,,,,,,N/A,,,,,,,,,,,,(780) 974-0678,,,,,,,,,,,,,,,,,,,,,8727 207 Street,,,EDMONTON,,,AB,,T5T 6Y1,Canada,53.5226623,-113.6760817,West Edmonton,TRUE
MARTHA'S HOUSE,,,,,,N/A,,,,,,,,,,,,(403) 327-2090,,,,,,,,,,,,,,,,,,,,,950 14 Street South,,,LETHBRIDGE,,,AB,,T1J 2Y8,Canada,49.6843262,-112.8224206,South Lethbridge,TRUE
WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,,,,,,N/A,,,,,,,,,,,,(780) 842-6863,,,,,,,,,,,,,,,,,,,,,1110 1 Avenue,,,WAINWRIGHT,,,AB,,T9W 1S5,Canada,52.8316842,-110.8590918,,TRUE
WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,,,,,,N/A,,,,,,,,,,,,(780) 842-3798,,,,,,,,,,,,,,,,,,,,,1112 1 Avenue,,,WAINWRIGHT,,,AB,,T9W 1S5,Canada,52.8316781,-110.8589963,,TRUE
GARNEAU HALL,,,,,,N/A,,,,,,,,,,,,(780) 989-7900,,,,,,,,,,,,,,,,,,,,,10923 82 Avenue,,,EDMONTON,,,AB,,T6G 2N9,Canada,53.5179617,-113.5136259,Garneau,TRUE
RGC HEALTH CARE 2,,,,,,N/A,,,,,,,,,,,,(403) 202-3992,,,,,,,,,,,,,,,,,,,,,26 Sherwood Gardens NW,,,CALGARY,,,AB,,T3R 1M9,Canada,51.1607198,-114.1465412,Northwest Calgary,TRUE
CATHOLIC SOCIAL SERVICES,,,,,,N/A,,,,,,,,,,,,(780) 842-9129,,,,,,,,,,,,,,,,,,,,,8815 99 Street,,,EDMONTON,,,AB,,T6E 3V3,Canada,53.524238,-113.48568,South Central Edmonton,TRUE
MAYFAIR CARE CENTRE,,,,,,N/A,,,,,,,,,,,,(403) 252-4445,,,,,,,,,,,,,,,,,,,,,8240 Collicut Street SW,,,CALGARY,,,AB,,T2V 2X1,Canada,50.9800267,-114.0931794,Southwest Calgary,TRUE
BRENTWOOD CARE CENTRE,,,,,,(403) 282-7027,,,,,,,,,,,,(403) 289-2576,,,,,,,,,,,,,,,,,,,,,2727 16 Avenue NW,,,CALGARY,,,AB,,T2N 3Y6,Canada,51.0676429,-114.125137,Northwest Calgary,TRUE
GOOD SAMARITAN SOCIETY SOUTH RIDGE VILLAGE (THE),,,,,,(403) 504-2520,,,,,,,,,,,,(403) 528-5050,,,,,,,,,,,,,,,,,,,,,550 Spruce Way SE,,,MEDICINE HAT,,,AB,,T1B 4P1,Canada,49.998254,-110.6749757,,TRUE
COALDALE HEALTH CENTRE,,,,,,N/A,,,,,,,,,,,,(403) 345-3075,,,,,,,,,,,,,,,,,,,,,2100 11 Street,,,COALDALE,,,AB,,T1M 1L2,Canada,49.726147,-112.606338,,TRUE
TABER HEALTH CENTRE,,,,,,(403) 223-1703,,,,,,,,,,,,(403) 223-7211,,,,,,,,,,,,,,,,,,,,,4326 50 Avenue,,,TABER,,,AB,,T1G 1N9,Canada,49.7850125,-112.1651375,,TRUE
RAYMOND HEALTH CENTRE,,,,,,(403) 752-3554,,,,,,,,,,,,(403) 752-5406,,,,,,,,,,,,,,,,,,,,,150 N 4 Street East,,,RAYMOND,,,AB,,T0K 2S0,Canada,49.4647002,-112.650584,,TRUE
CARDSTON HEALTH CENTRE,,,,,,(403) 308-6720,,,,,,,,,,,,(403) 653-5254,,,,,,,,,,,,,,,,,,,,,144 2 Street West,,,CARDSTON,,,AB,,T0K 0K0,Canada,49.2014769,-113.3068382,,TRUE
MILK RIVER HEALTH CENTRE,,,,,,(403) 647-2337,,,,,,,,,,,,(403) 647-5506,,,,,,,,,,,,,,,,,,,,,517 Centre Avenue East,,,MILK RIVER,,,AB,,T0K 1M0,Canada,49.148799,-112.076851,,TRUE
CROWSNEST PASS HEALTH CENTRE,,,,,,N/A,,,,,,,,,,,,(403) 562-5016,,,,,,,,,,,,,,,,,,,,,2001 107 Street,,,BLAIRMORE,,,AB,,T0K 0E0,Canada,49.6162753,-114.458498,Blairmore,TRUE
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),,,,,,N/A,,,,,,,,,,,,(403) 382-6464,,,,,,,,,,,,,,,,,,,,,1400 9 Avenue South,,,LETHBRIDGE,,,AB,,T1J 4V5,Canada,49.68595,-112.8225257,South Lethbridge,TRUE
EXTENDICARE FORT MACLEOD,,,,,,N/A,,,,,,,,,,,,(403) 553-3955,,,,,,,,,,,,,,,,,,,,,654 29 Street,,,FORT MACLEOD,,,AB,,T0L 0Z0,Canada,49.7290978,-113.3953232,,TRUE
EDITH CAVELL CARE CENTRE,,,,,,N/A,,,,,,,,,,,,(403) 328-6631,,,,,,,,,,,,,,,,,,,,,1255 5 Avenue South,,,LETHBRIDGE,,,AB,,T1J 0V6,Canada,49.693923,-112.82591,South Lethbridge,TRUE
ATHABASCA HEALTHCARE CENTRE,,,,,,N/A,,,,,,,,,,,,(780) 675-6032,,,,,,,,,,,,,,,,,,,,,3100 48 Avenue,,,ATHABASCA,,,AB,,T9S 1M9,Canada,54.71724,-113.254056,,TRUE
EXTENDICARE ATHABASCA,,,,,,(780) 675-3833,,,,,,,,,,,,(780) 675-2291,,,,,,,,,,,,,,,,,,,,,4517 53 Street,,,ATHABASCA,,,AB,,T9S 1K4,Canada,54.715358,-113.291318,,TRUE
DR. W. R. KEIR - BARRHEAD CONTINUING CARE CENTRE,,,,,,N/A,,,,,,,,,,,,(780) 674-4506,,,,,,,,,,,,,,,,,,,,,5336 59 Avenue,,,BARRHEAD,,,AB,,T7N 1L2,Canada,54.129759,-114.40752,,TRUE
BONNYVILLE HEALTHCARE CENTRE,,,,,,(780) 826-6526,,,,,,,,,,,,(780) 826-3311,,,,,,,,,,,,,,,,,,,,,5001 Lakeshore Drive,,,BONNYVILLE,,,AB,,T9N 2J7,Canada,54.263728,-110.739296,,TRUE
EXTENDICARE BONNYVILLE,,,,,,(780) 826-4890,,,,,,,,,,,,(780) 826-3341,,,,,,,,,,,,,,,,,,,,,4602 47 Avenue,,,BONNYVILLE,,,AB,,T9N 2E8,Canada,54.264453,-110.731126,,TRUE
COLD LAKE HEALTHCARE CENTRE,,,,,,N/A,,,,,,,,,,,,(780) 639-6552,,,,,,,,,,,,,,,,,,,,,314 25 Street,,,COLD LAKE,,,AB,,T9M 1G6,Canada,54.4658423,-110.1990835,,TRUE
ELK POINT HEALTHCARE CENTRE,,,,,,(780) 624-3085,,,,,,,,,,,,(780) 724-6334,,,,,,,,,,,,,,,,,,,,,5221 - 52 Avenue,,,ELK POINT,,,AB,,T0A 1A0,Canada,53.8988966,-110.9045162,,TRUE
WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,,,,,,N/A,,,,,,,,,,,,(780) 623-6229,,,,,,,,,,,,,,,,,,,,,9110 93 Street,,,LAC LA BICHE,,,AB,,T0A 2C0,Canada,54.764637,-111.964463,,TRUE
EXTENDICARE MAYERTHORPE,,,,,,(780) 786-4710,,,,,,,,,,,,(780) 786-2211,,,,,,,,,,,,,,,,,,,,,4706 54 Street,,,MAYERTHORPE,,,AB,,T0E 1N0,Canada,53.9524554,-115.1469856,,TRUE
