name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
1043 Harvey House,,,,,,n/a,,,,,,,,,,,,n/a,,,www.jhscso.bc.ca,,,,,,,,,,,,,,,,,,n/a,,,Kelowna,,,BC,,n/a,Canada,49.8879519,-119.4960106,,FALSE
Chartwell Chatsworth Retirement Residences,,,,,,250-860-1094,,,,,,,,,,,,250-860-1064,,,www.chartwellreit.ca,,,,,,,,,,,,,,,,,,1831 Parkview Crescent,,,Kelowna,,,BC,,V1X 7G7,Canada,49.881085,-119.4264722,Central City,TRUE
Fernbrae Manor,,,,,,250-979-0601,,,,,,,,,,,,250-979-0600,,,www.fernbraemanor.com,,,,,,,,,,,,,,,,,,295 Gerstmar Road,,,Kelowna,,,BC,,V1X 7W9,Canada,49.8861141,-119.4094457,Rutland,TRUE
Glenwood Homes Ltd.,,,,,,n/a,,,,,,,,,,,,250-762-0028,,,www.glenwoodseniorshome.ca,,,,,,,,,,,,,,,,,,766 Glenwood Avenue,,,Kelowna,,,BC,,V1Y 5M5,Canada,49.8756582,-119.4863115,Central City,TRUE
Harmony Living for Seniors - Kelowna,,,,,,250-861-3921,,,,,,,,,,,,250-861-3991,,,www.harmonylivingforseniors.ca,,,,,,,,,,,,,,,,,,962/964 Laurier Avenue,,,Kelowna,,,BC,,V1Y 6B1,Canada,49.882437,-119.4806769,Central City,TRUE
Hawthorn Park Retirement Community,,,,,,250-861-3404,,,,,,,,,,,,250-861-6636,,,www.hawthornpark.com,,,,,,,,,,,,,,,,,,867 K.L.O Road,,,Kelowna,,,BC,,V1Y 9G5,Canada,49.8604765,-119.4840546,South Pandosy - K.L.O.,TRUE
Mountainview Village,,,,,,250-717-3948,,,,,,,,,,,,250-717-3918,,,www.gss.org,,,,,,,,,,,,,,,,,,1540 K.L.O Road,,,Kelowna,,,BC,,V1W 3P6,Canada,49.8618521,-119.4649089,South Pandosy - K.L.O.,TRUE
Sun Pointe Village,,,,,,250-491-1449,,,,,,,,,,,,250-491-1400,,,www.baptisthousing.org,,,,,,,,,,,,,,,,,,700 Rutland Road North,,,Kelowna,,,BC,,V1X 7W8,Canada,49.8964875,-119.3878287,Rutland,TRUE
The Heritage Retirement Residence,,,,,,250-768-9904,,,,,,,,,,,,250-768-9926,,,www.verveseniorliving.com,,,,,,,,,,,,,,,,,,3630 Brown Rd,,,Kelowna,,,BC,,V4T 7Y9,Canada,49.832169,-119.628692,,TRUE
The Village at Mill Creek,,,,,,250-980-5240,,,,,,,,,,,,250-860-2216,,,www.baptisthousing.org,,,,,,,,,,,,,,,,,,1450 Sutherland Avenue,,,Kelowna,,,BC,,V1Y 5Y5,Canada,49.8804334,-119.4678305,Central City,TRUE
Austin Harris Residence,,,,,,604-277-8834,,,,,,,,,,,,604-277-9819,,,www.vch.ca/EN/find_services/find_services/?&program_id=10568,,,,,,,,,,,,,,,,,,5411 Moncton Street,,,Richmond,,,BC,,V7E 0A8,Canada,49.125784,-123.164337,Steveston,TRUE
Courtyard Gardens,,,,,,604-273-9253,,,,,,,,,,,,604-273-1225,,,www.verveseniorliving.com,,,,,,,,,,,,,,,,,,7051 Moffatt Road,,,Richmond,,,BC,,V6Y 3W2,Canada,49.1619421,-123.1438193,,TRUE
Ayre Manor,,,,,,250-642-1754,,,,,,,,,,,,250-642-1750,,,www.ayremanor.ca/,,,,,,,,,,,,,,,,,,6754 Ayre Road,,,Sooke,,,BC,,V9Z 1K1,Canada,48.377617,-123.726908,,TRUE
Bedford Manor,,,,,,250-434-1703,,,,,,,,,,,,250-434-1702,,,n/a,,,,,,,,,,,,,,,,,,529 Seymour Street,,,Kamloops,,,BC,,V2C 0A1,Canada,50.6746806,-120.3283784,City Centre,TRUE
Berwick on the Park,,,,,,250-377-7276,,,,,,,,,,,,250-377-7275,,,www.berwickrc.com,,,,,,,,,,,,,,,,,,60 Whiteshield Crescent South,,,Kamloops,,,BC,,V2E 2S9,Canada,50.6569637,-120.3373815,Upper Sahali,TRUE
Chartwell Kamloops Retirement Residence,,,,,,250-376-5380,,,,,,,,,,,,250-376-5363,,,www.chartwell.com,,,,,,,,,,,,,,,,,,628 Tranquille Road,,,Kamloops,,,BC,,V2B 3H6,Canada,50.695277,-120.3601029,North Shore,TRUE
Greenfield Gardens,,,,,,n/a,,,,,,,,,,,,250-554-9244,,,n/a,,,,,,,,,,,,,,,,,,1607 Greenfield Ave,,,Kamloops,,,BC,,V2B 4N4,Canada,50.7042464,-120.3847699,Brocklehurst,TRUE
Kamloops Seniors Village,,,,,,250-571-1799,,,,,,,,,,,,250-571-1800,,,n/a,,,,,,,,,,,,,,,,,,1220 Hugh Allan Drive,,,Kamloops,,,BC,,V1S 2B3,Canada,50.6502667,-120.3726273,Aberdeen,TRUE
The Hamlets at Westsyde,,,,,,250-579-9069,,,,,,,,,,,,250-579-9061,,,www.thehamletsatwestsyde.com/,,,,,,,,,,,,,,,,,,3255 Overlander Drive,,,Kamloops,,,BC,,V2B 0A5,Canada,50.7709548,-120.3413541,Westsyde,TRUE
Berwick By The Sea,,,,,,250-850-1355,,,,,,,,,,,,250-850-1353,,,www.berwickrc.com,,,,,,,,,,,,,,,,,,1353 16th Ave,,,Campbell River,,,BC,,V9W 2C9,Canada,50.0296916,-125.2452499,,TRUE
Ironwood Place,,,,,,250-287-4998,,,,,,,,,,,,250-287-4486,,,www.viha.ca/hcc/assisted/locations/ironwood_place.htm,,,,,,,,,,,,,,,,,,1351 Ironwood Street,,,Campbell River,,,BC,,V9W 5Z7,Canada,50.0284384,-125.254816,,TRUE
Berwick Comox Valley,,,,,,250-339-1789,,,,,,,,,,,,250-339-1690,,,www.berwickrc.com,,,,,,,,,,,,,,,,,,1700 Comox Avenue,,,Comox,,,BC,,V9M 4H4,Canada,49.6724764,-124.9230234,,TRUE
Bevan Village,,,,,,604-850-5418,,,,,,,,,,,,604-850-5416,,,www.bevanvillage.ca,,,,,,,,,,,,,,,,,,33386 Bevan Avenue,,,Abbotsford,,,BC,,V2S 5G6,Canada,49.0417573,-122.2993356,Mill Lake,TRUE
Brookdale House,,,,,,604-853-0036,,,,,,,,,,,,604-853-2035,,,www.brookdale.house,,,,,,,,,,,,,,,,,,30961 Brookdale Crt,,,Abbotsford,,,BC,,V2T 5S3,Canada,49.065585,-122.366427,Townline Hill,TRUE
Hallmark on the Park,,,,,,604-859-4678,,,,,,,,,,,,604-859-0053,,,www.hallmarkretirement.ca,,,,,,,,,,,,,,,,,,3055 Princess Street,,,Abbotsford,,,BC,,V2T 4A8,Canada,49.0573146,-122.3450804,Clearbrook,TRUE
Menno Assisted Living,,,,,,604-851-4015,,,,,,,,,,,,604-851-4004,,,www.mennoplace.ca,,,,,,,,,,,,,,,,,,2021 Primrose Street,,,Abbotsford,,,BC,,V2S 2Y9,Canada,49.038887,-122.309855,Mill Lake,TRUE
Tabor Court,,,,,,604-859-8713,,,,,,,,,,,,604-859-8718,,,www.taborhome.org,,,,,,,,,,,,,,,,,,31954 Sunrise Crescent,,,Abbotsford,,,BC,,V2T 1N6,Canada,49.046525,-122.338305,Clearbrook Commercial,TRUE
