name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Ashley,,,,,,,,,,,,,,,,,FL AND B dba THE PILLARS OF THE COMMUNITY,870-364-2474,,,,,,,,,,,,,,,,,Assisted Living,,,,400 MAIN St,,,CROSSETT,,,AR,,71635-1116,US,33.1305463,-91.96213499999999,,True
Baxter,,,,,,,,,,,,,,,,,GOOD SAMARITAN SOCIETY,870-425-0557,,,,,,,,,,,,,,,,,Assisted Living,,,,200 GOOD SAMARITAN DR,,,MOUNTAIN HOME,,,AR,,72653-9325,US,36.3155093,-92.3533846,,False
Baxter,,,,,,,,,,,,,,,,,RIVER LODGE ASSISTED LIVING AUTUMN HOME CARE FACILITIES INC. dba  AUTUMN,870-424-2336,,,,,,,,,,,,,,,,,Assisted Living,,,,2509 HWY 62 W,,,MOUNTAIN HOME,,,AR,,72653,US,36.3497739,-92.336211,,True
Benton,,,,,,,,,,,,,,,,,PLACE AT OAK RIDGE,479-451-1800,,,,,,,,,,,,,,,,,Assisted Living,,,,103 WADE Ln,,,PEA RIDGE,,,AR,,72751-3309,US,36.432836,-94.117217,,True
Benton,,,,,,,,,,,,,,,,,LEGACY VILLAGE GREENHOUSE ASSISTED LIVING FACILITY,479-271-2387,,,,,,,,,,,,,,,,,Assisted Living,,,,1303 NE LEGACY Pkwy,,,BENTONVILLE,,,AR,,72712-4940,US,36.3812302,-94.19282369999999,,True
Benton,,,,,,,,,,,,,,,,,THE GARDENS AT OSAGE TERRACE,479-254-8759,,,,,,,,,,,,,,,,,Assisted Living,,,,"3317 SE ""L"" St",,,BENTONVILLE,,,AR,,72712-3793,US,36.3379589,-94.19358319999999,,True
Carroll,,,,,,,,,,,,,,,,,"GREEN ACRE LODGE, INC.",479-253-6553,,,,,,,,,,,,,,,,,Assisted Living,,,,89 HILLSIDE Dr,,,HOLIDAY ISLAND,,,AR,,72631-0000,US,36.48653959999999,-93.7583073,,True
Carroll,,,,,,,,,,,,,,,,,HOLLY HOUSE,479-253-9800,,,,,,,,,,,,,,,,,Assisted Living,,,,100 RIDGEVIEW Rd,,,EUREKA SPRINGS,,,AR,,72632-9358,US,36.3901147,-93.7051651,,True
Clay,,,,,,,,,,,,,,,,,MAGNOLIA MANOR ASSISTED LIVING,870-598-1025,,,,,,,,,,,,,,,,,Assisted Living,,,,1200 GORDON DUCKWORTH DR,,,PIGGOTT,,,AR,,72454-1916,US,36.39212370000001,-90.20495939999999,,False
Cleburne,,,,,,,,,,,,,,,,,SOUTHRIDGE VILLAGE RETIREMENT CENTER,5-1-362-7023,,,,,,,,,,,,,,,,,Assisted Living,,,,401 SOUTHRIDGE Pkwy,,,HEBER SPRINGS,,,AR,,72543-0000,US,35.4920171,-91.9963593,,True
