row_id,AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
USA-FL-62-All-62-AdultDayCare-1,12962339,9232,03/11/2016,11/19/2017,Adult Day Care Center,A & D LOVE AND CARE  INC,5931 NW 173RD DR UNIT 3,,HIALEAH,FL,33015-5107,Miami-Dade,(305) 510-5745,5931 NW 173RD DR UNIT 3,,HIALEAH,FL,33015-5107,Miami-Dade,LICENSED,A & D LOVE AND CARE  INC.,11/20/2013,MAYELIN CORREA,30,For-Profit,
USA-FL-62-All-62-AdultDayCare-2,12962520,9381,02/02/2017,02/01/2019,Adult Day Care Center,A BETTER LIFE ADULT DAY CARE  INC,8313 W HILLSBOROUGH AVE BLDG 400,,TAMPA,FL,33615,Hillsborough,(813) 892-4214,8313 W HILLSBOROUGH AVE BLDG 400,,TAMPA,FL,33615,Hillsborough,LICENSED,A Better Life Adult Day Care Inc,12/08/2016,GRETEL QUINONES,98,For-Profit,
USA-FL-62-All-62-AdultDayCare-3,12962462,9337,02/01/2016,01/31/2018,Adult Day Care Center,A JOYFUL HEART SENIOR SERVICES,12201 PEMBROKE RD,,PEMBROKE PINES,FL,33025,Broward,,12201 PEMBROKE RD,,PEMBROKE PINES,FL,33025,Broward,LICENSED,DEVJOHN MEDICAL INC,12/01/2015,CORLETTE DEVEAUX,62,For-Profit,
USA-FL-62-All-62-AdultDayCare-4,12962493,9359,08/19/2016,08/18/2018,Adult Day Care Center,A MI MANERA ADULT DAY CARE,7397 SW 8TH ST,,MIAMI,FL,33144,Miami-Dade,(305) 588-0570,7397 SW 8TH ST,,MIAMI,FL,33144,Miami-Dade,LICENSED,A Mi Manera Adult Day Care Inc,08/19/2016,CELIA MARIE LOPEZ,84,For-Profit,
USA-FL-62-All-62-AdultDayCare-5,12962367,9258,09/19/2015,09/18/2017,Adult Day Care Center,A PLACE FOR YOU ADULT DAY CARE AND REHAB CENTER CORP,4996 10TH AVE N HAVERHILL RD STE 5,,GREENACRES,FL,33463,Palm Beach,(561) 965-6980,4996 10TH AVE N HAVERHILL RD STE 5,,GREENACRES,FL,33463,Palm Beach,IN REVIEW,A PLACE FOR YOU ADULT DAY CARE AND REHAB CENTER CORP.,07/11/2013,CAELY PEREZ,57,For-Profit,www.aplaceforyouadultdaycare.com
USA-FL-62-All-62-AdultDayCare-6,12962542,9398,08/01/2017,07/31/2019,Adult Day Care Center,ABC ADULT DAY CARE LLC,11150 SW 211TH STREET NO 100,,CUTLER BAY,FL,33189,Miami-Dade,(786) 478-6860,11150 SW 211TH ST  NO 100,,CUTLER BAY,FL,33189,Miami-Dade,LICENSED,ABC ADULT DAY CARE LLC,08/01/2017,MARIA C MARTINEZ,155,For-Profit,
USA-FL-62-All-62-AdultDayCare-7,12962294,9207,07/16/2016,07/15/2018,Adult Day Care Center,ABC-ALSY ADULT DAY CARE CENTERS LLC,248 NW 9TH AVE,,HOMESTEAD,FL,33030,Miami-Dade,(305) 242-5333,248 NW 9TH AVE,,HOMESTEAD,FL,33030,Miami-Dade,LICENSED,ABC-ALSY ADULT DAY CARE CENTERS  LLC,07/16/2012,MARIA C MARTINEZ,107,For-Profit,
USA-FL-62-All-62-AdultDayCare-8,12962272,9184,01/10/2017,08/02/2018,Adult Day Care Center,ABIS 'ADULT DAY CARE INC,10910 W FLAGLER ST STE 109-110,,MIAMI,FL,33174,Miami-Dade,(305) 225-2550,10910 W FLAGLER ST STE 109-110,,MIAMI,FL,33174,Miami-Dade,LICENSED,ABIS ADULT DAY CARE  INC.,01/03/2012,MANUEL VERDE,23,For-Profit,
USA-FL-62-All-62-AdultDayCare-9,12962226,9157,11/08/2016,11/07/2018,Adult Day Care Center,ABUELO'S DAY CARE CORP,15435 SW 137TH AVE,,MIAMI,FL,33177-1279,Miami-Dade,(305) 232-6230,15435 SW 137TH AVE,,MIAMI,FL,33177-1279,Miami-Dade,LICENSED,ABUELO'S DAY CARE CORP.,01/13/2012,JOSE LUIS PENA,42,For-Profit,
USA-FL-62-All-62-AdultDayCare-10,12962477,9350,05/02/2016,05/01/2018,Adult Day Care Center,ABUELOS ADULT CARE  LLC,3383 NW 7TH ST 101,,MIAMI,FL,33125,Miami-Dade,(786) 486-9878,3383 NW 7TH ST 101,,MIAMI,FL,33125,Miami-Dade,LICENSED,ABUELOS ADULT CARE  LLC,03/04/2016,RUDDY ARMANDO LOPEZ,39,For-Profit,
