name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Ayre Manor Assisted Living,,,,,,,,,,,,,,,,,,250-642-1750,,,http://www.viha.ca/hcc/assisted/locations/ayre_manor.htm,,,,,,,,,,,,,,Assisted Living,,,,6754 Ayre Rd,,,Sooke,Sooke,,BC,,V9Z 1K1,Canada,48.377617,-123.726908,,True
Braehaven,,,,,,,,,,,,,,,,,,250-537-5561,,,http://www.viha.ca/hcc/assisted/locations/braehaven.htm,,,,,,,,,,,,,,Assisted Living,,,,137 Blain Rd,Ganges,,Salt Spring Island,Salt Spring Island,,BC,,V8K 0A1,Canada,48.8616338,-123.5114185,Ganges,True
Cokely Manor,,,,,,,,,,,,,,,,,,250-248-4331 ext 104,,,http://www.viha.ca/hcc/assisted/locations/cokely_manor.htm,,,,,,,,,,,,,,Assisted Living,,,,266A Moilliet St,,,Parksville,Parksville,,BC,,V9P 1M9,Canada,49.3163852,-124.3232824,,True
Comox Valley Seniors Village and Casa Loma,,,,,,,,,,,,,,,,,,250-897-1033 ext 4,,,http://www.viha.ca/hcc/assisted/locations/comox_valley_seniors_village_and_casa_loma.htm,,,,,,,,,,,,,,Assisted Living,,,,4640 Headquarters Rd,,,Courtenay,Courtenay,,BC,,V8N 7J3,Canada,49.7025944,-124.992391,,True
The Cridge Village Seniors' Centre,,,,,,,,,,,,,,,,,,250-384-8058,,,http://www.viha.ca/hcc/assisted/locations/cridge_village_seniors_centre.htm,,,,,,,,,,,,,,Assisted Living,,,,1307 Hillside Ave,,,Victoria,Victoria,,BC,,V8T 0A2,Canada,48.440438,-123.35015,Oaklands,True
Forest Glen,,,,,,,,,,,,,,,,,,250-726-2789,,,http://www.viha.ca/hcc/assisted/locations/forest_glen.htm,,,,,,,,,,,,,,Assisted Living,,,,1783 St Jacques Blvd,,,Ucluelet,Ucluelet,,BC,,V0R 3A0,Canada,48.9423635,-125.5534532,,True
Grafton Lodge,,,,,,,,,,,,,,,,,,250-384-3434,,,http://www.viha.ca/hcc/assisted/locations/grafton_lodge.htm,,,,,,,,,,,,,,Assisted Living,,,,506 Grafton St,,,Victoria,Esquimalt,,BC,,V9A 7P8,Canada,48.429015,-123.423339,,True
Heritage Place,,,,,,,,,,,,,,,,,,250-735-0306,,,http://www.viha.ca/hcc/assisted/locations/heritage_place.htm,,,,,,,,,,,,,,Assisted Living,,,,4360 Heritage Ln,,,Port Alberni,Port Alberni,,BC,,V9Y 3C4,Canada,49.2526528,-124.7980508,,True
Hillside Terrace,,,,,,,,,,,,,,,,,,250-383-1977,,,http://www.viha.ca/hcc/assisted/locations/hillside_terrace.htm,,,,,,,,,,,,,,Assisted Living,,,,1460 Hillside Ave,,,Victoria,Victoria,,BC,,V8T 2B7,Canada,48.4423855,-123.3424377,Oaklands,True
Ironwood Place,,,,,,,,,,,,,,,,,,250-287-4486 ext 222,,,http://www.viha.ca/hcc/assisted/locations/ironwood_place.htm,,,,,,,,,,,,,,Assisted Living,,,,1351 Ironwood St,,,Campbell River,Campbell River,,BC,,V9W 5Z7,Canada,50.0284384,-125.254816,,True
Jesken Aerie,,,,,,,,,,,,,,,,,,250-474-1524,,,http://www.viha.ca/hcc/assisted/locations/jesken_aerie.htm,,,,,,,,,,,,,,Assisted Living,,,,817 Goldstream Ave,,,Victoria,Langford,,BC,,V9B 2X8,Canada,48.4491357,-123.5018316,,True
Kiwanis Village,,,,,,,,,,,,,,,,,,250-753-6471,,,http://www.viha.ca/hcc/assisted/locations/kiwanis_village.htm,,,,,,,,,,,,,,Assisted Living,,,,1233 Kiwanis Cr,,,Nanaimo,Nanaimo,,BC,,V9S 5Y1,Canada,49.1861086,-123.9689262,,True
La Rosa Gardens,,,,,,,,,,,,,,,,,,250-245-1016,,,http://www.viha.ca/hcc/assisted/locations/la_rosa_gardens.htm,,,,,,,,,,,,,,Assisted Living,,,,1211 Cloke Rd,,,Ladysmith,Ladysmith,,BC,,V9G 2B6,Canada,48.996218,-123.834578,,True
Legion Manor,,,,,,,,,,,,,,,,,,250-652-3261,,,http://www.viha.ca/hcc/assisted/locations/legion_manor.htm,,,,,,,,,,,,,,Assisted Living,,,,7601 East Saanich Rd,,,Saanich,Saanich Peninsula,,BC,,V9M 0A3,Canada,48.588307,-123.41842,,True
