name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Chartwell Country Cottage Retirement Residence,,,,,,,,,,,,,,,,,,587-745-0494,,,,http://chartwell.com/Retirement-Homes/Chartwell-Country-Cottage-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,75 Cranford Way,,,Sherwood Park,,,AB,,T8H 2B9,Canada,53.54326709999999,-113.2924421,,True
Chartwell Royal Park Retirement Residence,,,,,,,,,,,,,,,,,,587-287-3939,,,,http://chartwell.com/Retirement-Homes/Chartwell-Royal-Park-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,4315 Richardson Rd SW,,,Calgary,,,AB,,T3E 7J7,Canada,51.01637819999999,-114.1354163,Southwest Calgary,True
Chartwell Eau Claire Care Residence,,,,,,,,,,,,,,,,,,587-287-3943,,,,http://chartwell.com/Retirement-Homes/Chartwell-Eau-Claire-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,301 7th St SW,,,Calgary,,,AB,,T2P 1Y6,Canada,51.0504858,-114.0791145,Downtown,True
Chartwell Wild Rose Retirement Residence,,,,,,,,,,,,,,,,,,587-487-4546,,,,http://chartwell.com/Retirement-Homes/Chartwell-Wild-Rose-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,9612 172nd St NW,,,Edmonton,,,AB,,T5T 6C7,Canada,53.53274570000001,-113.6196592,West Edmonton,True
Chartwell Harbours Retirement Residence,,,,,,,,,,,,,,,,,,587-287-3941,,,,http://chartwell.com/Retirement-Homes/Chartwell-Harbours-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,20 Country Village Cove NE,,,Calgary,,,AB,,T3K 5T9,Canada,51.15662750000001,-114.0581105,Northeast Calgary,True
Chartwell Fountains of Mission Retirement Residence,,,,,,,,,,,,,,,,,,587-287-3945,,,,http://chartwell.com/Retirement-Homes/Chartwell-Fountains-of-Mission-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,222 25th Ave SW,,,Calgary,,,AB,,T2S 3E9,Canada,51.0307077,-114.068064,Southwest Calgary,True
Chartwell Colonel Belcher Retirement Residence,,,,,,,,,,,,,,,,,,587-287-3937,,,,http://chartwell.com/Retirement-Homes/Chartwell-Colonel-Belcher-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,1945 Veteran's Way NW,,,Calgary,,,AB,,T3B 5Y7,Canada,51.0625742,-114.1447592,Northwest Calgary,True
Chartwell Wescott Retirement Residence,,,,,,,,,,,,,,,,,,587-487-4032,,,,http://chartwell.com/Retirement-Homes/Chartwell-Wescott-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,3841 Allan Dr SW,,,Edmonton,,,AB,,T6W 0S7,Canada,53.4248205,-113.604608,Southwest Edmonton,True
Chartwell Carlton Care Residence,,,,,,,,,,,,,,,,,,604-419-3000,,,,http://chartwell.com/Retirement-Homes/Chartwell-Carlton-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,4108 Norfolk St,,,Burnaby,,,BC,,V5G 0B4,Canada,49.2551453,-123.0127914,,True
Chartwell Malaspina Care Residence,,,,,,,,,,,,,,,,,,250-754-7711,,,,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,100 Eleventh St,,,Nanaimo,,,BC,,V9R 6R6,Canada,49.1298481,-123.9224671,,True
Chartwell Malaspina Care Residence,,,,,,,,,,,,,,,,,,604-888-0228,,,,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,100 Eleventh St,,,Nanaimo,,,BC,,V9R 6R6,Canada,49.1298481,-123.9224671,,True
Chartwell Malaspina Care Residence,,,,,,,,,,,,,,,,,,604-888-0228,,,,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,100 Eleventh St,,,Nanaimo,,,BC,,V9R 6R6,Canada,49.1298481,-123.9224671,,True
Chartwell Malaspina Care Residence,,,,,,,,,,,,,,,,,,604-888-0228,,,,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,100 Eleventh St,,,Nanaimo,,,BC,,V9R 6R6,Canada,49.1298481,-123.9224671,,True
Chartwell Malaspina Care Residence,,,,,,,,,,,,,,,,,,604-888-0228,,,,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,100 Eleventh St,,,Nanaimo,,,BC,,V9R 6R6,Canada,49.1298481,-123.9224671,,True
Chartwell Langley Gardens Retirement Residence,,,,,,,,,,,,,,,,,,604-676-3097,,,,http://chartwell.com/Retirement-Homes/Chartwell-Langley-Gardens-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,8888 202 St,,,Langley,,,BC,,V1M 4A7,Canada,49.1660759,-122.6605598,,True
Assisted Living at Chartwell Langley Gardens,,,,,,,,,,,,,,,,,,(604) 676-3097,,,,http://chartwell.com/Retirement-Homes/Assisted-Living-at-Chartwell-Langley-Gardens,,,,,,,,,,,,Retirement Home,,,,,8888 202 St,,,Langley,,,BC,,V1M 4A7,Canada,49.1660759,-122.6605598,,True
Chartwell Langley Gardens Care Residence,,,,,,,,,,,,,,,,,,604-888-0228,,,,http://chartwell.com/Retirement-Homes/Chartwell-Langley-Gardens-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,8888 202 St,,,Langley,,,BC,,V1M 4A7,Canada,49.1660759,-122.6605598,,True
Chartwell Crescent Gardens Retirement Residence,,,,,,,,,,,,,,,,,,778-736-0345,,,,http://chartwell.com/Retirement-Homes/Chartwell-Crescent-Gardens-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,1222 King George Blvd,,,Surrey,,,BC,,V4A 9W6,Canada,49.0243698,-122.7651873,,True
Assisted Living at Chartwell Crescent Gardens,,,,,,,,,,,,,,,,,,778-736-0345,,,,http://chartwell.com/Retirement-Homes/Assisted-Living-at-Chartwell-Crescent-Gardens,,,,,,,,,,,,Retirement Home,,,,,1222 King George Blvd,,,Surrey,,,BC,,V4A 9W6,Canada,49.0243698,-122.7651873,,True
Chartwell Crescent Gardens Care Residence,,,,,,,,,,,,,,,,,,604-541-8861,,,,http://chartwell.com/Retirement-Homes/Chartwell-Crescent-Gardens-Care-Residence,,,,,,,,,,,,Retirement Home,,,,,1222 King George Blvd,,,Surrey,,,BC,,V4A 9W6,Canada,49.0243698,-122.7651873,,True
Chartwell Carlton Retirement Residence,,,,,,,,,,,,,,,,,,778-300-2388,,,,http://chartwell.com/Retirement-Homes/Chartwell-Carlton-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,4110 Norfolk St,,,Burnaby,,,BC,,V5G 1E8,Canada,49.25514580000001,-123.0128516,,True
Chartwell Birchwood Senior Cottages,,,,,,,,,,,,,,,,,,604-426-0555,,,,http://chartwell.com/Retirement-Homes/Chartwell-Birchwood-Senior-Cottages,,,,,,,,,,,,Retirement Home,,,,,45650 Patten Ave,,,Chilliwack,,,BC,,V2P 1S4,Canada,49.1692141,-121.9612748,Chilliwack Proper Village West,True
Chartwell Chatsworth Senior Bungalows,,,,,,,,,,,,,,,,,,778-721-0348,,,,http://chartwell.com/Retirement-Homes/Chartwell-Chatsworth-Senior-Bungalows,,,,,,,,,,,,Retirement Home,,,,,1831 Parkview Cr,,,Kelowna,,,BC,,V1X 7G7,Canada,49.881085,-119.4264722,Central City,True
Chartwell Hampton House Retirement Residence,,,,,,,,,,,,,,,,,,604-426-0451,,,,http://chartwell.com/Retirement-Homes/Chartwell-Hampton-House-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,45555 Hodgins Ave,,,Chilliwack,,,BC,,V2P 1P3,Canada,49.1678186,-121.9639653,Chilliwack Proper Village West,True
Chartwell Kamloops Retirement Residence,,,,,,,,,,,,,,,,,,778-376-2000,,,,http://chartwell.com/Retirement-Homes/Chartwell-Kamloops-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,628 Tranquille Rd,,,Kamloops,,,BC,,V2B 3H6,Canada,50.695277,-120.3601029,North Shore,True
Chartwell Imperial Place Retirement Residence,,,,,,,,,,,,,,,,,,778-735-0540,,,,http://chartwell.com/Retirement-Homes/Chartwell-Imperial-Place-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,13853 102nd Ave,,,Surrey,,,BC,,V3T 5P6,Canada,49.1887438,-122.8383032,Whalley,True
Chartwell Lynnwood Retirement Residence,,,,,,,,,,,,,,,,,,604-426-0453,,,,http://chartwell.com/Retirement-Homes/Chartwell-Lynnwood-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,9168 Corbould St,,,Chilliwack,,,BC,,V2P 8A1,Canada,49.1685801,-121.9643029,Chilliwack Proper Village West,True
Chartwell Willow Retirement Community,,,,,,,,,,,,,,,,,,604-676-3099,,,,http://chartwell.com/Retirement-Homes/Chartwell-Willow-Retirement-Community,,,,,,,,,,,,Retirement Home,,,,,12275 224th St,,,Maple Ridge,,,BC,,V2X 6H5,Canada,49.2252485,-122.6020242,,True
Chartwell Churchill House Retirement Residence,,,,,,,,,,,,,,,,,,778-382-0098,,,,http://chartwell.com/Retirement-Homes/Chartwell-Churchill-House-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,150 West 29th St,,,North Vancouver,,,BC,,V7N 0A1,Canada,49.33606899999999,-123.073389,,True
Chartwell Ridgepointe Retirement Residence,,,,,,,,,,,,,,,,,,778-376-2002,,,,http://chartwell.com/Retirement-Homes/Chartwell-Ridgepointe-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,1789 Primrose Ct,,,Kamloops,,,BC,,V1S 0B7,Canada,50.6533779,-120.3940219,Aberdeen,True
Chartwell Renaissance Retirement Residence,,,,,,,,,,,,,,,,,,778-726-0841,,,,http://chartwell.com/Retirement-Homes/Chartwell-Renaissance-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,6676 203rd St,,,Langley,,,BC,,V2Y 2Z1,Canada,49.12389229999999,-122.659235,Willoughby,True
Chartwell Birchwood Retirement Residence,,,,,,,,,,,,,,,,,,604-426-0455,,,,http://chartwell.com/Retirement-Homes/Chartwell-Birchwood-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,45650 Patten Ave,,,Chilliwack,,,BC,,V2P 1S4,Canada,49.1692141,-121.9612748,Chilliwack Proper Village West,True
Chartwell Carrington House Retirement Residence,,,,,,,,,,,,,,,,,,604-557-5152,,,,http://chartwell.com/Retirement-Homes/Chartwell-Carrington-House-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,32679 6th Ave,,,Mission,,,BC,,V2V 1Y8,Canada,49.13911849999999,-122.3198829,,True
Chartwell Carrington Place Retirement Residence,,,,,,,,,,,,,,,,,,866-237-1512,,,,http://chartwell.com/Retirement-Homes/Chartwell-Carrington-Place-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,4651 23rd St,,,Vernon,,,BC,,V1T 4K7,Canada,50.28095609999999,-119.2622888,,True
Chartwell Cedarbrooke Retirement Residence,,,,,,,,,,,,,,,,,,604-557-5154,,,,http://chartwell.com/Retirement-Homes/Chartwell-Cedarbrooke-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,32331 7th Ave,,,Mission,,,BC,,V2V 6T7,Canada,49.1407494,-122.3292887,,True
Chartwell Chatsworth Retirement Residence,,,,,,,,,,,,,,,,,,778-738-0623,,,,http://chartwell.com/Retirement-Homes/Chartwell-Chatsworth-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,1831 Parkview Cr,,,Kelowna,,,BC,,V1X 7G7,Canada,49.881085,-119.4264722,Central City,True
Chartwell Oak Park Terrace Retirement Residence,,,,,,,,,,,,,,,,,,226-526-9690,,,,http://chartwell.com/Retirement-Homes/Chartwell-Oak-Park-Terrace-Retirement-Residence,,,,,,,,,,,,Retirement Home,,,,,1750 EC Row North Service Rd,,,Windsor,,,ON,,N8W 1Y3,Canada,42.2836192,-82.9895894,Remington Park,True
