name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Aarenbrooke Place - Cory Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,9327 Cory Ln,,,Boise,,,Ada,,83704,US,43.627472,-116.2982272,West Valley,True
Ace Elder Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,6646 + 6652 Chippewa Dr,,,Bonners Ferry,,,Boundary,,83805,US,48.70594529999999,-116.3218496,,True
Advanced Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,601 West Blaine Ave,,,Nampa,,,Canyon,,83651,US,43.5723844,-116.583125,,True
"Aging Gracefully Assisted Living, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3989 East Winterberry Dr,,,Nampa,,,Canyon,,83687,US,43.563561,-116.5223726,,True
Alpine Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1135 Imperial St,,,Twin Falls,,,Twin Falls,,83301,US,42.581434,-114.480828,,True
Alpine Manor II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,100 Polk St E,,,Kimberly,,,Twin Falls,,83341,US,42.541187,-114.364382,,True
"Alpine Meadows Assisted Living, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1695 South Locust Grove Rd,,,Meridian,,,Ada,,83642,US,43.5899356,-116.3750695,,True
"Amber Lane Residence - Amber Lane, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1819 West Bannock St,,,Boise,,,Ada,,83702,US,43.6235164,-116.2145912,West Downtown,True
Antelope Creek Living Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3668 West 3700 N,,,Darlington,,,Butte,,83255,US,43.8135032,-113.4312311,,True
Apple Valley Residential Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,715 North Butte Ave,,,Emmett,,,Gem,,83617,US,43.8814145,-116.4869443,,True
Applegate Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1541 East 4250 N,,,Buhl,,,Twin Falls,,83316,US,42.6144919,-114.7478139,,True
Applewood Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,779 Tennyson Way,,,Boise,,,Ada,,83709,US,43.5982645,-116.333425,,True
Ashley Manor - Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3123 South Arlington Ave,,,Caldwell,,,Canyon,,83605,US,43.6414338,-116.6956489,,True
Ashley Manor - Beverly Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,861 Beverly Hills Dr,,,Payette,,,Payette,,83661,US,44.0648353,-116.9146445,,True
Ashley Manor - Buttercup Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1210 Buttercup Trl,,,Kimberly,,,Twin Falls,,83341,US,42.5438363,-114.3631821,,True
Ashley Manor - Cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1525 East Cedar St,,,Pocatello,,,Bannock,,83201,US,42.887478,-112.43276,,True
Ashley Manor - Cloverdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3749 North Cloverdale Rd,,,Boise,,,Ada,,83713,US,43.6389836,-116.3347916,West Cloverdale,True
