name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Academy Point at Mystic,,,,,,,,,,,,,,,,,,(860) 536-1133,,,http://www.benchmarkquality.com,,,,,,,,,,,,,,Assisted Living,,,,20 Academy Ln,,,Mystic,,,CT,,6355,US,41.3570583,-71.9715588,Mystic,True
Alzheimer’s Resource Center of Connecticut,,,,,,,,,,,,,,,,,,(860) 628-3058,,,,,,,,,,,,,,,,,Assisted Living,,,,1261 South Main St,,,Planstville,,,CT,,6479,US,41.57327180000001,-72.8944969,Plantsville,True
Arbor Rose at Jerome Home,,,,,,,,,,,,,,,,,,860 229 3707,,,http://www.jeromehome.com/Content/Arbor_Rose.asp,,,,,,,,,,,,,,Assisted Living,,,,975 Corbin Ave,,,New Britain,,,CT,,6051,US,41.6626872,-72.8035271,,True
Arbors at Hop Brook,,,,,,,,,,,,,,,,,,(860) 646-0129,,,,,,,,,,,,,,,,,Assisted Living,,,,403 West Center St,,,Manchester,,,CT,,6040,US,41.77027679999999,-72.55402260000001,Verplanck,True
Arden Courts of Avon,,,,,,,,,,,,,,,,,,(860) 678-7500,,,,,,,,,,,,,,,,,Assisted Living,,,,100 Fisher Dr,,,Avon,,,CT,,6001,US,41.8173907,-72.8336003,,True
Arden Courts of Farmington,,,,,,,,,,,,,,,,,,(860) 677-4060,,,,,,,,,,,,,,,,,Assisted Living,,,,45 South Rd,,,Farmington,,,CT,,6032,US,41.725452,-72.79843749999999,,True
Arden Courts of Hamden,,,,,,,,,,,,,,,,,,(203) 281-5700,,,,,,,,,,,,,,,,,Assisted Living,,,,153 Leeder Hill Rd,,,Hamden,,,CT,,6517,US,41.3454461,-72.9202608,,True
Atria Cross Road Place,,,,,,,,,,,,,,,,,,(860) 444-6700,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Beechwood Dr,,,Waterford,,,CT,,6385,US,41.3666816,-72.1574347,,True
Atria Darien,,,,,,,,,,,,,,,,,,(203) 662-1090,,,,,,,,,,,,,,,,,Assisted Living,,,,50 Ledge Rd,,,Darien,,,CT,,6820,US,41.0724035,-73.483632,,True
Atria Greenridge Place,,,,,,,,,,,,,,,,,,(860) 257-0000,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Elizabeth Ct,,,Rocky Hill,,,CT,,6067,US,41.6689602,-72.6742324,,True
