name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Central Haven Special Care Home,,,,,,,,,,,,,,,,,,306-665-6180,,,http://www.sherbrookecommunitycentre.ca/about-sherbrooke/central-haven/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CentralHaven.pdf,,,,,,,,,,,,,Nursing Home,,,,1020 Avenue I N,,,Saskatoon,,,SK,,S7L 2H7,Canada,52.1410688,-106.6731385,Caswell Hill,True
Bethany Pioneer Village,,,,,,,,,,,,,,,,,,306-367-2033,,,http://bethanypioneervillage.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/BethanyPioneerVillage.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 8,,,Middle Lake,,,SK,,S0K 2X0,Canada,52.4794835,-105.3013213,,True
Extendicare Special Care Home,,,,,,,,,,,,,,,,,,306-374-2242,,,http://www.extendicarecanada.com/saskatoon/index.aspx,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Extendicare.pdf,,,,,,,,,,,,,Nursing Home,,,,2225 Preston Ave,,,Saskatoon,,,SK,,S7J 2E7,Canada,52.1030334,-106.6220989,Nutana S.C.,True
Cudworth Nursing Home/Health Centre,,,,,,,,,,,,,,,,,,306-256-3423,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Cudworth.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 190,,,Cudworth,,,SK,,S0K 1B0,Canada,52.4896373,-105.7351559,,True
Oliver Lodge,,,,,,,,,,,,,,,,,,306-382-4111,,,http://www.oliverlodge.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/OliverLodge.pdf,,,,,,,,,,,,,Nursing Home,,,,1405 Faulkner Cr,,,Saskatoon,,,SK,,S7L 3R5,Canada,52.142819,-106.69104,Hudson Bay Park,True
Golden Acres,,,,,,,,,,,,,,,,,,306-554-2586,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/GoldenAcres.pdf,,,,,,,,,,,,,Nursing Home,,,,300 10th St E,,,Wynyard,,,SK,,S0A 4V0,Canada,51.766683,-104.1676366,,True
Porteous Lodge,,,,,,,,,,,,,,,,,,306-382-2626,,,http://www.jubileeresidences.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/PorteousLodge.pdf,,,,,,,,,,,,,Nursing Home,,,,833 Avenue P N,,,Saskatoon,,,SK,,S7L 2W5,Canada,52.1379533,-106.6941046,Mount Royal,True
Lakeview Pioneer Lodge,,,,,,,,,,,,,,,,,,306-233-4621,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LakeviewPioneerLodge.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 189,,,Wakaw,,,SK,,S0K 4P0,Canada,52.64893399999999,-105.7400993,,True
Saskatoon Convalescent Home,,,,,,,,,,,,,,,,,,306-244-7155,,,http://www.saskatoonconvalescenthome.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SaskatoonConvalescent.pdf,,,,,,,,,,,,,Nursing Home,,,,101 31st St W,,,Saskatoon,,,SK,,S7L 0P6,Canada,52.1398837,-106.6710969,Caswell Hill,True
Last Mountain Pioneer Home,,,,,,,,,,,,,,,,,,306-725-3342,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LastMountain.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 459,,,Strasbourg,,,SK,,S0G 4V0,Canada,51.0691897,-104.9587047,,True
St. Ann's Home,,,,,,,,,,,,,,,,,,306-374-8900,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StAnnsHome.pdf,,,,,,,,,,,,,Nursing Home,,,,2910 Louise St,,,Saskatoon,,,SK,,S7J 3L8,Canada,52.1005022,-106.6081293,Nutana S.C.,True
Mennonite Nursing Home,,,,,,,,,,,,,,,,,,306-232-4861,,,http://www.yfbc.ca/nursinghome/mnh_mennonitenursinghome.html,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Mennonite.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 370,Hwy 11,,Rosthern,,,SK,,S0K 3R0,Canada,52.662259,-106.3318264,,True
Stensrud Lodge,,,,,,,,,,,,,,,,,,306-373-5580,,,http://jubileeresidences.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StensrudLodge.pdf,,,,,,,,,,,,,Nursing Home,,,,2202 McEown Ave,,,Saskatoon,,,SK,,S7J 3L6,Canada,52.1045455,-106.6177874,Nutana S.C.,True
Pleasant View Care Home,,,,,,,,,,,,,,,,,,306-338-2412,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/PleasantView.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 10,,,Wadena,,,SK,,S0A 4J0,Canada,51.94450699999999,-103.80147,,True
St. Mary's Villa,,,,,,,,,,,,,,,,,,306-682-2628,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StMarysVilla.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 1360,,,Humboldt,,,SK,,S0K 2A0,Canada,52.2019792,-105.1228655,,True
Circle Drive Special Care Home,,,,,,,,,,,,,,,,,,306-955-4800,,,http://circledrivespecialcarehome.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CircleDrive.pdf,,,,,,,,,,,,,Nursing Home,,,,3055 Preston Ave,,,Saskatoon,,,SK,,S7T 1C3,Canada,52.0870535,-106.6227403,Stonebridge,True
Central Parkland Lodge,,,,,,,,,,,,,,,,,,306-365-1420,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CentralParkland.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 459,,,Lanigan,,,SK,,S0K 2M0,Canada,51.8480837,-105.0288129,,True
Luther Special Care Home,,,,,,,,,,,,,,,,,,306-664-0300,,,http://luthercare.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LutherCare.pdf,,,,,,,,,,,,,Nursing Home,,,,1212 Osler St,,,Saskatoon,,,SK,,S7N 0T9,Canada,52.12669199999999,-106.640182,Varsity View,True
Dalmeny Spruce Manor Special Care Home,,,,,,,,,,,,,,,,,,306-254-2101,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SpruceManor.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 190,701 1st St.,,Dalmeny,,,SK,,S0K 1E0,Canada,52.34123979999999,-106.7716397,,True
Parkridge Centre,,,,,,,,,,,,,,,,,,306-655-3800,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/ParkridgeCentre.pdf,,,,,,,,,,,,,Nursing Home,,,,110 Gropper Cr,,,Saskatoon,,,SK,,S7M 5N9,Canada,52.128068,-106.731656,Parkridge,True
Goodwill Manor,,,,,,,,,,,,,,,,,,306-467-4440,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/GoodwillManor.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 370,,,Duck Lake,,,SK,,S0K 1J0,Canada,52.8118546,-106.2260275,,True
Samaritan Place,,,,,,,,,,,,,,,,,,306-986-1460,,,http://www.samaritanplace.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SamaritanPlace.pdf,,,,,,,,,,,,,Nursing Home,,,,375 Cornish Rd,,,Saskatoon,,,SK,,S7T 0P3,Canada,52.0870716,-106.6304196,Stonebridge,True
Langham Senior Citizen's Home,,,,,,,,,,,,,,,,,,306-283-4210,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Langham.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 287,140 Main St. E.,,Langham,,,SK,,S0K 2L0,Canada,52.36032119999999,-106.9602893,,True
Sherbrooke Community Centre,,,,,,,,,,,,,,,,,,306-655-3600,,,http://www.sherbrookecommunitycentre.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Sherbrooke.pdf,,,,,,,,,,,,,Nursing Home,,,,401 Acadia Dr,,,Saskatoon,,,SK,,S7H 2E7,Canada,52.1240597,-106.5973716,Lakewood Planning Area,True
Manitou Lodge,,,,,,,,,,,,,,,,,,306-946-3718,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/ManitouLodge.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 130,,,Watrous,,,SK,,S0K 4T0,Canada,51.6745142,-105.4683377,,True
St. Joseph's Home,,,,,,,,,,,,,,,,,,306-382-6306,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StJosephs.pdf,,,,,,,,,,,,,Nursing Home,,,,33 Valens Dr,,,Saskatoon,,,SK,,S7L 3S2,Canada,52.146245,-106.687067,Hudson Bay Park,True
Nokomis Health Centre,,,,,,,,,,,,,,,,,,306-528-2114,,,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Nokomis.pdf,,,,,,,,,,,,,Nursing Home,,,,Box 98,103 – 2nd Avenue E.,,Nokomis,,,SK,,S0G 3R0,Canada,51.5087825,-105.0089468,,True
