name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
BROOKDALE PALESTINE,,,,,,(903) 729-7093,,,,,,,,,,,,(903) 729-1900,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,101 TRINITY CT,,,PALESTINE,,,TX,,75801,US,31.7358399,-95.62618979999999,,True
DOGWOOD TRAILS ASSISTED LIVING COMMUNITY,,,,,,(903) 723-0038,,,,,,,,,,,,(903) 723-0040,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,1625 SPRING ST,,,PALESTINE,,,TX,,75803,US,31.7696317,-95.6530014,,True
WINDERMERE AT CARTMELL,,,,,,(903) 727-8501,,,,,,,,,,,,(903) 727-8500,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,30 VARIAH ST,,,PALESTINE,,,TX,,75801,US,31.7473682,-95.64881659999999,,True
NECHES HOUSE,,,,,,(936) 639-9754,,,,,,,,,,,,(409) 639-9727,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,406 GOBBLERS KNOB RD,,,LUFKIN,,,TX,,75901,US,31.3070412,-94.7466749,,True
PINECREST RETIREMENT COMMUNITY ASSISTED LIVING UNIT,,,,,,(936) 634-1056,,,,,,,,,,,,(936) 634-1054,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,1302 TOM TEMPLE DR,,,LUFKIN,,,TX,,75904,US,31.3146247,-94.7313071,,True
GULF POINTE VILLAGE,,,,,,(361) 729-3820,,,,,,,,,,,,(361) 729-5254,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,900 ENTERPRISE,,,ROCKPORT,,,TX,,78382,US,28.04040549999999,-97.0525407,,True
"HUDSON HOUSE CLAUDE, INC",,,,,,(806) 226-7037,,,,,,,,,,,,(806) 226-4011,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,301 TRICE ST,,,CLAUDE,,,TX,,79019,US,35.1080522,-101.3601842,,True
ARGENT COURT ATASCOSA COUNTY,,,,,,,,,,,,,,,,,,(830) 769-9797,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,1951 HWY 97 E,,,JOURDANTON,,,TX,,78026,US,28.9342927,-98.5230421,,True
MICHELLE'S CARE HOME,,,,,,(830) 767-3082,,,,,,,,,,,,(830) 767-3082,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,1310 POPLAR ST,,,JOURDANTON,,,TX,,78026,US,28.917883,-98.53592599999999,,True
OAK CREEK PERSONAL CARE HOME,,,,,,,,,,,,,,,,,,(830) 276-4248,,,,,,,,,,,,,,,,,ASSISTED LIVING,,,,299 OAK CREEK ESTATES ROAD,,,POTEET,,,TX,,78065,US,29.0843011,-98.59787449999999,,True
