name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
AgeCentre ? Glenmore,,,,,,403-212-3530,,,,,,,,,,,,403-253-8806(switchboard),,,,,,,,,,,,,,,,,,,,,1729 90 Avenue,,,Calgary,,,AB,,T2V 4S1,Canada,50.971995,-114.101856,Southwest Calgary,TRUE
AgeCentre - Midnapore,,,,,,403-254-9944,,,,,,,,,,,,403-873-2600(switchboard),,,,,,,,,,,,,,,,,,,,,500 Midpark Way,,,Calgary,,,AB,,T2X 3S3,Canada,50.907614,-114.058148,Southeast Calgary,TRUE
Allen Gray Continuing Care Centre,,,,,,780-465-2073,,,,,,,,,,,,780-469-2371,,,,,,,,,,,,,,,,,,,,,5005 28 Avenue,,,Edmonton,,,AB,,T6L 7G1,Canada,53.4587911,-113.4226032,Southeast Edmonton,TRUE
Aspen House,,,,,,,,,,,,,,,,,,780-646-6381 (switchboard),,,,,,,,,,,,,,,,,,,,,4606 48 Avenue,,,St. Paul,,,AB,,T0A 3A3,Canada,53.989622,-111.286603,,TRUE
Banff - Mineral Springs Hospital,,,,,,403-762-4193 (Switchboard),,,,,,,,,,,,403-762-2222(switchboard),,,,,,,,,,,,,,,,,,,,,305 Lynx Street,,,Banff,,,AB,,T1L 1H7,Canada,51.179144,-115.574658,,TRUE
Bashaw Community Health Centre,,,,,,780-372-4050,,,,,,,,,,,,780-372-3731 (Switchboard),,,,,,,,,,,,,,,,,,,,,5308 53 Street,,,Bashaw,,,AB,,T0B 0H0,Canada,52.5894046,-112.9730222,,TRUE
Bassano Health Centre,,,,,,403-641-2157 (Switchboard),,,,,,,,,,,,403-641-6100 (Switchboard),,,,,,,,,,,,,,,,,,,,,608 5 Avenue,,,Bassano,,,AB,,T0J 0B0,Canada,50.7892504,-112.4610623,,TRUE
Bentley Care Centre,,,,,,403-212-3530,,,,,,,,,,,,403-748-4115,,,,,,,,,,,,,,,,,,,,,4834 52 Avenue,,,Bentley,,,AB,,T0C 0J0,Canada,52.467744,-114.04616,,TRUE
Bethany Airdrie,,,,,,403-948-3897,,,,,,,,,,,,403-948-6022,,,,,,,,,,,,,,,,,,,,,1736 1 Avenue,,,Airdrie,,,AB,,T4B 2C4,Canada,51.2934533,-114.0360015,,TRUE
Bethany Calgary,,,,,,403-284-6085,,,,,,,,,,,,403-284-6000 (switchboard),,,,,,,,,,,,,,,,,,,,,916 18A Street,,,Calgary,,,AB,,T2N 1C6,Canada,51.0604201,-114.1031077,Northwest Calgary,TRUE
