name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
(THE) ANGELS RETIREMENT HOME CORP,,,,,,,14714 SW 177TH TER,,MIAMI,,,,,Miami-Dade,33187-7705,FL,,(305) 378-4406,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,14714 SW 177TH TERR,,,MIAMI,Miami-Dade,,FL,,33187,,25.6018643,-80.4302568,,False
1 KIND HOME INC,,,,,,,911 SW 12TH AVE # 913,,MIAMI,,,,,Miami-Dade,33130-3627,FL,,(305) 285-1012,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,911 SW 12TH AVE,# 913,,MIAMI,Miami-Dade,,FL,,33130-3627,,25.764607,-80.214138,East Little Havana,False
1 ZOURCE LIVING CARE,,,,,,,16808 SW 39 STREET,,MIRAMAR,,,,,Broward,33027,FL,,(305) 935-4186,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1401 NE 176TH ST,,,N MIAMI BEACH,Miami-Dade,,FL,,33162-1363,,25.93782619999999,-80.17225750000001,,False
107TH PLACE GROUP HOME,,,,,,,2837 NW 41ST ST,STE 310,GAINESVILLE,,,,,Alachua,32606-6826,FL,,(352) 347-0919,,,,,,,,,,,,,,,,,Intermediate Care Facility for the Developmentally Disabled,,,,5321 SE 107TH Pl,,,BELLEVIEW,Marion,,FL,,34420,,29.0659056,-82.06010189999999,,True
19TH STREET GROUP HOME,,,,,,,2837 NW 41ST ST,STE 310,GAINESVILLE,,,,,Alachua,32606-6826,FL,,(352) 374-9100,,,,,,,,,,,,,,,,,Intermediate Care Facility for the Developmentally Disabled,,,,3423 SE 35TH Pl,,,GAINESVILLE,Alachua,,FL,,32641,,29.61985780000001,-82.28082820000002,,True
A & C GOD BLESS ASSISTED LIVING FACILITY,,,,,,,235 GASPAR ST SW,,PALM BAY,,,,,Brevard,32908,FL,,(321) 557-7219,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,235 GASPAR ST SW,,,PALM BAY,Brevard,,FL,,32908,,27.94393329999999,-80.67740859999999,,True
A & J ALF OF FLORIDA INC  II,,,,,,,3929 GARDENWOOD CIRCLE,,GRANT,,,,,Brevard,32949,FL,,(754) 245-3745,,,www.shangri-la-alf.com,,,,,,,,,,,,,,Assisted Living Facility,,,,808 GILLEN AVE NW,,,PALM BAY,Brevard,,FL,,32907,,28.0172112,-80.71211679999999,,True
A & J ALF OF FLORIDA  INC II,,,,,,,2466 RALPH AVENUE SE,,PALM BAY,,,,,Brevard,32909,FL,,(321) 327-2772,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,2466 RALPH Ave SE,,,PALM BAY,Brevard,,FL,,32909,,27.9335094,-80.6385875,,True
A & L HEALTH CARE CORP NO. 2,,,,,,,11764 NW 30TH STREET,,CORAL SPRINGS,,,,,Broward,33065,FL,,(954) 345-7481,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,8208 NW 14TH St,,,CORAL SPRINGS,Broward,,FL,,33071,,26.247906,-80.23516699999999,Country Wood Estates,True
A & L HEALTHCARE  CORP.,,,,,,,11764 NW 30TH STREET,,CORAL SPRINGS,,,,,Broward,33065,FL,,(954) 757-8739,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,11764 NW 30TH St,,,CORAL SPRINGS,Broward,,FL,,33065,,26.267841,-80.283204,Country Club,True
