name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ATRIUM POST ACUTE CARE OF CHILTON,,,GAIL JACOBSON,,,(920) 849-7392,,,,,,,,,,,,(920) 849-2308,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,810 MEMORIAL DR,,,CHILTON,CALUMET,Northeastern,WI,,53014,USA,44.02381500000001,-88.153538,,True
ATRIUM POST ACUTE CARE OF NEW HOLSTEIN,,,JASON STRNAD,,,(920) 898-4931,,,,,,,,,,,,(920) 898-4296,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1712 MONROE ST,,,NEW HOLSTEIN,CALUMET,Northeastern,WI,,53061,USA,43.94638500000001,-88.092282,,True
WILLOWDALE NURSING & REHABILITATION CENTER,,,ZACH ZIESEMER,,,(920) 898-5664,,,,,,,,,,,,(920) 898-5706,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1610 HOOVER ST,,,NEW HOLSTEIN,CALUMET,Northeastern,WI,,53061,USA,43.943122,-88.08063299999999,,True
ATRIUM POST ACUTE CARE OF BLOOMER,,,CRYSTAL FRAZER,,,(715) 568-2518,,,,,,,,,,,,(715) 568-2503,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1840 PRIDDY ST,,,BLOOMER,CHIPPEWA,Western,WI,,54724,USA,45.097696,-91.492772,,True
DOVE HEALTHCARE - BLOOMER,,,JOSEPH MUENCH,,,(715) 568-9771,,,,,,,,,,,,(715) 568-9770,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2217 DUNCAN ROAD,,,BLOOMER,CHIPPEWA,Western,WI,,54724,USA,45.103428,-91.50318419999999,,True
CHIPPEWA MANOR NURSING HOME,,,BRANDON THORSNESS,,,(715) 723-0524,,,,,,,,,,,,(715) 723-4437,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,222 CHAPMAN RD,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA,44.916225,-91.386821,,True
WI VETERANS HOME AT CHIPPEWA FALLS,,,MEGAN CORCORAN,,,(715) 720-6672,,,,,,,,,,,,(715) 720-6775,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2175 E PARK AVE,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA,44.92717890000001,-91.36038990000002,,True
WISSOTA HEALTH AND REGIONAL VENT CENTER,,,SARAH NORTH,,,(715) 723-3376,,,,,,,,,,,,(715) 723-9341,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2815 COUNTY HIGHWAY I,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA,44.9489987,-91.3570409,,True
CORNELL AREA CARE CENTER,,,JENNIFER BURKLUND,,,(715) 239-6608,,,,,,,,,,,,(715) 239-6288,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,320 N 7TH ST,,,CORNELL,CHIPPEWA,Western,WI,,54732,USA,45.170602,-91.143855,,True
COLONIAL CENTER,,,TRUDY ERICKSON,,,(715) 223-3972,,,,,,,,,,,,(715) 223-2352,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,702 W DOLF ST,,,COLBY,CLARK,Northern,WI,,54421,USA,44.917677,-90.32291599999999,,True
