name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ABERDEEN VILLAGE,,,,,,,,,,,,,,,,,,913-599-6100,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,17500 W 119TH STREET,,,OLATHE,JOHNSON,,KS,N046057,66061,US,38.91491190000001,-94.7908812,Aberdeen Village,True
ABILENE PLACE NORTH,,,,,,,,,,,,,,,,,,785-263-7400,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1100 N VINE STREET,,,ABILENE,DICKINSON,,KS,N021007,67410-4009,US,38.9265543,-97.22389799999999,,True
ABILENE PLACE SOUTH,,,,,,,,,,,,,,,,,,785-263-7800,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1102 N VINE STREET,,,ABILENE,DICKINSON,,KS,N021008,67410-4015,US,38.9269629,-97.2247257,,True
ADDINGTON PLACE OF PRAIRIE VILLAGE,,,,,,,,,,,,,,,,,,913-648-3333,,,,,,,,,,,,,,,,,Assisted Living Facility; Residential Health Care Facility,,,,2700 SOMERSET DRIVE,,,PRAIRIE VILLAGE,JOHNSON,,KS,N046086,66206,US,38.98495370000001,-94.61719819999999,,True
ALDERBROOK VILLAGE LLC,,,,,,,,,,,,,,,,,,620-442-4400,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,402 E WINDSOR ROAD,,,ARKANSAS CITY,COWLEY,,KS,N018010,67005-3866,US,37.0929954,-97.03665749999999,,True
ALDERSGATE VILLAGE,,,,,,,,,,,,,,,,,,785-478-9440,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,3220 SW ALBRIGHT DRIVE,,,TOPEKA,SHAWNEE,,KS,N089021,66614-4707,US,39.00842799999999,-95.78867699999999,,True
ANDOVER COURT ASSISTED LIVING,,,,,,,,,,,,,,,,,,316-733-2662,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,721 W 21ST STREET,,,ANDOVER,BUTLER,,KS,N008010,67002-8491,US,37.72309509999999,-97.1415798,,True
APOSTOLIC CHRISTIAN HOME,,,,,,,,,,,,,,,,,,785-284-3471,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,511 PARAMOUNT,,,SABETHA,NEMAHA,,KS,N066001,66534,US,39.9074777,-95.8109333,,True
ARKANSAS CITY PRESBYTERIAN MANOR,,,,,,,,,,,,,,,,,,620-442-8700,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,1711 N 4TH STREET,,,ARKANSAS CITY,COWLEY,,KS,N018008,67005-1607,US,37.083515,-97.045514,,True
ASBURY PARK,,,,,,,,,,,,,,,,,,316-283-4770,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,,,,200 SW 14TH STREET,,,NEWTON,HARVEY,,KS,N040002,67114,US,38.0288249,-97.3521219,,True
ASSISTED LIVING AT WINDSOR PLACE,,,,,,,,,,,,,,,,,,620-251-0214,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,2904 W 8TH,,,COFFEYVILLE,MONTGOMERY,,KS,N063016,67337-,US,37.03652799999999,-95.65862899999999,,True
ASSISTED LIVING AT WINDSOR PLACE LLC,,,,,,,,,,,,,,,,,,620-251-0214,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,106 TYLER,,,COFFEYVILLE,MONTGOMERY,,KS,N063015,67337-2441,US,37.0428603,-95.6588063,,True
ATRIA HEARTHSTONE EAST,,,,,,,,,,,,,,,,,,785-234-6806,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,3415 SW 6TH AVENUE,,,TOPEKA,SHAWNEE,,KS,N089063,66606-1900,US,39.0576339,-95.7187694,Central Topeka 1,True
ATRIA HEARTHSTONE WEST,,,,,,,,,,,,,,,,,,785-234-6225,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,3515 SW 6TH AVE,,,TOPEKA,SHAWNEE,,KS,N089030,66606-1900,US,39.05811049999999,-95.7197649,Central Topeka 1,True
AVITA SENIOR LIVING AT DERBY,,,,,,,,,,,,,,,,,,316-260-4447,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,719 N KLEIN CIRCLE,,,DERBY,SEDGWICK,,KS,N087066,67037-,US,37.5495455,-97.2384143,,True
AVITA SENIOR LIVING AT ROLLING HILLS,,,,,,,,,,,,,,,,,,316-361-2500,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,629 S MAIZE CT,,,WICHITA,SEDGWICK,,KS,N087067,67209-,US,37.6731434,-97.46551009999999,,True
AVONLEA COTTAGE OF OLATHE,,,,,,,,,,,,,,,,,,913-829-6920,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,625 LINCOLN AVE,,,OLATHE,JOHNSON,,KS,N046035,66061-2594,US,38.8911243,-94.8274256,Woodside,True
BENTON HOUSE OF LENEXA,,,,,,,,,,,,,,,,,,678-297-0388,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,22000 PRAIRIE STAR PARKWAY,,,LENEXA,JOHNSON,,KS,N046098,66220,US,38.9522916,-94.8347086,,True
BETHANY HOME ASSOCIATION DBA VARDSHUS,,,,,,,,,,,,,,,,,,785-227-8331,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,821 E SWENSSON DRIVE,,,LINDSBORG,MCPHERSON,,KS,N059018,67456,US,38.57991510000001,-97.6855585,,True
BETHEL HEALTH CARE CENTER,,,,,,,,,,,,,,,,,,316-284-2900,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,3001 IVY DRIVE,,,NORTH NEWTON,HARVEY,,KS,N040001,67117-8005,US,38.077689,-97.3501091,,True
BETHESDA HOME,,,,,,,,,,,,,,,,,,620-367-2291,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,408 E MAIN,PO BOX 37,,GOESSEL,MARION,,KS,N057006,67053-37,US,38.2471256,-97.3432134,,True
BICKFORD AT MISSION SPRINGS I,,,,,,,,,,,,,,,,,,913-831-7700,,,,,,,,,,,,,,,,,Assisted Living Facility; Residential Health Care Facility,,,,5300 W 61ST PLACE,,,MISSION,JOHNSON,,KS,N046042,66205-,US,39.0174345,-94.6467936,,True
BICKFORD AT MISSION SPRINGS II,,,,,,,,,,,,,,,,,,913-831-7700,,,,,,,,,,,,,,,,,Assisted Living Facility; Residential Health Care Facility,,,,5350 WEST 61ST PLACE,,,MISSION,JOHNSON,,KS,N046044,66205-,US,39.0182125,-94.6469328,,True
BIG BLUE HEALTHCARE INC,,,,,,,,,,,,,,,,,,913-334-3666,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,7850 FREEMAN AVENUE,,,KANSAS CITY,WYANDOTTE,,KS,N105006,66112-2133,US,39.12269740000001,-94.7618669,Victory Hills,True
BLACKHAWK ASSISTED LIVING,,,,,,,,,,,,,,,,,,913-592-5101,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,22550 S FRANKLIN,,,SPRING HILL,MIAMI,,KS,N046066,66083,US,38.7206813,-94.8312448,,True
BRANDON WOODS AT ALVAMAR,,,,,,,,,,,,,,,,,,785-838-8000,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,,,,1501 INVERNESS DR,,,LAWRENCE,DOUGLAS,,KS,N023009,66047-1825,US,38.9561144,-95.30363779999999,,True
BROOKDALE DERBY,,,,,,,,,,,,,,,,,,316-788-6100,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1709 E WALNUT GROVE,,,DERBY,SEDGWICK,,KS,N087038,67037-3528,US,37.5492672,-97.2455847,,True
BROOKDALE DODGE CITY,,,,,,,,,,,,,,,,,,620-225-7555,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,2400 N 14TH AVENUE,,,DODGE CITY,FORD,,KS,N029007,67801-2313,US,37.7772002,-100.0321805,,True
BROOKDALE GREAT BEND,,,,,,,,,,,,,,,,,,620-792-7000,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1206 PATTON ROAD,,,GREAT BEND,BARTON,,KS,N005005,67530-3118,US,38.3637713,-98.8107356,,True
BROOKDALE HAYS,,,,,,,,,,,,,,,,,,785-628-1111,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1801 E 27TH STREET,,,HAYS,ELLIS,,KS,N026008,67601,US,38.8855583,-99.3026677,,True
BROOKDALE HUTCHINSON,,,,,,,,,,,,,,,,,,620-663-9195,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,2416 BRENTWOOD,,,HUTCHINSON,RENO,,KS,N078015,67502,US,38.0808105,-97.906359,,True
BROOKDALE JUNCTION CITY,,,,,,,,,,,,,,,,,,785-762-3123,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1022 CAROLINE AVENUE,,,JUNCTION CITY,GEARY,,KS,N031004,66441-5206,US,39.0131104,-96.86019139999999,,True
BROOKDALE LIBERAL SPRINGS,,,,,,,,,,,,,,,,,,620-624-8000,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1500 TERRACE AVENUE,,,LIBERAL,SEWARD,,KS,N088003,67901,US,37.0544048,-100.9300814,,True
BROOKDALE MCPHERSON,,,,,,,,,,,,,,,,,,620-241-6600,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1460 N MAIN STREET,,,MCPHERSON,MCPHERSON,,KS,N059016,67460-1902,US,38.3884056,-97.6660842,,True
BROOKDALE OVERLAND PARK,,,,,,,,,,,,,,,,,,913-663-2888,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,,,,12000 LAMAR,,,OVERLAND PARK,JOHNSON,,KS,N046079,66209,US,38.9107155,-94.6603848,,True
BROOKDALE OVERLAND PARK GLENWOOD,,,,,,,,,,,,,,,,,,913-385-2052,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,9201 FOSTER,,,OVERLAND PARK,JOHNSON,,KS,N046048,66212-,US,38.8757776,-94.670807,Sandstone Creek Apartments,True
BROOKDALE ROSEHILL,,,,,,,,,,,,,,,,,,913-962-7600,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,12802 JOHNSON DR,,,SHAWNEE,JOHNSON,,KS,N046063,66216-,US,39.0231773,-94.734206,,True
BROOKDALE SALINA FAIRDALE,,,,,,,,,,,,,,,,,,785-823-8600,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,2251 E CRAWFORD STREET,,,SALINA,SALINE,,KS,N085010,67401,US,38.82782019999999,-97.57333039999999,,True
BROOKDALE SALINA KIRWIN,,,,,,,,,,,,,,,,,,785-825-8200,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,1200 E KIRWIN AVE,,,SALINA,SALINE,,KS,N085009,67401-6300,US,38.814758,-97.592629,,True
BROOKDALE TALLGRASS,,,,,,,,,,,,,,,,,,316-684-3100,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,8600 E 21ST N,,,WICHITA,SEDGWICK,,KS,N087037,67206-2931,US,37.72352199999999,-97.237149,,True
BROOKDALE WELLINGTON,,,,,,,,,,,,,,,,,,620-326-3031,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,500 N PLUM ST,,,WELLINGTON,SUMNER,,KS,N096009,67152-3556,US,37.2697268,-97.4100249,,True
BROOKSIDE RETIREMENT COMMUNITY ASSISTED LIVING,,,,,,,,,,,,,,,,,,785-665-3246,,,,,,,,,,,,,,,,,Assisted Living Facility,,,,702 W 7TH,PO BOX 308,,OVERBROOK,OSAGE,,KS,N070008,66524-308,US,38.78131199999999,-95.56368069999999,,True
BUHLER SUNSHINE HOME,,,,,,,,,,,,,,,,,,620-543-2251,,,,,,,,,,,,,,,,,Nursing Facility; Assisted Living Facility,,,,400 S BUHLER RD,,,BUHLER,RENO,,KS,N078009,67522-,US,38.13131490000001,-97.77506430000001,,True
