name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
The Agnes Pratt Home,,,,,,,,,,,,,,,,,,(709) 752-8950,,,,,,,,,,,,,,,,,Assisted Living,,,,239 Topsail Road,,,St. John's,,,NL,,A1E 2B4,Canada,47.539442,-52.735743,West End,TRUE
Glenbrook Lodge,,,,,,,,,,,,,,,,,,(709) 726-1575,,,,,,,,,,,,,,,,,Assisted Living,,,,105 Torbay Road,,,St. John's,,,NL,,A1A 2G9,Canada,47.5895579,-52.7103022,East End,TRUE
Pleasantview Towers,,,,,,,,,,,,,,,,,,(709) 752-8800,,,,,,,,,,,,,,,,,Assisted Living,,,,65 Newfoundland Drive,,,St. John's,,,NL,,A1A 0L7,Canada,47.5949573,-52.6892575,East End,TRUE
Saint Luke's Homes,,,,,,,,,,,,,,,,,,(709) 752-8900,,,,,,,,,,,,,,,,,Assisted Living,,,,24 Road Deluxe,,,St. John's,,,NL,,A1E 5Z3,Canada,47.538216,-52.737605,,TRUE
St. Patrick's Mercy Home,,,,,,,,,,,,,,,,,,(709) 726-2687,,,,,,,,,,,,,,,,,Assisted Living,,,,146 Elizabeth Avenue,,,St. John's,,,NL,,A1B 1S5,Canada,47.579463,-52.722408,,TRUE
Caribou Memorial Veterans Pavilion,,,,,,,,,,,,,,,,,,(709) 777-6555,,,,,,,,,,,,,,,,,Assisted Living,,,,90 Forest Road,,,St. John's,,,NL,,A1A 0C4,Canada,47.573958,-52.694732,,TRUE
Dr. Walter Templeman Health Centre,,,,,,,,,,,,,,,,,,(709) 488-2821,,,,,,,,,,,,,,,,,Assisted Living,,,,PO Box 580,,,Wabana Bell Island,,,NL,,A0A 4H0,Canada,47.643855,-52.94724,,FALSE
Carbonear Long Term Care Facility,,,,,,,,,,,,,,,,,,(709) 945-5400,,,,,,,,,,,,,,,,,Assisted Living,,,,86 Highroad South,,,Carbonear,,,NL,,A1Y 1A4,Canada,47.7261946,-53.2261348,,TRUE
Lions Manor Nursing Home,,,,,,,,,,,,,,,,,,(709) 227-2061,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Corrigan Place,P.O. Box 480,,Placentia,,,NL,,A0B 2Y0,Canada,47.2484768,-53.8523616,,TRUE
Dr. Albert O'Mahoney Memorial Manor,,,,,,,,,,,,,,,,,,(709) 466-6874,,,,,,,,,,,,,,,,,Assisted Living,,,,67 Manitoba Drive,,,Clarenville,,,NL,,A5A 1K3,Canada,48.1640599,-53.9846037,,TRUE
Blue Crest Inter Faith Home,,,,,,,,,,,,,,,,,,(709) 832-1660,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Seniors Place,P.O. Box 160,,Grand Bank,,,NL,,A0E 1W0,Canada,47.0970007,-55.7559128,,TRUE
U.S. Memorial Community Health Centre,,,,,,,,,,,,,,,,,,(709) 873-2330,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Memorial Drive,P.O. Box 398,,St. Lawrence,,,NL,,A0E 2V0,Canada,46.9300113,-55.3991252,,TRUE
Golden Heights Manor,,,,,,,,,,,,,,,,,,(709) 468-2043,,,,,,,,,,,,,,,,,Assisted Living,,,,Campbell Street27-43,,,Bonavista,,,NL,,A0C 1B0,Canada,48.6502484,-53.1113763,,FALSE
Bonavista Protective Community Residence,,,,,,,,,,,,,,,,,,(709) 468-2025,,,,,,,,,,,,,,,,,Assisted Living,,,,Joy's Lane10-20,,,Bonavista,,,NL,,A0C 1B0,Canada,48.647657,-53.107093,,FALSE
Clarenville Protective Community Residence,,,,,,,,,,,,,,,,,,(709) 466-4375,,,,,,,,,,,,,,,,,Assisted Living,,,,11 Shoal Harbour Drive,,,Clarenville,,,NL,,A5A 2C3,Canada,48.1713562,-53.9875193,,TRUE
Chancellor Park (Private facility with 120 subsidized beds) 270 Portugal Cove Rd,,,,,,,,,,,,,,,,,,(709) 754-1165,,,,,,,,,,,,,,,,,Assisted Living,,,,270 Portugal Cove Rd,,,St. John's,,,NL,,A1B 4N6,Canada,47.595182,-52.724305,,FALSE
A.M Guy Memorial Health Centre,,,,,,,,,,,,,,,,,,(709) 672-3304/3305,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 10,,,Buchans,,,NL,,A0H 1G0,Canada,48.82508,-56.8553083,,FALSE
Baie Verte Peninsula Health Centre/Copper Crescent,,,,,,,,,,,,,,,,,,(709) 532-4218,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Columbus Drive,,,Baie Verte,,,NL,,A0K 1B0,Canada,49.9254547,-56.2219125,,TRUE
Bonnews Lodge,,,,,,,,,,,,,,,,,,(709) 536-2405,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 209,,,Badger's Quay,,,NL,,A0G 1B0,Canada,49.131326,-53.610261,,FALSE
Lakeside Homes,,,,,,,,,,,,,,,,,,(709) 256-8850,,,,,,,,,,,,,,,,,Assisted Living,,,,95 Airport Blvd,,,Gander,,,NL,,A1V 2L7,Canada,48.963172,-54.615966,,TRUE
Carmelite House Senior Citizens' Home,,,,,,,,,,,,,,,,,,(709) 489-2274,,,,,,,,,,,,,,,,,Assisted Living,,,,50 Union St,,,Grand Falls-Windsor,,,NL,,A2A 2E1,Canada,48.932642,-55.645215,,TRUE
Connaigre Peninsula Health Centre,,,,,,,,,,,,,,,,,,(709) 885-2043,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 368,,,Harbor Breton,,,NL,,A0H 1P0,Canada,47.4774987,-55.8258748,,FALSE
Dr. Hugh Twomey Health Centre,,,,,,,,,,,,,,,,,,(709) 257-2874,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 250,,,Botwood,,,NL,,A0E 1E0,Canada,49.1422983,-55.3440853,,FALSE
Fogo Island Health Centre,,,,,,,,,,,,,,,,,,(709) 266-2221,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 9,,,Fogo Island,,,NL,,A0G 2B0,Canada,49.8470959,-54.1796651,,FALSE
Notre Dame Bay Health Centre,,,,,,,,,,,,,,,,,,(709) 884-2131,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,Twillingate,,,NL,,A0G 4M0,Canada,49.6486948,-54.7622673,,FALSE
North Haven Manor,,,,,,,,,,,,,,,,,,(709) 535-6767,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 880,,,Lewisporte,,,NL,,A0G 3A0,Canada,49.2450384,-55.0591548,,FALSE
Valley Vista Citizen's Complex,,,,,,,,,,,,,,,,,,(709) 673-3936,,,,,,,,,,,,,,,,,Assisted Living,,,,P.O. Box 130,,,Springdale,,,NL,,A0J 1T0,Canada,49.49749,-56.0729969,,FALSE
