name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
AgeCentre ? Glenmore,,,,,,403-212-3530,,,,,,,,,,,,403-253-8806(switchboard),,,,,,,,,,,,,,,,,,,,,1729 90 Ave,,,Calgary,,,AB,,T2V 4S1,Canada,50.971995,-114.101856,Southwest Calgary,True
AgeCentre - Midnapore,,,,,,403-254-9944,,,,,,,,,,,,403-873-2600(switchboard),,,,,,,,,,,,,,,,,,,,,500 Midpark Way,,,Calgary,,,AB,,T2X 3S3,Canada,50.907614,-114.058148,Southeast Calgary,True
Allen Gray Continuing Care Centre,,,,,,780-465-2073,,,,,,,,,,,,780-469-2371,,,,,,,,,,,,,,,,,,,,,5005 28 Ave,,,Edmonton,,,AB,,T6L 7G1,Canada,53.4587911,-113.4226032,Southeast Edmonton,True
Aspen House,,,,,,,,,,,,,,,,,,780-646-6381 (switchboard),,,,,,,,,,,,,,,,,,,,,4606 48 Ave,,,St. Paul,,,AB,,T0A 3A3,Canada,53.989622,-111.286603,,True
Banff - Mineral Springs Hospital,,,,,,403-762-4193 (Switchboard),,,,,,,,,,,,403-762-2222(switchboard),,,,,,,,,,,,,,,,,,,,,305 Lynx St,,,Banff,,,AB,,T1L 1H7,Canada,51.179144,-115.574658,,True
Bashaw Community Health Centre,,,,,,780-372-4050,,,,,,,,,,,,780-372-3731 (Switchboard),,,,,,,,,,,,,,,,,,,,,5308 53 St,,,Bashaw,,,AB,,T0B 0H0,Canada,52.5894046,-112.9730222,,True
Bassano Health Centre,,,,,,403-641-2157 (Switchboard),,,,,,,,,,,,403-641-6100 (Switchboard),,,,,,,,,,,,,,,,,,,,,608 5 Ave,,,Bassano,,,AB,,T0J 0B0,Canada,50.7892504,-112.4610623,,True
Bentley Care Centre,,,,,,403-212-3530,,,,,,,,,,,,403-748-4115,,,,,,,,,,,,,,,,,,,,,4834 52 Ave,,,Bentley,,,AB,,T0C 0J0,Canada,52.467744,-114.04616,,True
Bethany Airdrie,,,,,,403-948-3897,,,,,,,,,,,,403-948-6022,,,,,,,,,,,,,,,,,,,,,1736 1 Ave,,,Airdrie,,,AB,,T4B 2C4,Canada,51.2934533,-114.0360015,,True
Bethany Calgary,,,,,,403-284-6085,,,,,,,,,,,,403-284-6000 (switchboard),,,,,,,,,,,,,,,,,,,,,916 18A St,,,Calgary,,,AB,,T2N 1C6,Canada,51.0604201,-114.1031077,Northwest Calgary,True
Bethany Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302 Quigley Dr,,,Cochrane,,,AB,,T4C 1X9,Canada,51.1936979,-114.4923268,,True
Bethany CollegeSide ,,,,,,403-341-5613,,,,,,,,,,,,403-357-3700 (switchboard),,,,,,,,,,,,,,,,,,,,,99 College Cir,,,Red Deer,,,AB,,T4R 0M3,Canada,52.249434,-113.829934,,True
Bethany Harvest Hills,,,,,,403-226-7265,,,,,,,,,,,,403-226-8200 (switchboard),,,,,,,,,,,,,,,,,,,,,19 Harvest Gold Manor,,,Calgary,,,AB,,T3K 4Y1,Canada,51.142289,-114.065763,Northeast Calgary,False
Bethany Sylvan Lake,,,,,,,,,,,,,,,,,,403-887-7741 (Switchboard),,,,,,,,,,,,,,,,,,,,,4700 47 Ave,,,Sylvan Lake,,,AB,,T4S 2M3,Canada,52.3050875,-114.0924629,,True
Big Country Hospital,,,,,,403-664-4325 (Switchboard),,,,,,,,,,,,403-664-4300 (Switchboard),,,,,,,,,,,,,,,,,,,,,312 3 St,,,Oyen,,,AB,,T0J 2J0,Canada,51.351548,-110.477524,,True
Bow Crest Care Centre,,,,,,403-288-2403,,,,,,,,,,,,403-288-2373,,,,,,,,,,,,,,,,,,,,,5927 Bowness Rd,,,Calgary,,,AB,,T3B 0C7,Canada,51.0819448,-114.1739057,Northwest Calgary,True
Bow Island Health Centre,,,,,,403-545-6357 (Switchboard),,,,,,,,,,,,403-545-3200 (Switchboard),,,,,,,,,,,,,,,,,,,,,938 Centre St,,,Bow Island,,,AB,,T0K 0G0,Canada,49.865624,-111.378438,,True
Bow View Manor,,,,,,403-288-8522,,,,,,,,,,,,403-288-4446 (Switchboard),,,,,,,,,,,,,,,,,,,,,4628 Montgomery Blvd,,,Calgary,,,AB,,T3B 0K7,Canada,51.068057,-114.162346,Northwest Calgary,True
Breton Health Centre,,,,,,,,,,,,,,,,,,780-696-4713,,,,,,,,,,,,,,,,,,,,,4919 49 Ave,,,Breton,,,AB,,T0C 0P0,Canada,53.1086468,-114.4708655,,True
