name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Arden Courts of Wilmington,,,,,,,,,,,,,,,,,,302-762-7800,,,,,,,,,,,,,,,,,Assisted Living,,,,700 1/2 Foulk Rd,,,Wilmington,,,DE,,19803-3708,US,39.7871519,-75.533408,,True
Brandywine Senior Living at Fenwick Island,,,,,,,,,,,,,,,,,,302-436-0808,,,,,,,,,,,,,,,,,Assisted Living,,,,21111 Arrington Dr,,,Selbyville,,,DE,,19975,US,38.4704089,-75.11731859999999,,True
Brandywine Senior Living at Seaside Pointe,,,,,,,,,,,,,,,,,,302-226-8750,,,,,,,,,,,,,,,,,Assisted Living,,,,36101 Seaside Blvd,,,Rehoboth Beach,,,DE,,19971-1189,US,38.72377829999999,-75.1192171,,True
Brookdale Dover,,,,,,,,,,,,,,,,,,302-674-4407,,,,,,,,,,,,,,,,,Assisted Living,,,,150 Saulsbury Rd,,,Dover,,,DE,,19904-2776,US,39.1624702,-75.5451702,,True
Brookdale Hockessin,,,,,,,,,,,,,,,,,,302-239-3200,,,,,,,,,,,,,,,,,Assisted Living,,,,6677 Lancaster Pike,,,Hockessin,,,DE,,19707-9503,US,39.7722392,-75.6660035,,False
Brookdale White Chapel,,,,,,,,,,,,,,,,,,302-366-8100,,,,,,,,,,,,,,,,,Assisted Living,,,,200 E Village Rd,,,Newark,,,DE,,19711-3845,US,39.6764296,-75.7300506,,True
Cadbury at Lewes  Assisted Living,,,,,,,,,,,,,,,,,,302-645-6400,,,,,,,,,,,,,,,,,Assisted Living,,,,17028 Cadbury Cir,,,Lewes,,,DE,,19958-7028,US,38.7557439,-75.14100859999999,,True
Dover Place,,,,,,,,,,,,,,,,,,302-735-8800,,,,,,,,,,,,,,,,,Assisted Living,,,,1203 Walker Rd,,,Dover,,,DE,,19904-6541,US,39.16947869999999,-75.55317889999999,,True
"Five Star Foulk Manor North LLC, Assisted Living",,,,,,,,,,,,,,,,,,302-478-4296,,,,,,,,,,,,,,,,,Assisted Living,,,,1212 Foulk Rd,,,Wilmington,,,DE,,19803-2741,US,39.7953783,-75.5253549,,True
Forwood Manor Assisted Living,,,,,,,,,,,,,,,,,,302-529-1601,,,,,,,,,,,,,,,,,Assisted Living,,,,1912 Marsh Rd,,,Wilmington,,,DE,,19810-3954,US,39.8094194,-75.50144089999999,,True
Foulk Manor South Assisted Living,,,,,,,,,,,,,,,,,,302-655-6249,,,,,,,,,,,,,,,,,Assisted Living,,,,407 Foulk Rd,,,Wilmington,,,DE,,19803-3809,US,39.78389809999999,-75.5400288,,True
"Ingleside Assisted Living, LLC",,,,,,,,,,,,,,,,,,302-984-0950,,,,,,,,,,,,,,,,,Assisted Living,,,,1605 North Broom St,,,Wilmington,,,DE,,19806-3009,US,39.75646959999999,-75.5584676,Trolley Square,True
