name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Western Senior Citizens Home,,,,,,,,,,,,,,,,,,306-628-3565,,,https://cypresshealth.ca/health-facilities/leader/western-senior-citizens-home/,,,,,,,,,,,,,Long Term Care,,,,,Box 69,400 1st Street West,,Leader,,,SK,,S0N 1H0,Canada,41.48611349999999,-112.0150929,,True
Gull Lake Special Care Centre,,,,,,,,,,,,,,,,,,406-672-4701,,,https://cypresshealth.ca/health-facilities/gull-lake/,,,,,,,,,,,,,Long Term Care,,,,,Box 539,751 Grey Street,,Gull Lake,,,SK,,S0N 1A0,Canada,ERROR,ERROR,ERROR,True
The Meadows,,,,,,,,,,,,,,,,,,306-770-2100,,,https://cypresshealth.ca/health-facilities/swift-current/the-meadows/,,,,,,,,,,,,,Long Term Care,,,,,2215 Woodrow Llyod Pl,,,Swif Current,,,SK,,S9H 5R2,Canada,50.3133352,-107.7777645,,True
Ross Payant Nursing Home ,,,,,,,,,,,,,,,,,,306-642-3330,,,http://www.fhhr.ca/AssiniboiaHome.htm,,,,,,,,,,,,,Nursing Home,,,,,300 Jubilee Pl,,,Assiniboia,,,SK,,S0H 0B0,Canada,49.62587949999999,-105.9956214,,True
Pioneers Lodge,,,,,,,,,,,,,,,,,,306-693-4616,,,http://www.fhhr.ca/PioneerLodge.htm,,,,,,,,,,,,,Nursing Home,,,,,1000 Albert St,,,Moose Jaw,,,SK,,S6H 2Y2,Canada,50.3986752,-105.5612583,,True
Providence Place,,,,,,,,,,,,,,,,,,306-694-8081,,,http://www.fhhr.ca/ProvidencePlace.htm,,,,,,,,,,,,,Nursing Home,,,,,100 2nd Ave NE,,,Moose Jaw,,,SK,,S6H 1B8,Canada,50.390589,-105.529715,,True
Newmarket Place,,,,,,,,,,,,,,,,,,306-873-6550,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/NewMarket%20Place%20Handbook.pdf,,,,,,,,,,,,,Nursing Home,,,,,2001 Newmarket Dr,Box 2620,,Tisdale,,,SK,,S0E 1T0,,52.8570962,-104.0559867,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Respite bed,,,,,,,,,,,,,,,ERROR,ERROR,ERROR,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Care services,,,,,,,,,,,,,,,ERROR,ERROR,ERROR,False
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Physician Clinic""",,,,,,,,,,,,,,,ERROR,ERROR,ERROR,False
Red Deer Nursing Home,,,,,,,,,,,,,,,,,,306-278-6278,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Red%20Deer%20Nurse%20Home%20Resident%20Handbook.pdf,,,,,,,,,,,,,Nursing Home,,,,,330 Oak St,Box 70,,Porcupine Plain,,,SK,,S0E 1H0,Canada,52.5970747,-103.2526151,,True
Pineview Lodge,,,,,,,,,,,,,,,,,,306-862-9828,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Pineview%20Lodge%20-%20Welcome%20Guide%20.pdf,,,,,,,,,,,,,Nursing Home,,,,,400 6th Ave E,Box 2105,,Nipawin,,,SK,,S0E 1E0,Canada,53.3573031,-104.0053613,,True
Parkland Place,,,,,,,,,,,,,,,,,,306-752-1777,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Parkland%20Place%20Handbook.pdf,,,,,,,,,,,,,Nursing Home,,,,,402 Bemister Ave E,Box 2260,,Melfort,,,SK,,S0E 1A0,Canada,52.8618947,-104.5998563,,True
Kelvindell Lodge,,,,,,,,,,,,,,,,,,306-327-5530,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Kelvindell%20Lodge%20-%20admission%20book%202016.pdf,,,,,,,,,,,,,Nursing Home,,,,,701 6th Ave W,Box 280,,Kelvington,,,SK,,S0A 1W0,Canada,52.15854599999999,-103.5261548,,True
Carrot River Health Centre,,,,,,,,,,,,,,,,,,306-768-3100,,,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Carrot%20River%20Health%20Centre%20Handbook%20-%20Part%202.pdf,,,,,,,,,,,,,Nursing Home,,,,,4101 1st Ave W,Box 250,,Carrot River,,,SK,,S0E 0L0,Canada,53.2821657,-103.589302,,True
Arborfield & district health care centre,,,,,,,,,,,,,,,,,,306-769-4200,,,,,,,,,,,,,,,,Nursing Home,,,,,5th Ave,Box 160,,Arborfield,,,SK,, S0E 0A0,Canada,53.1049447,-103.6677171,,True
Wayburn Special Care Home,,,,,,,,,,,,,,,,,,306-842-4455,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/23,,,,,,,,,,,,,Nursing Home,,,,,Box 2003,704-5th Street NE,,Weyburn,,,SK,,S4H 2Z9,Canada,49.6751069,-103.871975,,True
Fillmore Health Centre,,,,,,,,,,,,,,,,,,306-722-3315,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/11,,,,,,,,,,,,,Nursing Home,,,,,Box 246,100 Main St,,Fillmore,,,SK,,S0G 1N0,Canada,ERROR,ERROR,ERROR,True
New Hope Pioneer Lodge,,,,,,,,,,,,,,,,,,306-457-2552,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/21,,,,,,,,,,,,,Nursing Home,,,,,Box 38,123 Governemnt Rd N,,Stoughton,,,SK,,S0G 4T0,Canada,ERROR,ERROR,ERROR,True
Mainprize Manor,,,,,,,,,,,,,,,,,,306-458-2300,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/16,,,,,,,,,,,,,Nursing Home,,,,,Box 239,206 South Street,,Midale,,,SK,,S0C1S0,Canada,ERROR,ERROR,ERROR,True
Kipling Integrated Health Centre,,,,,,,,,,,,,,,,,,306-736-2552,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/13,,,,,,,,,,,,,Nursing Home,,,,,Box 420,906 Industrial Drive,,Kipling,,,SK,,S0G 2S0,Canada,ERROR,ERROR,ERROR,True
Wawota Memorial Health Centre,,,,,,,,,,,,,,,,,,306-739-5200,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/22,,,,,,,,,,,,,Nursing Home,,,,,Box 60,Choo Foo Cresent,,Wawota,,,SK,,S0G 5A0,Canada,ERROR,ERROR,ERROR,True
Redvers Health Centre,,,,,,,,,,,,,,,,,,306-452-3553,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/20,,,,,,,,,,,,,Nursing Home,,,,,Box 30,18 Eichhorst Street,,Redvers,,,SK,,S0C 2H0,Canada,ERROR,ERROR,ERROR,True
Arcola Health Centre,,,,,,,,,,,,,,,,,,306-455-2771,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/5,,,,,,,,,,,,,Nursing Home,,,,,Box 419,607 Prairie Ave,,Arcola,,,SK,,S0C 0G0,Canada,ERROR,ERROR,ERROR,True
Lampman Community Health CentreBox 100,,,,,,,,,,,,,,,,,,306-487-2561,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/14,,,,,,,,,,,,,Nursing Home,,,,,Box 100,309-2nd Avenue,,Lampman,,,SK,,S0C 1N0,Canada,ERROR,ERROR,ERROR,True
Sunset Haven,,,,,,,,,,,,,,,,,,306-482-3424,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/8,,,,,,,,,,,,,Nursing Home,,,,,Box 250,416 Spencer St,,Carnduff,,,SK,,S0C 0S0,Canada,49.17503420000001,-101.793728,,True
Gainsborough & Area Health Centre,,,,,,,,,,,,,,,,,,306-685-2288,,,http://www.suncountry.sk.ca/map/work/menu_id/94/id/12,,,,,,,,,,,,,Nursing Home,,,,,Box 420,312 Stephens Street,,Gainborough,,,SK,,S0C 0Z0,Canada,ERROR,ERROR,ERROR,True
