name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
DANIA HOME,,,,,,,,,,,,,,,,,,604-299-2414,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,4175 Norland Ave,,,Burnaby,BURNABY SOUTH,,BC,,V5G 3Z7,Canada,49.2474414,-122.9750779,,TRUE
PARKSIDE INTERMEDIATE CARE HOME,,,,,,,,,,,,,,,,,,250-563-1916,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,1475 Edmonton St,,,Prince George,NORTHERN INTERIOR,,BC,,V2M 6W5,Canada,53.9115651,-122.7645806,,TRUE
SIMON FRASER LODGE,,,,,,,,,,,,,,,,,,250-563-3413,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,2410 Laurier Cres,,,Prince George,NORTHERN INTERIOR,,BC,,V2M 2B3,Canada,53.914859,-122.764551,,TRUE
ACROPOLIS MANOR,,,,,,,,,,,,,,,,,,250-627-8497,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,1325 Summit Ave,,,Prince Rupert,NORTHWEST BC,,BC,,V8J 4C1,Canada,54.3038194,-130.330388,,TRUE
ARRANGLEN GARDENS,,,,,,,,,,,,,,,,,,250-752-9277,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,2300 Fowler Rd,,,Qualicum Beach,VANCOUVER ISLAND CENTRAL,,BC,,V9K 2L1,Canada,49.3692444,-124.5697202,,TRUE
EAGLE PARK HEALTH CENTRE,,,,,,,,,,,,,,,,,,250-947-8220,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,777 Jones St,,,Qualicum Beach,VANCOUVER ISLAND CENTRAL,,BC,,V9K 2L1,Canada,49.343715,-124.450927,,TRUE
HAWTHORNE PLACE,,,,,,,,,,,,,,,,,,250-752-4217,,,,,,,,,,,,,,,,SUPPORTIVE HOUSING - RETIREMENT HOMES,,,,,750 Memorial Ave,,,Qualicum Beach,VANCOUVER ISLAND CENTRAL,,BC,,V9K 2P6,Canada,49.344929,-124.441465,,TRUE
DUNROVIN PARK LODGE,,,,,,,,,,,,,,,,,,250-985-5800,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,361 Murphy St,,,Quesnel,NORTHERN INTERIOR,,BC,,V2J 3S3,Canada,52.9796918,-122.4868346,,TRUE
SAANICH PENINSULA HOSPITAL,,,,,,,,,,,,,,,,,,250-652-3911,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,2166 Mount Newton Cross Rd,,,Saanichton,VANCOUVER ISLAND SOUTH,,BC,,V8M 2B2,Canada,48.594437,-123.409957,,TRUE
BASTION PLACE MULTILEVEL CARE,,,,,,,,,,,,,,,,,,250-833-3616,,,,,,,,,,,,,,,,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),,,,,700 11th St NE,,,Salmon Arm,THOMPSON CARIBOO,,BC,,V1E 4P9,Canada,50.705027,-119.2720859,,TRUE
