name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
LIBERTY VILLAGE OF ADAMS,,,CANDICE JOHNSON,,,,,,,,,,,,,,,(608) 339-9444,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,850/5,850",,,550 W LIBERTY STREET,,,ADAMS, ADAMS,,WI,,53910,USA,43.96146,-89.823419,,True
BIRCH HAVEN SENIOR LIVING BEARS HOLLOW,,,DALE KELM,,,,,,,,,,,,,,,(715) 682-2534,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,390/5,828",,,1019 15TH AVE W,,,ASHLAND, ASHLAND,,WI,,54806,USA,46.57631199999999,-90.89458499999999,,True
BIRCH HAVEN SENIOR LIVING EAGLES RIDGE,,,DALE KELM,,,,,,,,,,,,,,,(715) 682-1069,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,390/5,828",,,224 22ND AVE W,,,ASHLAND, ASHLAND,,WI,,54806,USA,46.580649,-90.90872399999999,,True
BIRCH HAVEN SENIOR LIVING FALCONS CREST,,,DALE KELM,,,,,,,,,,,,,,,(715) 682-2775,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,390/5,828",,,218 22ND AVE W,,,ASHLAND, ASHLAND,,WI,,54806,USA,46.58101019999999,-90.90893109999999,,True
BIRCH HAVEN SENIOR LIVING TIMBERS EDGE,,,DALE KELM,,,,,,,,,,,,,,,(715) 682-2506,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,390/5,828",,,1500 10TH ST W,,,ASHLAND, ASHLAND,,WI,,54806,USA,46.576674,-90.89442000000001,,True
HANSENS GROUP HOME,,,SUSAN & CARL HANSEN,,,,,,,,,,,,,,,(715) 537-5331,,,,,,,,,,,,,,,,CBRF,Residential Care,"1,500/4,000",,,1190 17TH ST,,,BARRON, BARRON,,WI,,54812,USA,45.378246,-91.806581,,True
HUNTER HOME SERVICES INC,,,ELIZABETH HUNTER,,,,,,,,,,,,,,,(715) 537-1608,,,,,,,,,,,,,,,,CBRF,Residential Care,"1,940/3,954",,,1222 - 13-1/2 AVENUE,,,BARRON, BARRON,,WI,,54812,USA,45.40101,-91.8412838,,True
MONROE MANOR,,,JULIE MALONE,,,,,,,,,,,,,,,(715) 537-5700,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,850/3,700",,,508 E MONROE AVE,,,BARRON, BARRON,,WI,,54812,USA,45.3984854,-91.85047399999999,,True
LSS BARRON AREA RESIDENTIAL TREATMENT,,,SHELLEY HAMMES,,,,,,,,,,,,,,,(715) 214-9062,,,,,,,,,,,,,,,,CBRF,Residential Care,,,,806 29 1/2 AVE,,,BARRONETT, BARRON,,WI,,54813,USA,45.6336501,-91.9896943,,True
INTEGRICARE CAMERON,,,SUE HANSON,,,,,,,,,,,,,,,(715) 859-6309,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,700/4,200",,,1372-24-3/8 ST,,,CAMERON, BARRON,,WI,,54822,USA,45.404775,-91.757485,,True
CHETEK RIVERS EDGE,,,SUE HANSON,,,,,,,,,,,,,,,(715) 924-2964,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,900/5,000",,,251 WOODWARD ST,,,CHETEK, BARRON,,WI,,54728,USA,ERROR,ERROR,ERROR,True
AURORA RES ALTERNATIVES INC 049,,,JILL MATTSON,,,,,P O BOX 68,,,,,,,,,,(715) 822-2245,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,019/5,019",,,1849 HWY 63,,,COMSTOCK, BARRON,,WI,,54826,USA,45.5438194,-92.01787329999999,,False
BRENTWOOD SENIOR LIVING MEMORY CARE,,,RUTH ROTHSTEIN,,,,,PO BOX 155,,,,,,,,,,(715) 736-7400,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,000/6,000",,,633 CAMERON RD,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4923958,-91.75161,,True
CARE PARTNERS RICE LAKE II,,,DEBE SEVERSON,,,,,PO BOX 3006,,,,,,,,,,(715) 719-0415,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,700/5,600",,,1639 KERN AVENUE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4835569,-91.7242704,,True
CHRISMARK HOME LLC,,,KELLY BANT,,,,,,,,,,,,,,,(715) 736-1112,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,800/4,000",,,1627 KERN AVE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.484037,-91.724762,,True
COUNTRY TERRACE OF WISCONSIN INC,,,DEB SEVERSON,,,,,PO BOX 3006,,,,,,,,,,(715) 234-2012,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,652/3,702",,,1631 KERN AVENUE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.48399999999999,-91.723477,,True
INTEGRICARE RICE LAKE,,,SUE HANSON,,,,,,,,,,,,,,,(715) 719-0024,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,900/5,500",,,315 E SAINT PATRICK STREET,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4858254,-91.7281472,,True
MAGNA HOUSE OF BARRON COUNTY LLC,,,KAREN RUSCH,,,,,,,,,,,,,,,(715) 736-6334,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,280/3,900",,,615 E SAWYER ST,,,RICE LAKE, BARRON,,WI,,54868,USA,45.49305200000001,-91.72388199999999,,True
NEW BEGINNINGS OF BARRON COUNTY INC,,,RENEE ANDERSON,,,,,,,,,,,,,,,(715) 736-1311,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,300/6,000",,,4 CORNELL AVENUE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.501831,-91.741478,,True
NORTHWOOD GABLES,,,NANCY FREDERICKSON,,,,,,,,,,,,,,,(715) 234-9415,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,235/4,813",,,1464-21ST AVENUE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.51046,-91.85279799999999,,True
RICE LAKE ASSISTED CARE,,,KAYLA HANSON,,,,,,,,,,,,,,,(715) 236-7211,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,350/3,720",,,415 E SOUTH ST,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4803421,-91.72671369999999,,True
RICE LAKE MEMORY CARE,,,LISA ROBINSON,,,,,,,,,,,,,,,(715) 736-0347,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,900/3,900",,,413 E SOUTH ST,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4803345,-91.72721330000002,,True
WOODSTONE SENIOR LIVING CBRF,,,JACOB WORK,,,,,PO BOX 172,,,,,,,,,,(715) 736-6060,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,887/6,887",,,950 BEAR PAW AVENUE,,,RICE LAKE, BARRON,,WI,,54868,USA,45.5110311,-91.75944129999999,,True
WILLOW MANOR,,,SHARON HOGFELDT,,,,,,,,,,,,,,,(715) 372-5005,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,000/4,000",,,68290 N DISTRICT ST,,,IRON RIVER, BAYFIELD,,WI,,54847,USA,46.5670231,-91.40475169999999,,True
OAKS AT NORTHERN LIGHTS (THE),,,JENNIFER AUGUSTINE,,,,,,,,,,,,,,,(715) 373-5621,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,500/3,900",,,702 BRATLEY DR,,,WASHBURN, BAYFIELD,,WI,,54891,USA,46.6803788,-90.8840927,,True
ANGELS ON ARCADIAN 1,,,DAVID FRY,,,,,,,,,,,,,,,(920) 339-0601,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,600/4,500",,,1550 ARCADIAN LN,,,DE PERE, BROWN,,WI,,54115,USA,44.4266184,-88.0489396,,True
ANGELS ON ARCADIAN 2,,,DAVID FRY,,,,,,,,,,,,,,,(920) 339-0601,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,600/4,500",,,1500 ARCADIAN LN,,,DE PERE, BROWN,,WI,,54115,USA,44.4271632,-88.0493859,,True
ANGELS ON ARCADIAN 3,,,DAVID FRY,,,,,,,,,,,,,,,(920) 339-0601,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,600/4,500",,,1525 ARCADIAN LN,,,DE PERE, BROWN,,WI,,54115,USA,44.426735,-88.0491842,,True
ANGELS TOUCH ASSISTED LIVING,,,SHEILA STEINFELDT,,,,,,,,,,,,,,,(920) 336-9137,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,000/5,000",,,1350 ANGELS PATH,,,DE PERE, BROWN,,WI,,54115,USA,44.431238,-88.009962,,True
ANGELS TOUCH ASSISTED LIVING LLC,,,SHEILA STEINFELDT,,,,,,,,,,,,,,,(920) 336-9137,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,600/5,500",,,394 ANGELS TOUCH CT,,,DE PERE, BROWN,,WI,,54115,USA,44.4310467,-88.0086839,,True
ANGELS TOUCH ASST LVG LLC 5,,,SHEILA STEINFELDT,,,,,,,,,,,,,,,(920) 336-9137,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,600/5,500",,,400 ANGELS TOUCH CT,,,DE PERE, BROWN,,WI,,54115,USA,44.43041419999999,-88.0089708,,True
ARTISAN DE PERE (THE),,,TARA LAPACEK,,,,,,,,,,,,,,,(920) 338-3407,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,900/3,800",,,1880 SCHEURING RD,,,DE PERE, BROWN,,WI,,54115,USA,44.4308533,-88.1226812,,True
BIRCH CREEK BY HILLCREST,,,ANN STRAH,,,,,,,,,,,,,,,(920) 964-3737,,,,,,,,,,,,,,,,CBRF,Residential Care,"1,900/5,000",,,525 N 10TH ST,,,DE PERE, BROWN,,WI,,54115,USA,44.45527269999999,-88.08386569999999,,True
OAKS FAM CARE CTR GRANT ST,,,CYNDI GARBISCH,,,,,,,,,,,,,,,(920) 336-3155,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,105/4,489",,,1527 GRANT ST,,,DE PERE, BROWN,,WI,,54115,USA,44.444463,-88.10557299999999,,True
SCANDINAVIAN COURT ASSISTED LIVING,,,CHRISTINA MESEBERG,,,,,,,,,,,,,,,(920) 863-5362,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,474/3,015",,,346 SCANDINAVIAN CT,,,DENMARK, BROWN,,WI,,54208,USA,44.35189219999999,-87.8284704,,True
HIL FOX RUN,,,PENNI OLSON,,,,,,,,,,,,,,,(920) 983-9592,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,279/6,023",,,1744 BURGOYNE CT,,,DEPERE, BROWN,,WI,,54115,USA,44.406149,-88.12333749999999,,True
ACS GREEN BAY,,,KATRINA NELSON,,,,,PO BOX 1685,,,,,,,,,,(920) 469-2569,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,374/2,629",,,2670 UNIVERSITY AVE,,,GREEN BAY, BROWN,,WI,,54311,USA,44.5153257,-87.94849649999999,,True
ALLOUEZ PARKSIDE  VILLAGE 2,,,ANN STRAH,,,,,,,,,,,,,,,(920) 432-3322,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,900/5,500",,,1901 LIBAL STREET,,,GREEN BAY, BROWN,,WI,,54301,USA,44.4834458,-88.0102572,,True
ALLOUEZ PARKSIDE VILLAGE,,,ANN STRAH,,,,,,,,,,,,,,,(920) 430-8500,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,500/4,800",,,1901 LIBAL ST,,,GREEN BAY, BROWN,,WI,,54301,USA,44.4834458,-88.0102572,,True
ALPHA SENIOR CONCEPTS,,,REBECCA MARKS,,,,,,,,,,,,,,,(920) 393-4531,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,300/5,900",,,2723 LINEVILLE RD,,,GREEN BAY, BROWN,,WI,,54313,USA,44.59038,-88.0900599,,True
ANGELS ON HUMBOLDT BUILDING 1,,,DAVID FRY,,,,,,,,,,,,,,,(920) 406-7600,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,500/4,000",,,655 WOODSIDE RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.512375,-87.912903,,True
ANGELS ON HUMBOLDT BUILDING 2,,,DAVID FRY,,,,,,,,,,,,,,,(920) 406-7600,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,500/4,000",,,653 WOODSIDE RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.5127514,-87.91279469999999,,True
AUTUMNS PROMISE ASSISTED LIVING LLC,,,NICOLE SILTA,,,,,,,,,,,,,,,(920) 465-1181,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,100/4,750",,,1700 SPARTAN RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.5224316,-87.90195,,True
BISHOPS COURT,,,ANN STRAH,,,,,,,,,,,,,,,(920) 435-2729,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,200/4,500",,,289 E ST JOSEPH,,,GREEN BAY, BROWN,,WI,,54301,USA,44.48476269999999,-88.0184913,,True
BORNEMANN CBRF NORTH,,,KATIE HAGERSTROM,,,,,,,,,,,,,,,(920) 406-9850,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,198/4,715",,,1866 BROOK ST,,,GREEN BAY, BROWN,,WI,,54302,USA,44.5057237,-87.9757968,,True
BORNEMANN CBRF SOUTH,,,KATIE HAGERSTROM,,,,,,,,,,,,,,,(920) 468-3110,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,893/4,167",,,1853 MILLS ST,,,GREEN BAY, BROWN,,WI,,54302,USA,44.5041506,-87.9762159,,True
BROWN CO COMMUNITY TREATMENT CENTER BAY HAVE,,,LUCAS J. SCHUBERT,,,,,,,,,,,,,,,(920) 391-4701,,,,,,,,,,,,,,,,CBRF,Residential Care,,,,3150 GERSHWIN DR,,,GREEN BAY, BROWN,,WI,,54311,USA,44.52270349999999,-87.92502259999999,,True
BUFFLEHEAD LANE,,,SHAWN COLLARD,,,,,,,,,,,,,,,(920) 465-9410,,,,,,,,,,,,,,,,CBRF,Residential Care,"6,492/7,035",,,2084 BUFFLEHEAD LN,,,GREEN BAY, BROWN,,WI,,54311,USA,44.475975,-87.9780218,,True
CARDINAL RIDGE RESIDENTIAL CARE,,,KAREN BAIN,,,,,PO BOX 11966,,,,,,,,,,(920) 434-9600,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,550/4,825",,,713 CARDINAL LANE,,,GREEN BAY, BROWN,,WI,,54313,USA,44.56046509999999,-88.0853454,,True
CARRINGTON ASSISTED LIVING,,,APRIL MULLEN,,,,,,,,,,,,,,,(920) 469-2606,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,500/5,000",,,2626 FINGER RD,,,GREEN BAY, BROWN,,WI,,54302,USA,44.4878168,-87.95164079999999,,True
CENTURY RIDGE OF GREEN BAY I,,,JENNIFER CRAWFORD,,,,,,,,,,,,,,,(920) 468-2520,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,400/3,200",,,2498 BLUESTONE PL,,,GREEN BAY, BROWN,,WI,,54311,USA,44.4639672,-87.9578975,,True
CENTURY RIDGE OF GREEN BAY II,,,JENNIFER CRAWFORD,,,,,,,,,,,,,,,(920) 468-2520,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,400/3,200",,,2510 BLUESTONE PL,,,GREEN BAY, BROWN,,WI,,54311,USA,44.46403499999999,-87.9579521,,True
CFAA INC,,,RACHEL CHVALA,,,,,,,,,,,,,,,(920) 432-8119,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,700/2,900",,,1308 S NORWOOD AVE,,,GREEN BAY, BROWN,,WI,,54304,USA,44.5044959,-88.0383889,,True
CLARITY CARE BERNARD ON HOFFMAN,,,RAYNE NELSON,,,,,,,,,,,,,,,(920) 338-1569,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,709/5,735",,,898 E HOFFMAN RD,,,GREEN BAY, BROWN,,WI,,54301,USA,44.456666,-88.019492,,True
CLARITY CARE SHAWANO AVENUE APARTMENTS,,,RAYNE NELSON,,,,,,,,,,,,,,,(920) 490-4581,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,396/5,336",,,1297 SHAWANO AVE,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5255878,-88.048322,,True
COTTONWOOD MANOR ASSISTED LIVING,,,KRISTINE RITZENHEIN,,,,,,,,,,,,,,,(920) 499-8838,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,136/4,027",,,1450 S MILITARY AVE,,,GREEN BAY, BROWN,,WI,,54304,USA,44.5131153,-88.0712958,,True
DURHAM,,,RAYNE NELSON,,,,,,,,,,,,,,,(920) 884-3160,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,481/5,879",,,2671-2673 DURHAM RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.54143819999999,-87.9112906,,True
GARDENS AT MARLA VISTA (THE),,,JENNIFER OWENS,,,,,,,,,,,,,,,(920) 499-1119,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,000/4,500",,,1016 N MILITARY AVE,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5406584,-88.0514003,,True
GRANCARE GARDENS,,,BRENDA LEE CARPENTER,,,,,,,,,,,,,,,(920) 494-3050,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,275/3,850",,,1551 DOUSMAN ST,,,GREEN BAY, BROWN,,WI,,54303,USA,44.531523,-88.0572849,,True
HAMPTON MANOR,,,JANE NEWLUN,,,,,,,,,,,,,,,(920) 434-9666,,,,,,,,,,,,,,,,CBRF,Residential Care,"2,235/2,900",,,1265 ROCKWELL RD,,,GREEN BAY, BROWN,,WI,,54313,USA,44.575181,-88.089973,,True
HIL BITTERWOOD,,,PENNI OLSON,,,,,,,,,,,,,,,(920) 983-0014,,,,,,,,,,,,,,,,CBRF,Residential Care,"7,066/7,066",,,3279 BITTERS CT,,,GREEN BAY, BROWN,,WI,,54301,USA,44.46138000000001,-88.0300029,,True
HIL COOPERS RUN,,,KELLY ZIPPERER,,,,,,,,,,,,,,,(920) 857-3750,,,,,,,,,,,,,,,,CBRF,Residential Care,"6,092/6,092",,,2460 FORESTVILLE DR,,,GREEN BAY, BROWN,,WI,,54304,USA,44.514439,-88.09252649999999,,True
HIL ORIOLE,,,STEVEN BURTON,,,,,,,,,,,,,,,(920) 857-9718,,,,,,,,,,,,,,,,CBRF,Residential Care,"6,548/6,548",,,503 PLATTEN ST,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5326166,-88.04709539999999,,True
HIL ROCKWOOD HEIGHTS,,,DAWN ZIEMENDORF,,,,,,,,,,,,,,,(920) 662-1203,,,,,,,,,,,,,,,,CBRF,Residential Care,"6,157/6,157",,,2744 ROCKWOOD HEIGHTS,,,GREEN BAY, BROWN,,WI,,54313,USA,44.552438,-88.090203,,True
HIL WESTPLAIN,,,DAVID HOFFMANN,,,,,,,,,,,,,,,(920) 857-3734,,,,,,,,,,,,,,,,CBRF,Residential Care,"9,894/9,894",,,335-339 WESTPLAIN DR,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5379549,-88.06909499999999,,True
INNOVATIVE SERVICES INC DIVERSION FACILITY,,,SHAWN COLLARD,,,,,,,,,,,,,,,(920) 435-3750,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,330/3,330",,,1311 N DANZ AVE,,,GREEN BAY, BROWN,,WI,,54302,USA,44.5190821,-87.96852849999999,,True
LAFRANK CBRF,,,KEVIN LAPOINTE,,,,,,,,,,,,,,,(920) 405-0712,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,300/5,850",,,1713 FRANK ST,,,GREEN BAY, BROWN,,WI,,54304,USA,44.50626649999999,-88.05996669999999,,True
LIBAL STREET HOME,,,SHAWN COLLARD,,,,,,,,,,,,,,,(920) 347-4624,,,,,,,,,,,,,,,,CBRF,Residential Care,"5,963/6,436",,,3500 LIBAL ST,,,GREEN BAY, BROWN,,WI,,54301,USA,44.45815099999999,-88.030216,,True
LSS NORTH VIEW HOUSE,,,LISA SEVERSON,,,,,,,,,,,,,,,(920) 494-5454,,,,,,,,,,,,,,,,CBRF,Residential Care,"7,776/7,776",,,2517-19 N VIEW CT,,,GREEN BAY, BROWN,,WI,,54303,USA,44.501909,-87.8974079,,True
LSS PREBLE HOUSE,,,LISA SEVERSON,,,,,,,,,,,,,,,(920) 465-9977,,,,,,,,,,,,,,,,CBRF,Residential Care,"4,966/4,966",,,830-832 EDGEWOOD DR,,,GREEN BAY, BROWN,,WI,,54311,USA,44.485582,-87.95818489999999,,True
MARLA VISTA ASSISTED LIVING,,,JENNIFER OWENS,,,,,,,,,,,,,,,(920) 499-1119,,,,,,,,,,,,,,,,CBRF,Residential Care,"3,400/5,200",,,1006 N MILITARY AVE,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5402328,-88.0515729,,True
