name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Riverside Health Complex,,,,,,,,,,,,,,,,,,306-845-2195,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-126&lang=1,,,,,,,,,,,,,Nursing Home,,,,,Box 100,1st South St,,Turtleford,,,SK,,S0M 2Y0,Canada,53.3879784,-108.9583963,,True
Cut Knife Health Complex,,,,,,,,,,,,,,,,,,306-398-4718,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-115&lang=1,,,,,,,,,,,,,Nursing Home,,,,,Box 220,102 Dion Avenue,,Cut Knife,,,SK,,S0M 0N0,Canada,52.74752169999999,-109.0160676,,True
Lady Minto Health Care Center,,,,,,,,,,,,,,,,,,306-397-5560,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-116&lang=1,,,,,,,,,,,,,Nursing Home,,,,,1513,1st Avenue South,,Edam,,,SK,,S0M 0V0,Canada,53.18389980000001,-108.7663668,,True
L Gervais Memorial Health Centre,,,,,,,,,,,,,,,,,,306-238-2100,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-117&lang=1,,,,,,,,,,,,,Nursing Home,,,,,100,1st Avenue North,,Goodsoil,,,SK,,S0M 1A0,Canada,54.40001579999999,-109.2266641,,True
Dr. Cooke Extended Care Centre,,,,,,,,,,,,,,,,,,780-871-7900,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,,,,,,,,,,,,Nursing Home,,,,,3915,56 Avenue,,Lloydminster,,,AB,,T9V 1N9,Canada,51.0006668,-114.1232231,Southwest Calgary,True
Jubilee Home,,,,,,,,,,,,,,,,,,306-820-5950,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,,,,,,,,,,,,Nursing Home,,,,,3902,45 Avenue,,Lloydminster,,,AB,,S9V 1Z2,Canada,51.00045019999999,-114.1233829,Southwest Calgary,True
Lloydminster Hospital,,,,,,,,,,,,,,,,,,306-820-6000,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,,,,,,,,,,,,Nursing Home,,,,,3820,43 Avenue,,Lloydminster,,,AB,,S9V 1Y5,Canada,51.00045019999999,-114.1233829,Southwest Calgary,True
Lloydminster Continuing Care Centre,,,,,,,,,,,,,,,,,,780-874-3900,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,,,,,,,,,,,,Nursing Home,,,,,7402,29 Street,,Lloydminster,,,AB,,T9V 3N1,Canada,50.9986449,-114.123385,Southwest Calgary,True
Loon Lake Health Centre & Special Care Home,,,,,,,,,,,,,,,,,,306-837-2114,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-119&lang=1,,,,,,,,,,,,,Nursing Home,,,,,510,2nd St,,Loon Lake,,,SK,,S0M 1L0,Canada,54.0273801,-109.1588281,,True
Maidstone Health Complex,,,,,,,,,,,,,,,,,,306-893-2622,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-120&lang=1,,,,,,,,,,,,,Nursing Home,,,,,214,5th Avnue Est,,Maidstone,,,SK,,S0M 1M0,Canada,53.0903635,-109.2939706,,True
St Walburg Health Complex,,,,,,,,,,,,,,,,,,30M 2T0,,,http://www.pnrha.ca/bins/content_page.asp?cid=19-125&lang=1,,,,,,,,,,,,,Nursing Home,,,,,410,3rd Avenue West,,St Walburg,,,SK ,,S0M 2T0,Canada,53.6329254,-109.1943851,,True
