name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ARTRIPS PERSONAL CARE HOME,,,,,,,,,,,,,,,,,,(606) 325-3244,,,,,,,,,,,,,,,,,Personal Care Home,,,,3000 CENTRAL Ave,,,ASHLAND,BOYD,,,,41101,US,38.46710909999999,-82.62490319999999,,True
AUTUMN RIDGE PERSONAL CARE,,,,,,,,,,,,,,,,,,(270) 345-2116,,,,,,,,,,,,,,,,,Personal Care Home,,,,4880 STATE ROUTE 121 S,,,MAYFIELD,GRAVES,,,,42066,US,36.6974113,-88.57565900000002,,True
BARTON HOUSE OF LOUISVILLE #1,,,,,,,,,,,,,,,,,,(502) 423-7177,,,,,,,,,,,,,,,,,Personal Care Home,,,,6830 OVERLOOK DR,,,LOUISVILLE,JEFFERSON,,,,40241,US,38.295687,-85.6254546,,False
BELMONT VILLAGE,,,,,,,,,,,,,,,,,,(502) 721-7500,,,,,,,,,,,,,,,,,Personal Care Home,,,,4600 BOWLING Blvd,,,LOUISVILLE,JEFFERSON,,,,40207,US,38.2414226,-85.6284672,,True
"BETTER SENIOR LIVING, LLC",,,,,,,,,,,,,,,,,,(270) 522-3711,,,,,,,,,,,,,,,,,Personal Care Home,,,,66 SHELBY St,,,CADIZ,TRIGG,,,,42211,US,36.8572348,-87.82206269999999,,True
"BISHOP SOENNEKER HOME, INC",,,,,,,,,,,,,,,,,,(270) 281-4881,,,,,,,,,,,,,,,,,Personal Care Home,,,,9545 KY 144,,,PHILPOT,DAVIESS,,,,42366,US,37.77303999999999,-86.903567,,True
BRIDGEPOINTE AT ASHGROVE WOODS,,,,,,,,,,,,,,,,,,(502) 254-4200,,,,,,,,,,,,,,,,,Personal Care Home,,,,5220 GREY OAK Ln,,,NICHOLASVILLE,JESSAMINE,,,,40356,US,37.9499894,-84.5215233,,True
BROOKDALE BLANKENBAKER,,,,,,,,,,,,,,,,,,(502) 244-4244,,,,,,,,,,,,,,,,,Personal Care Home,,,,901 BLANKENBAKER Rd,,,MIDDLETOWN,JEFFERSON,,,,40243,US,38.2286216,-85.54025109999999,,True
BROOKDALE EDGEWOOD,,,,,,,,,,,,,,,,,,(859) 426-1888,,,,,,,,,,,,,,,,,Personal Care Home,,,,2950 TURKEYFOOT Rd,,,EDGEWOOD,KENTON,,,,41017,US,39.01733060000001,-84.5768639,,True
BROOKDALE RICHMOND PLACE,,,,,,,,,,,,,,,,,,(859) 263-2410,,,,,,,,,,,,,,,,,Personal Care Home,,,,3195 RIO DOSA Dr,,,LEXINGTON,FAYETTE,,,,40509,US,38.0054416,-84.4403944,,True
BROOKDALE STONESTREET,,,,,,,,,,,,,,,,,,(502) 935-5884,,,,,,,,,,,,,,,,,Personal Care Home,,,,9251 STONESTREET Rd,,,LOUISVILLE,JEFFERSON,,,,40272,US,38.12044879999999,-85.84595519999999,,True
CANEY CREEK REHABILITATION COMPLEX,,,,,,,,,,,,,,,,,,(606) 368-2802,,,,,,,,,,,,,,,,,Personal Care Home,,,,6870 HIGHWAY 899,,,PIPPA PASSES,KNOTT,,,,41844,US,37.3499443,-82.8652032,,True
CARROLLTON MANOR,,,,,,,,,,,,,,,,,,(502) 732-5528,,,,,,,,,,,,,,,,,Personal Care Home,,,,205 FIFTH St,,,CARROLLTON,CARROLL,,,,41008,US,38.6806666,-85.1793387,,True
"CENTRAL KENTUCKY RECOVERY CENTER, UNIT 1",,,,,,,,,,,,,,,,,,(859) 246-8620,,,,,,,,,,,,,,,,,Personal Care Home,,,,1358 BULL LEA Rd,,,LEXINGTON,FAYETTE,,,,40511,US,38.0915446,-84.4924678,,True
"CENTRAL KY RECOVERY CENTER, UNIT 2",,,,,,,,,,,,,,,,,,(859) 246-8600,,,,,,,,,,,,,,,,,Personal Care Home,,,,1366 BULL LEA Rd,,,LEXINGTON,FAYETTE,,,,40511,US,38.0915475,-84.4924683,,True
"CHRISTIAN COUNTY MANOR, LLC",,,,,,,,,,,,,,,,,,(270) 886-9900,,,,,,,,,,,,,,,,,Personal Care Home,,,,2820 RICHARD St,,,HOPKINSVILLE,CHRISTIAN,,,,42240,US,36.8643496,-87.5130985,,True
CLARITY POINTE LOUISVILLE,,,,,,,,,,,,,,,,,,(865) 742-9234,,,,,,,,,,,,,,,,,Personal Care Home,,,,13700 ENGLISH VILLA Dr,,,LOUISVILLE,JEFFERSON,,,,40245,US,38.2402843,-85.49632729999999,,True
COLONIAL GARDENS,,,,,,,,,,,,,,,,,,(859) 525-6900,,,,,,,,,,,,,,,,,Personal Care Home,,,,6910 HOPEFUL Rd,,,FLORENCE,BOONE,,,,41042,US,38.99474999999999,-84.65963699999999,,True
COLONIAL HALL MANOR,,,,,,,,,,,,,,,,,,(502) 633-4762,,,,,,,,,,,,,,,,,Personal Care Home,,,,920 HENRY CLAY St,,,SHELBYVILLE,SHELBY,,,,40065,US,38.2102441,-85.22299389999999,,True
COLONIAL HOUSE OF SHEPHERDSVILLE,,,,,,,,,,,,,,,,,,(502) 543-7042,,,,,,,,,,,,,,,,,Personal Care Home,,,,1516 EAST HIGHWAY 44E,,,SHEPHERDSVILLE,BULLITT,,,,40165,US,37.9993075,-85.69467619999999,,False
"CORNERSTONE MANOR, LLC",,,,,,,,,,,,,,,,,,(270) 237-3485,,,,,,,,,,,,,,,,,Personal Care Home,,,,515 WATER STREET SEE NOTES FOR MAILING,,,SCOTTSVILLE,ALLEN,,,,42164,US,ERROR,ERROR,ERROR,False
COVINGTON LADIES HOME,,,,,,,,,,,,,,,,,,(859) 431-6913,,,,,,,,,,,,,,,,,Personal Care Home,,,,702 GARRARD St,,,COVINGTON,KENTON,,,,41011,US,39.083989,-84.50487249999999,Licking Riverside,True
CRESTVIEW PERSONAL CARE HOME,,,,,,,,,,,,,,,,,,(606) 678-8927,,,,,,,,,,,,,,,,,Personal Care Home,,,,235 SOUTH RICHARDSON Dr,,,SOMERSET,PULASKI,,,,42501,US,37.0894211,-84.6084432,,True
CUMBERLAND MANOR REST HOME,,,,,,,,,,,,,,,,,,(606) 376-5951,,,,,,,,,,,,,,,,,Personal Care Home,,,,1930 HIGHWAY 90,,,PARKERS LAKE,MCCREARY,,,,42634,US,36.834689,-84.443642,,True
"DAVCO REST HOME, LLC",,,,,,,,,,,,,,,,,,(270) 684-1705,,,,,,,,,,,,,,,,,Personal Care Home,,,,2526 WEST 10TH St,,,OWENSBORO,DAVIESS,,,,42301,US,37.76473500000001,-87.14080400000002,,True
DISHMAN PERSONAL CARE HOME,,,,,,,,,,,,,,,,,,(606) 348-6201,,,,,,,,,,,,,,,,,Personal Care Home,,,,220 WORSHAM Ln,,,MONTICELLO,WAYNE,,,,42633,US,36.8364439,-84.86486889999999,,True
FALMOUTH NURSING HOME,,,,,,,,,,,,,,,,,,(859) 654-4341,,,,,,,,,,,,,,,,,Personal Care Home,,,,406 BARKLEY St,,,FALMOUTH,PENDLETON,,,,41040,US,38.6786044,-84.3395681,,True
"FERN TERRACE OF BOWLING GREEN, LLC",,,,,,,,,,,,,,,,,,(270) 781-6784,,,,,,,,,,,,,,,,,Personal Care Home,,,,1030 SHIVE Ln,,,BOWLING GREEN,WARREN,,,,42101,US,36.9463126,-86.4193343,,True
"FERN TERRACE OF MAYFIELD, LLC",,,,,,,,,,,,,,,,,,(270) 247-3259,,,,,,,,,,,,,,,,,Personal Care Home,,,,1227 STATE ROUTE 45 N,,,MAYFIELD,GRAVES,,,,42066,US,36.11220220000001,-93.96887149999999,,True
"FERN TERRACE OF MURRAY, LLC",,,,,,,,,,,,,,,,,,(270) 753-7109,,,,,,,,,,,,,,,,,Personal Care Home,,,,1505 STADIUM VIEW Dr,,,MURRAY,CALLOWAY,,,,42071,US,36.6339741,-88.3150031,,True
"FERN TERRACE OF OWENSBORO, LLC",,,,,,,,,,,,,,,,,,(270) 684-7171,,,,,,,,,,,,,,,,,Personal Care Home,,,,45 WOODFORD Ave,,,OWENSBORO,DAVIESS,,,,42301,US,37.776144,-87.126356,,True
