name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Bickford Home,,,,,,(315) 986-2968,,,,,,,,,,,,(315) 986-5552,,,,,,,,,,,,,,,,AH,,,,,56 Main St,,,Macedon,Wayne,,,,14502,USA,43.0687355,-77.3022972,,True
Leroy Manor,,,,,,(585) 768-6293,,,,,,,,,,,,(585) 768-6291,,,,,,,,,,,,,,,,AH/ALP,,,,,8678 Lake Street Rd,,,Leroy,Genesee,,,,14482,USA,42.9928323,-77.98917240000002,,True
Morningside at Home,,,,,,(718) 828-2697,,,,,,,,,,,,(718) 409-8266,,,,,,,,,,,,,,,,AH/ALP,,,,,1000 Pelham Pkwy S,,,Bronx,Bronx,,,,10461,USA,40.8566658,-73.859566,East Bronx,True
The Northfield,,,,,,(585) 232-3062,,,,,,,,,,,,(585) 377-1810,,,,,,,,,,,,,,,,EHP,,,,,4560 Nine Mile Point Rd,,,Fairport,Monroe,,,,14450,USA,43.112352,-77.440309,,True
Woodhaven Home for Adults,,,,,,(631) 473-0048,,,,,,,,,,,,(631) 473-3304,,,,,,,,,,,,,,,,AH/ALP,,,,,1350 Route 112,,,Port Jefferson Sta.,Suffolk,,,,11776,USA,40.9157364,-73.0360328,,True
Glenwell,,,,,,(716) 608-0151,,,,,,,,,,,,(716) 608-7000,,,,,,,,,,,,,,,,AH/ALP,,,,,2248 Old Union Rd,,,Cheektowaga,Erie,,,,14227,USA,42.8718601,-78.75628019999999,,True
Peregrine's Landing at Orchard Park,,,,,,(716) 675-1007,,,,,,,,,,,,(716) 675-1022,,,,,,,,,,,,,,,,AH,,,,,101 Sterling Dr,,,Orchard Park,Erie,,,,14127,USA,42.7900318,-78.76554829999999,,True
Brookdale Clinton,,,,,,(315) 859-1949,,,,,,,,,,,,(315) 859-1947,,,,,,,,,,,,,,,,AH,,,,,115 Brookside Dr,,,Clinton,Oneida,,,,13323,USA,32.350716,-90.29613289999999,,True
Sunrise of East Setauket,,,,,,(631) 941-4455,,,,,,,,,,,,(631) 941-4455,,,,,,,,,,,,,,,,AH,,,,,1 Sunrise Dr,,,East Setauket,Suffolk,,,,11733,USA,40.935064,-73.1090045,,True
Home of the Good Shepherd Wilton,,,,,,(518) 580-0709,,,,,,,,,,,,(518) 580-0702,,,,,,,,,,,,,,,,AH,,,,,60 Waller Rd,,,Wilton,Saratoga,,,,12831,USA,43.1304706,-73.7676195,,True
River View Gardens NY Foundation EHP #8,,,,,,(718) 361-8534,,,,,,,,,,,,(718) 361-8442,,,,,,,,,,,,,,,,EHP,,,,,4-12 49th Ave,,,Long Island City,Queens,,,,11101,USA,40.7440888,-73.9580233,Long Island City,True
