name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
,,,,,,FAX: (262) 646-3361,,,,,,,,,,,CLEARVIEW HOME CORP,(262) 646-3361,,,,,,,,,,,,,,,,,Nursing Home,,,,935 MAIN STREET,PO BOX 180198,,DELAFIELD,WAUKESHA,Southeastern,,,,,43.06103469999999,-88.3976375,,True
,,,,,,FAX: (920) 386-3405,,,,,,,,,,,CLEARVIEW BEHAVIORAL HEALTH II,(920) 386-3400,,,,,,,,,,,,,,,,,Nursing Home,,,,198 COUNTY DF,,,JUNEAU,DODGE,Southern,,,,,43.414556,-88.6987043,,True
,,,,,,FAX: (608) 786-1419,,,,,,,,,,,RAVENWOOD BEHAVIORAL HEALTH,(608) 612-0651,,,,,,,,,,,,,,,,,Nursing Home,,,,962 GARLAND STREET EAST,,,WEST SALEM,LA CROSSE,Southern,,,,,43.8990653,-91.0682743,,True
,,,,,,FAX: (920) 386-3405,,,,,,,,,,,CLEARVIEW BEHAVIORAL HEALTH I,(920) 386-3400,,,,,,,,,,,,,,,,,Nursing Home,,,,198 COUNTY DF,,,JUNEAU,DODGE,Southern,,,,,43.414556,-88.6987043,,True
,,,,,,FAX: (715) 538-2426,,,,,,,,,,,TREMPEALEAU COUNTY-IMD,(715) 538-4312,,,,,,,,,,,,,,,,,Nursing Home,,,,W20410 STATE RD,121,,WHITEHALL,TREMPEALEAU,Western,,,,,44.370787,-91.354526,,False
,,,,,,FAX: (608) 524-3828,,,,,,,,,,,ZIMMERMAN NURSING HOME,(608) 524-3664,,,,,,,,,,,,,,,,,Nursing Home,,,,617 FOURTH ST,,,REEDSBURG,SAUK,Southern,,,,,43.53583369999999,-90.0020387,,True
,,,,,,FAX: (262) 387-8894,,,,,,,,,,,HIGHLANDS AT NEWCASTLE PLACE,(262) 387-8850,,,,,,,,,,,,,,,,,Nursing Home,,,,12600 N PORT WASHINGTON RD,# 300,,MEQUON,OZAUKEE,Southeastern,,,,,43.2482342,-87.9222085,,True
,,,,,,FAX: (262) 781-0559,,,,,,,,,,,"CONGREGATIONAL HOME, INC",(262) 781-0550,,,,,,,,,,,,,,,,,Nursing Home,,,,13900 W BURLEIGH RD,,,BROOKFIELD,WAUKESHA,Southeastern,,,,,43.0759959,-88.0849365,Capitol Drive Garden Acres,True
,,,,,,FAX: (608) 755-3856,,,,,,,,,,,MERCY MANOR TRANSITION CENTER,(608) 756-6050,,,,,,,,,,,,,,,,,Nursing Home,,,,1000 MINERAL POINT AVE,PO BOX 5003,,JANESVILLE,ROCK,Southern,,,,,42.6876683,-89.03275579999999,,True
,,,,,,FAX: (715) 598-7998,,,,,,,,,,,GRACE LUTHERAN COMMUNITIES-PRAIRIE POINTE REHAB SUITES,(715) 598-7800,,,,,,,,,,,,,,,,,Nursing Home,,,,286 N WILLSON DR,,,ALTOONA,EAU CLAIRE,Northern,,,,,44.8095495,-91.4529483,,True
,,,,,,FAX: (920) 560-1061,,,,,,,,,,,"THE RECOVERY INN, AN EDURO HEALTHCARE COMMUNITY",(920) 560-1060,,,,,,,,,,,,,,,,,Nursing Home,,,,2015 E ENTERPRISE AVENUE,,,APPLETON,OUTAGAMIE,Northeastern,,,,,44.2997849,-88.36995639999999,,True
,,,,,,FAX: (262) 275-6106,,,,,,,,,,,GOLDEN YEARS HEALTH CENTER,(262) 275-6103,,,,,,,,,,,,,,,,,Nursing Home,,,,270 RIDGE ROAD,,,WALWORTH,WALWORTH,Southeastern,,,,,42.5282239,-88.58399849999999,,True
,,,,,,FAX: (608) 662-8800,,,,,,,,,,,ATTIC ANGEL PLACE HEALTH CENTER,(608) 662-8842,,,,,,,,,,,,,,,,,Nursing Home,,,,8301 OLD SAUK RD,,,MIDDLETON,DANE,Southern,,,,,43.07357280000001,-89.5289102,,True
