name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
1717 SENIOR LIVING LLC,,,,,,,,,,,,,,,,,,(317)826-2916,,,,,,,,,,,,,,,,,Residential Care,,,,1703 W 86TH STREET,,,INDIANAPOLIS,,,IN,,46260,US,39.90960399999999,-86.190598,Washington Township,True
ADDISON PLACE,,,,,,(765)521-3260,,,,,,,,,,,,(765)521-3220,,,,,,,,,,,,,,,,,Residential Care,,,,2244 Q AVE,,,NEW CASTLE,,,IN,,47362,US,39.910251,-85.35527809999999,,True
ALLISONVILLE MEADOWS ASSISTED LIVING,,,,,,(317)436-6401,,,,,,,,,,,,(317)436-6400,,,,,,,,,,,,,,,,,Residential Care,,,,10410 ALLISONVILLE ROAD,,,FISHERS,,,IN,,46038,US,39.93885099999999,-86.0535183,,True
"APERION ESTATES PERU, LLC",,,,,,(765)689-7333,,,,,,,,,,,,(765)689-7305,,,,,,,,,,,,,,,,,Residential Care,,,,1200 KITTYHAWK DRIVE,,,PERU,,,IN,,46970,US,40.6668708,-86.137765,,True
ASSISTED LIVING AT HARTSFIELD VILLAGE,,,,,,(219)934-2045,,,,,,,,,,,,(219)934-0580,,,,,,,,,,,,,,,,,Residential Care,,,,10002 COLUMBIA AVE,,,MUNSTER,,,IN,,46321,US,41.53239589999999,-87.5118791,,True
ASSISTED LIVING AT ROMWEBER FLATS,,,,,,(812)932-3529,,,,,,,,,,,,(812)932-3528,,,,,,,,,,,,,,,,,Residential Care,,,,123 SOUTH DEPOT STREET,,,BATESVILLE,,,IN,,47006,US,39.2965705,-85.22080179999999,,True
ASTER PLACE,,,,,,(765)446-9500,,,,,,,,,,,,(765)446-3540,,,,,,,,,,,,,,,,,Residential Care,,,,741 PARK EAST BLVD,,,LAFAYETTE,,,IN,,47905,US,40.4098827,-86.82780029999999,,True
AUTUMN GLEN,,,,,,(765)653-1689,,,,,,,,,,,,(765)653-6999,,,,,,,,,,,,,,,,,Residential Care,,,,98 NORTH 10TH STREET,,,GREENCASTLE,,,IN,,46135,US,39.65002629999999,-86.8317344,,True
AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,,,,,,,,,,,,,,,,,,(812)335-4655,,,,,,,,,,,,,,,,,Residential Care,,,,3203 MOORES PIKE ROAD,,,BLOOMINGTON,,,IN,,47401,US,39.1509953,-86.49380889999999,,True
AZALEA HILLS,,,,,,(812)923-4889,,,,,,,,,,,,(812)923-4888,,,,,,,,,,,,,,,,,Residential Care,,,,3700 LAFAYETTE PKWY,,,FLOYDS KNOBS,,,IN,,47119,US,38.327669,-85.87301,,True
