name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Chelsea Place 1 & 2,,,,,,,,,,,,,,,,,,2044520110x116,,,http://www.qualitymanagement.net,,,,,,,,,,,,,,Senior Housing,,,,130 Beliveau St,,,Winnipeg,,,MB,,R2M 1S7,Canada,49.836647,-97.1068937,Worthington,TRUE
Arden Hollows,,,,,,,,,,,,,,,,,,204 509-7806,,,http://www.timbercreekfunds.com,,,,,,,,,,,,,,Senior Housing,,,,15 Arden Ave,,,Winnipeg,,,MB,,R2M 2J8,Canada,49.8350148,-97.1155217,Pulberry,TRUE
Arden Estates,,,,,,,,,,,,,,,,,,204 960-1344,,,,,,,,,,,,,,,,,Senior Housing,,,,24 Arden Ave,,,Winnipeg,,,MB,,R2M 2J9,Canada,49.8340451,-97.1158031,Pulberry,TRUE
Appleton Estates II,,,,135niakwa@edisonproperties.ca,,,,,,,,,,,,,,204 940-3483,,,http://www.EdisonProperties.ca,,,,,,,,,,,,,,Senior Housing,,,,135 Niakwa Rd,,,Winnipeg,,,MB,,R2M 5K2,Canada,49.8564265,-97.0973712,Alpine Place,TRUE
St. Vital Knights Villa Phase 1,,,,,,,,,,,,,,,,,,204 982-2000,,,,,,,,,,,,,,,,,Senior Housing,,,,537 St Anne's Rd,,,Winnipeg,,,MB,,R2M 3E8,Canada,49.8400032,-97.0919835,Lavalee,TRUE
Willow Centre,,,,,,,,,,,,,,,,,,204 632-5940,,,,,,,,,,,,,,,,,Senior Housing,,,,61 Tyndall Ave,,,Winnipeg,,,MB,,R2X 2T4,Canada,49.9353357,-97.1884169,Burrows - Keewatin,TRUE
St Mary The Protectress Ukranian Orthodox Millenium Villa Inc.,,,,,,,,,,,,,,,,,,204 586-5816,,,,,,,,,,,,,,,,,Senior Housing,,,,800 Burrows Ave,,,Winnipeg,,,MB,,R2X 3A9,Canada,49.9223039,-97.1560876,Burrows Central,TRUE
Chalet Louis Riel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,67 Richfield Ave,,,Winnipeg,,,MB,,R2M 2R9,Canada,49.8373822,-97.0900199,Meadowood,TRUE
Templeton Properties,,,,,,,,,,,,,,,,,,204 334-0420,,,,,,,,,,,,,,,,,Senior Housing,,,,250 300 Templeton Ave,,,Winnipeg,,,MB,,R2V 1S2,Canada,49.94683,-97.1133597,Margaret Park,TRUE
St Benedict's Place,,,,,,,,,,,,,,,,,,,,,http://www.stbens.ca,,,,,,,,,,,,,,Senior Housing,,,,225 Masters Ave,,,Winnipeg,,,MB,,R4A 2A1,Canada,49.9945253,-97.0481238,,TRUE
Shelard Manor,,,,shelard@globegeneral.ca,,,,,,,,,,,,,,204 633-0716,,,,,,,,,,,,,,,,,Senior Housing,,,,200 Adsum Dr,,,Winnipeg,,,MB,,R2P 0W7,Canada,49.9545755,-97.1637806,The Maples,TRUE
Appleton Estates 1,,,,133niawka@edisonproperties.ca,,,,,,,,,,,,,,204 940-3482,,,http://www.EdisonProperties.ca,,,,,,,,,,,,,,Senior Housing,,,,133 Niakwa Rd,,,Winnipeg,,,MB,,R2M 5J5,Canada,49.8560689,-97.0984528,Alpine Place,TRUE
Rosh Pina Housing Co,,,,,,,,,,,,,,,,,,204 338-4671,,,,,,,,,,,,,,,,,Senior Housing,,,,133 Matheson Ave,,,Winnipeg,,,MB,,R2W 5M7,Canada,49.9284934,-97.1180849,Seven Oaks,FALSE
Riverbend Terrace,,,,,,,,,,,,,,,,,,204 942-2122,,,http://www.broadstreet.ca,,,,,,,,,,,,,,Senior Housing,,,,2471 Main St,,,Winnipeg,,,MB,,R2V 2X6,Canada,49.9561955,-97.0954353,Rivergrove,TRUE
River Ridge Retirement Residence (Assisted Living),,,,,,,,,,,,,,,,,,204 589-2273,,,,,,,,,,,,,,,,,Senior Housing,,,,50 Ridgecrest Ave,,,Winnipeg,,,MB,,R2P 2X5,Canada,49.9526947,-97.0931683,Rivergrove,TRUE
The Villagio,,,,,,,,,,,,,,,,,,204 956-5284,,,,,,,,,,,,,,,,,Senior Housing,,,,1175 Leila Ave,,,Winnipeg,,,MB,,R2P 2Y1,Canada,49.9570138,-97.1558574,Leila North,TRUE
Wellington Arms,,,,,,,,,,,,,,,,,,,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,277,,,Winnipeg,,,MB,,R3M 3V7,Canada,49.9143495,-97.134598,William Whyte,FALSE
Villa Cabrini,,,,,,,,,,,,,,,,,,204 982-2000,,,http://www.lifelease.ca,,,,,,,,,,,,,,Senior Housing,,,,433 River Ave,,,Winnipeg,,,MB,,R3L 2V1,Canada,49.8799,-97.1452643,River - Osborne,TRUE
Times Square Patio Apartments,,,,,,,,,,,,,,,,,,204 488-8463,,,,,,,,,,,,,,,,,Senior Housing,,,,1061 1137 Taylor Ave,,,Winnipeg,,,MB,,R3M 2K4,Canada,49.8542255,-97.1652399,Grant Park,TRUE
The Boulton (Assisted Living),,,,lsawatzky@theboulton.ca,,,,,,,,,,,,,,204 475-4500,,,,,,,,,,,,,,,,,Senior Housing,,,,100,,,Winnipeg,,,MB,,R3N 2C3,Canada,49.8086328,-97.0672027,,FALSE
St John's Haven Inc.,,,,sjhaven@mymts.net,,,,,,,,,,,,,,204 284-2422,,,,,,,,,,,,,,,,,Senior Housing,,,,1015 Grant Ave,,,Winnipeg,,,MB,,R3M 1Y3,Canada,49.861327,-97.160434,Rockwood,TRUE
The Canoe Club (Assisted Living),,,,,,,,,,,,,,,,,,204 231-5777,,,,,,,,,,,,,,,,,Senior Housing,,,,40 Dunkirk Dr,,,Winnipeg,,,MB,,R2M 5R4,Canada,49.8525181,-97.126176,Kingston Crescent,TRUE
South Osborne Housing Co,,,,,,,,,,,,,,,,,,204 942-0991,,,http://www.sam.mb.ca,,,,,,,,,,,,,,Senior Housing,,,,360 Osborne St,,,Winnipeg,,,MB,,R3L 2V6,Canada,49.8718643,-97.1396005,Riverview,FALSE
Shalom Gardens Housing Co,,,,,,,,,,,,,,,,,,204 452-1924,,,,,,,,,,,,,,,,,Senior Housing,,,,Ltd 360 Wilton St,,,Winnipeg,,,MB,,R3M 3X6,Canada,49.8604212,-97.1635742,Rockwood,FALSE
Riverview Towers,,,,,,,,,,,,,,,,,,204  452-0110,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,3 Donald Ave,,,Winnipeg,,,MB,,R3L 2P6,Canada,49.8798016,-97.1372109,River - Osborne,TRUE
Riverborne Seniors Place,,,,,,,,,,,,,,,,,,204 949-2880,,,http://www.whrc.ca,,,,,,,,,,,,,,Senior Housing,,,,324 Stradbrook Ave,,,Winnipeg,,,MB,,R3L 0J6,Canada,49.8791473,-97.1401355,River - Osborne,TRUE
River Crescent Gardens,,,,,,,,,,,,,,,,,,204 452-4047,,,http://www.globegeneral.ca,,,,,,,,,,,,,,Senior Housing,,,,595 River Ave,,,Winnipeg,,,MB,,R3L 0E6,Canada,49.8781293,-97.1524224,Roslyn,TRUE
