name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
10 LEGION DRIVE,,,,,,+1 (207) 582-2457,,,,,,10 LEGION DRIVE,,,,,,+1 (207) 582-8021,,,,,,,,,,,,,,,,,,,,,10 LEGION DR,,,AUGUSTA,KENNEBEC,,ME,,04330-6850,US,44.3371983,-69.62816,,False
12 A RIVERVIEW STREET,,,,,,+1 (855) 244-8243,,,,,,12 A RIVERVIEW STREET,,,,,,+1 (207) 324-8755,,,,,,,,,,,,,,,,,,,,,12A RIVERVIEW ST,,,SANFORD,YORK,,ME,,04073-2812,US,43.44765409999999,-70.7766096,Sanford,False
14 GLENRIDGE DRIVE,,,,,,+1 (207) 626-5754,,,,,,14 GLENRIDGE DRIVE,,,,,,+1 (207) 626-5793,,,,,,,,,,,,,,,,,,,,,14 GLENRIDGE DR,,,AUGUSTA,KENNEBEC,,ME,,04330-6606,US,44.3036219,-69.76555669999999,Mayfair,False
15 BILLABONG WAY,,,,,,+1 (207) 772-3743,,,,,,15 BILLABONG WAY,,,,,,+1 (207) 893-2460,,,,,,,,,,,,,,,,,,,,,15 BILLABONG WAY,,,WINDHAM,CUMBERLAND,,ME,,04062-3358,US,43.7744723,-70.3862195,,False
16 PLEASANT HILL DRIVE,,,,,,+1 (207) 582-2457,,,,,,16 PLEASANT HILL DRIVE,,,,,,+1 (207) 446-7012,,,,,,,,,,,,,,,,,,,,,16 PLEASANT HILL DR,,,WATERVILLE,KENNEBEC,,ME,,04901-4105,US,44.57721739999999,-69.63468830000001,,False
1661 MAIN STREET,,,,,,+1 (207) 786-2577,,,,,,1661 MAIN STREET,,,,,,+1 (207) 786-2572,,,,,,,,,,,,,,,,,,,,,1661 MAIN ST,,,LEWISTON,ANDROSCOGGIN,,ME,,04240-2616,US,44.1567985,-70.18490630000001,,False
1665 MAIN STREET,,,,,,+1 (207) 786-2577,,,,,,1665 MAIN STREET,,,,,,+1 (207) 786-3344,,,,,,,,,,,,,,,,,,,,,1665 MAIN ST,,,LEWISTON,ANDROSCOGGIN,,ME,,04240-2616,US,44.15724219999999,-70.1856573,,False
18 DEERING ROAD,,,,,,+1 (207) 839-2384,,,,,,18 DEERING ROAD,,,,,,+1 (207) 839-5969,,,,,,,,,,,,,,,,,,,,,18 DEERING RD,,,GORHAM,CUMBERLAND,,ME,,04038-1921,US,43.6362034,-70.44265620000002,,False
20 COTTAGE STREET,,,,,,+1 (207) 992-4144,,,,,,20 COTTAGE STREET,,,,,,+1 (207) 951-6015,,,,,,,,,,,,,,,,,,,,,20 COTTAGE ST,,,BANGOR,PENOBSCOT,,ME,,04401-3728,US,44.8086574,-68.7840432,,False
22 GREEN STREET,,,,,,+1 (207) 626-3469,,,,,,22 GREEN STREET,,,,,,+1 (207) 624-0500,,,,,,,,,,,,,,,,,,,,,22 GREEN ST,STE 1,,AUGUSTA,KENNEBEC,,ME,,04330-7473,US,44.3123715,-69.7778592,,False
222 NORTHERN AVE.,,,,,,+1 (207) 582-2457,,,,,,222 NORTHERN AVE.,,,,,,+1 (207) 588-6617,,,,,,,,,,,,,,,,,,,,,222 NORTHERN AVE,,,FARMINGDALE,KENNEBEC,,ME,,04344-4635,US,44.24133309999999,-69.79104,,False
