name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Sunrise Assisted Living Of Marlboro,,,,,,,,,,,,,,,,,,(732) 409-6665,,,,,,,,,,,,,,,,,Assisted Living Residence,,,,3a South Main Street,,,Marlboro,,,NJ,,07746,US,40.3131558,-74.2476657,,True
Seashore Gardens Living Center,,,,,,,,,,,,,,,,,,(609) 404-4848,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,22 West Jimmie Leeds Road,,,Galloway Township,,,NJ,,08205,US,39.473857,-74.533734,Pomona,True
The Actors' Fund Homes,,,,,,,,,,,,,,,,,,(201) 871-8882,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,175 West Hudson Ave,,,Englewood,,,NJ,,07631,US,40.91146639999999,-73.9755887,,True
United Methodist Communities At Bristol Glen,,,,,,,,,,,,,,,,,,(973) 300-5788,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,200 Bristol Glen Drive,,,Newton,,,NJ,,07860,US,41.0440845,-74.7648823,,True
The Orchards At Bartley,,,,,,,,,,,,,,,,,,(732) 730-1700,,,,,,,,,,,,,,,,,Assisted Living Residence,,,,100 North County Line Road,,,Jackson,,,NJ,,08527,US,40.1340326,-74.2814882,,True
Meadowview Nursing And Rehabilitation Center,,,,,,,,,,,,,,,,,,(609) 645-5955,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,235 Dolphin Ave,,,Northfield,,,NJ,,08225,US,39.3799402,-74.54231810000002,,True
The Voorhees Care & Rehabilitation Center,,,,,,,,,,,,,,,,,,(856) 346-1200,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,1302 Laurel Oak Road,,,Voorhees,,,NJ,,08043,US,39.8494948,-74.9701187,,True
Aristacare At Cherry Hill,,,,,,,,,,,,,,,,,,(856) 663-9009,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,1399 Chapel Ave West,,,Cherry Hill,,,NJ,,08002,US,39.937888,-75.03723719999999,Golden Triangle,True
Autumn Lake Healthcare At Oceanview,,,,,,,,,,,,,,,,,,(609) 624-3881,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,2721 Route 9,,,Ocean View,,,NJ,,08230,US,39.1898952,-74.72140120000002,,False
Alaris Health At Jersey City,,,,,,,,,,,,,,,,,,(201) 451-9000,,,,,,,,,,,,,,,,,Long Term Care Facility,,,,198 Stevens Ave,,,Jersey City,,,NJ,,07305,US,40.7045666,-74.09192,Greenville,True
