name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
A Holly Patterson Extended Care Facility,,,,,,,,,,,,,,,,,,(516) 572-1400,,,http://www.nuhealth.net/about/centers-of-care/a_holly_patterson.asp,https://profiles.health.ny.gov/nursing_home/view/150456,,,,,,,,,,,,,,,,,875 Jerusalem Avenue,,,Uniondale,,,NY,,11553,US,40.6982608,-73.5854939,,True
Aaron Manor Rehabilitation and Nursing Center,,,,,,,,,,,,,,,,,,(585) 377-4000,,,http://www.aaronmanor.com/,https://profiles.health.ny.gov/nursing_home/view/150409,,,,,,,,,,,,,,,,,100 St Camillus Way,,,Fairport,,,NY,,14450,US,43.1272189,-77.44570499999999,,True
"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",,,,,,,,,,,,,,,,,,(716) 373-2238,,,http://www.absolutcare.com/locations/?id=54,https://profiles.health.ny.gov/nursing_home/view/150318,,,,,,,,,,,,,,,,,2178 North Fifth Street,,,Allegany,,,NY,,14706,US,42.09497959999999,-78.49037919999999,,True
"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",,,,,,,,,,,,,,,,,,(716) 652-1560,,,http://www.absolutcare.com/locations/?id=55,https://profiles.health.ny.gov/nursing_home/view/150371,,,,,,,,,,,,,,,,,292 Main Street,,,East Aurora,,,NY,,14052,US,42.7690702,-78.6239257,,True
"Absolut Center for Nursing and Rehabilitation at Dunkirk, LLC",,,,,,,,,,,,,,,,,,(716) 366-6710,,,http://www.absolutcare.com/locations/?id=56,https://profiles.health.ny.gov/nursing_home/view/150828,,,,,,,,,,,,,,,,,447-449 Lake Shore Drive West,,,Dunkirk,,,NY,,14048,US,42.479527,-79.358705,,True
"Absolut Center for Nursing and Rehabilitation at Eden, LLC",,,,,,,,,,,,,,,,,,(716) 992-3987,,,http://www.absolutcare.com/locations/?id=57,https://profiles.health.ny.gov/nursing_home/view/150829,,,,,,,,,,,,,,,,,2806 George Street,,,Eden,,,NY,,14057,US,42.65915219999999,-78.895231,,True
"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",,,,,,,,,,,,,,,,,,(607) 754-2705,,,http://www.absolutcare.com/locations/?id=60,https://profiles.health.ny.gov/nursing_home/view/150312,,,,,,,,,,,,,,,,,301 Nantucket Drive,,,Endicott,,,NY,,13760,US,42.11395330000001,-76.05770509999999,,True
"Absolut Center for Nursing and Rehabilitation at Gasport, LLC",,,,,,,,,,,,,,,,,,(716) 772-2631,,,http://www.absolutcare.com/locations/?id=65,https://profiles.health.ny.gov/nursing_home/view/150475,,,,,,,,,,,,,,,,,4540 Lincoln Drive,,,Gasport,,,NY,,14067,US,43.1933821,-78.5740519,,True
"Absolut Center for Nursing and Rehabilitation at Houghton, LLC",,,,,,,,,,,,,,,,,,(585) 567-2207,,,http://www.absolutcare.com/locations/?id=58,https://profiles.health.ny.gov/nursing_home/view/150496,,,,,,,,,,,,,,,,,9876 Luckey Dr,,,Houghton,,,NY,,14744,US,42.426117,-78.16627299999999,,True
"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC",,,,,,,,,,,,,,,,,,(716) 662-4433,,,http://www.absolutcare.com/locations/?id=61,https://profiles.health.ny.gov/nursing_home/view/150374,,,,,,,,,,,,,,,,,6060 Armor Road,,,Orchard Park,,,NY,,14127,US,42.7530483,-78.76394959999999,,True
