name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
St. Joseph's Integrated Care Centre,,,,,,306-274-2301,,Box 280,,,,,,,,,,306-274-2300,,,http://www.rqhealth.ca/facilities/st-josephs-integrated-care-centre,,,,,,,,,,,,,,Nursing Home,,,,508 Westmoor Street,,,Lestock,,,SK,,S0A 2G0,Canada,51.3142086,-103.9829374,,True
Southeast Integrated Care Centre ‰ÛÒ Moosomin,,,,,,306-435-3211,,,,,,,,,,,,306-435-3303,,,http://www.rqhealth.ca/facilities/southeast-integrated-care-centre-moosomin,,,,,,,,,,,,,,Nursing Home,,,,601 Wright Rd,,,Moosomin,,,SK,,S0G 3N0,Canada,50.137366,-101.660691,,True
Balcarres Integrated Care Centre,,,,,,306-334-2865,,Box 340,,,,,,,,,,306-334-6260,,,http://www.rqhealth.ca/facilities/balcarres-integrated-care-centre,,,,,,,,,,,,,,Nursing Home,,,,100 South Elgin Street,,,Balcarres,,,SK,,S0G 0C0,Canada,50.8029135,-103.5502603,,True
Wascana Rehabilitation Centre Extended Care/Veterans Program,,,,,,,,,,,,,,,,,,306-766-5100,,,http://www.rqhealth.ca/facilities/wascana-rehabilitation-centre-extended-care-veterans-program,,,,,,,,,,,,,,Nursing Home,,,,2180‰ÛÓ23rd Avenue,,,,,,,,S4S 0A5,Canada,ERROR,ERROR,ERROR,True
William Booth Special Care Home,,,,,,306-543-1292,,,,,,,,,,,,306-543-0655,,,http://www.rqhealth.ca/facilities/william-booth-special-care-home,,,,,,,,,,,,,,Nursing Home,,,,50 Angus Road,,,Regina,,,SK,,S4R 8P6,Canada,50.4795731,-104.621438,Coronation Park,True
Silver Heights Special Care Home,,,,,,306-746-5747,,Box 549,,,,,,,,,,306-746-4800,,,http://www.rqhealth.ca/facilities/silver-heights-special-care-home,,,,,,,,,,,,,,Nursing Home,,,,402 McLean Street,,,Raymore,,,SK,,S0A 3J0,Canada,51.4096248,-104.5178936,,True
Whitewood Community Health Centre,,,,,,306-735-2512,,Box 699,,,,,,,,,,306-735-2010,,,http://www.rqhealth.ca/facilities/whitewood-community-health-centre,,,,,,,,,,,,,,Nursing Home,,,,921 Gambetta St,,,Whitewood,,,SK,,S0G 5C0,Canada,50.3265734,-102.2605724,,True
Wolseley Memorial Integrated Care Centre,,,,,,306-698-4434,,,,,,,,,,,,306-698-4440,,,http://www.rqhealth.ca/facilities/wolseley-memorial-integrated-care-centre,,,,,,,,,,,,,,Nursing Home,,,,801 Ouimet Street,,,Wolseley,,,SK,,S0G 5H0,Canada,50.4262199,-103.2679165,,True
Santa Maria Senior Citizens Home,,,,,,639-625-7115,,,,,,,,,,,,639-625-7100,,,http://www.rqhealth.ca/facilities/santa-maria-senior-citizens-home,,,,,,,,,,,,,,Nursing Home,,,,4215 Regina Avenue,,,Regina,,,SK,,S4T 6L8,Canada,50.43441130000001,-104.6416859,Lakeview,True
Regina Pioneer Village,,,,,,,,,,,,,,,,,,306-757-5646,,,http://www.rqhealth.ca/facilities/regina-pioneer-village,,,,,,,,,,,,,,Nursing Home,,,,430 Pioneer Drive,,,Regina,,,SK,,S4T 6L8,Canada,50.4539514,-104.6458181,McNab,True
Regina Lutheran Home,,,,,,306-543-4094,,,,,,,,,,,,306-543-4055,,,http://www.rqhealth.ca/facilities/regina-lutheran-home,,,,,,,,,,,,,,Nursing Home,,,,1925 5th Avenue North,,,Regina,,,SK,,S4R 7W1,Canada,50.4769205,-104.6079303,Northeast Regina,True
Long Lake Valley Integrated Facility,,,,,,306-963-2336,,,,,,,,,,,,306-963-2320,,,http://www.rqhealth.ca/facilities/long-lake-valley-integrated-facility,,,,,,,,,,,,,,Nursing Home,,,,P.O. Box 180,,,Imperial,,,SK,,S0G 2J0,Canada,51.3469325,-105.4359238,,False
Qu‰ÛªAppelle House,,,,,,,,,,,,,,,,,,306-522-0335,,,http://www.rqhealth.ca/facilities/qu-appelle-house,,,,,,,,,,,,,,Nursing Home,,,,1425 College Avenue,,,Regina,,,SK,,S4P 1B4,Canada,50.4402181,-104.6012338,Gladmer Park,True
