name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Canterbury Place,,,,mktg1.canterbury@verveseniorliving.com,,,,,,,,,,,,,,4162271643,,,,http://www.verveseniorliving.com/canterbury-place,,,,,,,,,,,,,Community Care,,,,1 Canterbury Pl,,,North York,,,ON,,M2N 0G7,Canada,43.7721224,-79.4144005,,True
Courtyard Gardens,,,,info.cyg@verveseniorliving.com,,,,,,,,,,,,,,16042731225,,,,http://www.verveseniorliving.com/courtyard-gardens,,,,,,,,,,,,,Community Care,,,,7051 Moffatt Rd,,,Richmond,,,BC,,V6Y 3W2,Canada,49.1619421,-123.1438193,,True
Credit River Retirement Residence,,,,mktg2.mgr.creditriver@verveseniorliving.com,,,,,,,,,,,,,,9058129191,,,,http://www.verveseniorliving.com/credit-river,,,,,,,,,,,,,Community Care,,,,175 Rutledge Rd,,,Streetsville,,,ON,,L5M 0X7,Canada,43.5810576,-79.7171895,Streetsville,True
Dr. James Hemstock,,,,mrkt.dhr@verveseniorliving.com,,,,,,,,,,,,,,7808082161,,,,http://www.verveseniorliving.com/dr-james-hemstock,,,,,,,,,,,,,Community Care,,,,4202 54 Ave,,,Lloydminster,,,AB,,T9V 2Z3,Canada,53.2775945,-110.0155052,,True
Evergreen Retirement Community,,,,gm.evergreen@verveseniorliving.com,,,,,,,,,,,,,,9055028882,,,,http://www.verveseniorliving.com/evergreen,,,,,,,,,,,,,Community Care,,,,820 Scollard Ct,,,Mississauga,,,ON,,L5V 0A1,Canada,43.591987,-79.672692,East Credit,True
Forestview Retirement Residence,,,,info@adventhealth.org,,,,,,,,,,,,,,4163984341,,,,http://www.verveseniorliving.com/forestview,,,,,,,,,,,,,Community Care,,,,537 Finch Ave W,,,Toronto,,,ON,,M2R 0A8,Canada,43.7736241,-79.4449098,,True
Four Elms,,,,mk1.fe@verveseniorliving.com,,,,,,,,,,,,,,9057380905,,,,http://www.verveseniorliving.com/four-elms,,,,,,,,,,,,,Community Care,,,,1500 Steeles Ave W,,,Thornhill,,,ON,,L4J 4H6,Canada,43.7876377,-79.4696769,Thornhill,True
Gilmore Gardens,,,,info.gilmore@verveseniorliving.com,,,,,,,,,,,,,,6042717222,,,,http://www.verveseniorliving.com/gilmore-gardens,,,,,,,,,,,,,Community Care,,,,4088 Blundell Rd,,,Richmond,,,BC,,V7C 5V1,Canada,49.155187,-123.180035,,True
Granville Gardens,,,,gm.granville@verveseniorliving.com,,,,,,,,,,,,,,(604) 5633540,,,,http://www.verveseniorliving.com/granville-gardens,,,,,,,,,,,,,Community Care,,,,1550 West 49th Ave,Suite 100,,Vancouver,,,BC,,V6M 0B3,Canada,49.2267435,-123.1402455,West Side,True
Hardy Terrace,,,,adm.hterrace@verveseniorliving.com,,,,,,,,,,,,,,5194842431,,,,http://www.verveseniorliving.com/hardy-terrace,,,,,,,,,,,,,Community Care,,,,612 Mount Pleasant Rd,RR2,,Brantford,,,ON,,N3T 5L5,Canada,43.0878292,-80.3104748,,True
